subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,4,1,NaN,knife,knife,bw,3841_cl_dnn_bw_knife_40_n03041632_2058.JPEG,0.000485295820262,0.99999999998,1,8.10596340989e-10,0.99999999998,knife,0.99999999996,1,1.54580078492e-09,0.99999999996
resnet152,4,2,NaN,knife,knife,bw,3842_cl_dnn_bw_knife_40_n03041632_29580.JPEG,2.61221689151,0.990888808103,1,0.092036361641,0.990888808103,knife,0.98916994881,1,0.11046375153,0.98916994881
resnet152,4,3,NaN,knife,knife,bw,3843_cl_dnn_bw_knife_40_n03041632_1556.JPEG,0.958573403688,0.999066014104,1,0.0117492459494,0.999066014104,knife,0.997640304777,1,0.0261682373493,0.997640304777
resnet152,4,4,NaN,knife,knife,bw,3844_cl_dnn_bw_knife_40_n03041632_13225.JPEG,0.447202752586,0.999963803858,1,0.000661420551433,0.999963803858,knife,0.999933630893,1,0.00117942493114,0.999933630893
resnet152,4,5,NaN,knife,knife,bw,3845_cl_dnn_bw_knife_40_n03041632_5820.JPEG,0.0117734308338,0.999996874567,1,6.66543144031e-05,0.999996874567,knife,0.999993140894,1,0.000138622863992,0.999993140894
resnet152,4,6,NaN,knife,knife,bw,3846_cl_dnn_bw_knife_40_n03041632_20662.JPEG,3.81855512232,0.951179606081,1,0.396876044306,0.951179606081,knife,0.920996474827,1,0.590032933684,0.920996474827
resnet152,4,7,NaN,knife,knife,bw,3847_cl_dnn_bw_knife_40_n03041632_4305.JPEG,2.35897600134,0.986500400524,1,0.119066807107,0.986500400524,knife,0.984608557877,1,0.135219215417,0.984608557877
resnet152,4,8,NaN,knife,knife,bw,3848_cl_dnn_bw_knife_40_n03041632_18859.JPEG,4.38961239436,0.911408118727,1,0.602867886202,0.911408118727,knife,0.858047272384,1,0.893721673253,0.858047272384
resnet152,4,9,NaN,knife,knife,bw,3849_cl_dnn_bw_knife_40_n03041632_33075.JPEG,0.0547315405469,0.999999058851,1,2.11613041894e-05,0.999999058851,knife,0.999998813599,1,2.68556438482e-05,0.999998813599
resnet152,4,10,NaN,knife,knife,bw,3850_cl_dnn_bw_knife_40_n03041632_9302.JPEG,0.330020854428,0.999989726187,1,0.000200728285182,0.999989726187,knife,0.99998393141,1,0.000309928812893,0.99998393141
resnet152,4,11,NaN,knife,knife,bw,3851_cl_dnn_bw_knife_40_n03041632_105081.JPEG,0.000319146503449,0.999999999842,1,5.60376559926e-09,0.999999999842,knife,0.999999999801,1,7.00898934288e-09,0.999999999801
resnet152,4,12,NaN,knife,knife,bw,3852_cl_dnn_bw_knife_40_n03041632_21477.JPEG,4.82972977758,0.922233914636,1,0.566686243315,0.922233914636,knife,0.907100962696,1,0.680668815292,0.907100962696
resnet152,4,13,NaN,knife,knife,bw,3853_cl_dnn_bw_knife_40_n03041632_45636.JPEG,3.51080772556e-06,0.999999999857,1,5.13617023546e-09,0.999999999857,knife,0.999999999821,1,6.40035919339e-09,0.999999999821
resnet152,4,14,NaN,knife,knife,bw,3854_cl_dnn_bw_knife_40_n03041632_29801.JPEG,3.87761663161,0.918051530375,1,0.420511847981,0.918051530375,knife,0.845107051278,1,0.644291566844,0.845107051278
resnet152,4,15,NaN,knife,knife,bw,3855_cl_dnn_bw_knife_40_n03041632_54732.JPEG,1.17620834873,0.999807675448,1,0.00284035834937,0.999807675448,knife,0.99978024604,1,0.00329384303277,0.99978024604
resnet152,4,16,NaN,chair,knife,bw,3856_cl_dnn_bw_knife_40_n03041632_21345.JPEG,5.84125767898,0.16167044153,2,2.13182069764,0.532237935183,dog,0.0919699545833,3,2.13811316459,0.437147070039
