subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,2,1,NaN,knife,knife,c100,1281_con_dnn_c100_knife_10_n03041632_27832.JPEG,0.00397457467708,0.999999946129,1,1.43674001324e-06,0.999999946129,knife,0.99999993542,1,1.73502491356e-06,0.99999993542
resnet152,2,2,NaN,knife,knife,c100,1282_con_dnn_c100_knife_10_n03041632_32785.JPEG,0.039483675806,0.999998677565,1,3.00537178613e-05,0.999998677565,knife,0.999998218246,1,4.05147159846e-05,0.999998218246
resnet152,2,3,NaN,knife,knife,c100,1283_con_dnn_c100_knife_10_n03041632_45090.JPEG,0.331182735041,0.999988655351,1,0.000232696606933,0.999988655351,knife,0.999976547931,1,0.000454996577388,0.999976547931
resnet152,2,4,NaN,knife,knife,c100,1284_con_dnn_c100_knife_10_n03041632_27709.JPEG,1.1380338851,0.991516686607,1,0.0736840926704,0.991516686607,knife,0.988632217743,1,0.0958012621634,0.988632217743
resnet152,2,5,NaN,knife,knife,c100,1285_con_dnn_c100_knife_10_n03041632_14224.JPEG,8.2352156515e-05,0.999999993785,1,1.78617147463e-07,0.999999993785,knife,0.999999991605,1,2.37675453141e-07,0.999999991605
resnet152,2,6,NaN,knife,knife,c100,1286_con_dnn_c100_knife_10_n03041632_5162.JPEG,0.00754811117454,0.999999936638,1,1.7716558425e-06,0.999999936638,knife,0.999999918784,1,2.26103642793e-06,0.999999918784
resnet152,2,7,NaN,knife,knife,c100,1287_con_dnn_c100_knife_10_n03041632_14132.JPEG,1.89218142007,0.898393974893,1,0.540602954875,0.898393974893,knife,0.884519343547,1,0.620542276973,0.884519343547
resnet152,2,8,NaN,knife,knife,c100,1288_con_dnn_c100_knife_10_n03041632_18748.JPEG,0.244057054498,0.999996603629,1,7.41281890315e-05,0.999996603629,knife,0.999995015092,1,0.000106027357952,0.999995015092
resnet152,2,9,NaN,knife,knife,c100,1289_con_dnn_c100_knife_10_n03041632_18311.JPEG,5.325976913,0.584090623543,1,1.18434072039,0.584090623543,knife,0.556726029506,1,1.34702179409,0.556726029506
resnet152,2,10,NaN,knife,knife,c100,1290_con_dnn_c100_knife_10_n03041632_25331.JPEG,3.51963152811,0.998675968955,1,0.0169737325265,0.998675968955,knife,0.997804747565,1,0.0267060079208,0.997804747565
