subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,4,1,NaN,knife,knife,c100,3841_cop_dnn_c100_knife_10_n03041632_33739.png,0.00077124327484,0.999999999997,1,1.28119610191e-10,0.999999999997,knife,0.999999999994,1,2.42088099306e-10,0.999999999994
resnet152,4,2,NaN,knife,knife,c100,3842_cop_dnn_c100_knife_10_n03041632_29580.png,2.61960726852,0.991247429551,1,0.0889144539052,0.991247429551,knife,0.989647649384,1,0.106270955119,0.989647649384
resnet152,4,3,NaN,knife,knife,c100,3843_cop_dnn_c100_knife_10_n03041632_56172.png,0.182291528698,0.999999997116,1,9.19288139205e-08,0.999999997116,knife,0.999999993963,1,1.86210690889e-07,0.999999993963
resnet152,4,4,NaN,knife,knife,c100,3844_cop_dnn_c100_knife_10_n03041632_51766.png,4.50781477681e-05,0.999999790535,1,4.981273183e-06,0.999999790535,knife,0.999999787623,1,5.06698677707e-06,0.999999787623
resnet152,4,5,NaN,knife,knife,c100,3845_cop_dnn_c100_knife_10_n03041632_48149.png,0.022323280939,0.999999795445,1,4.89818582611e-06,0.999999795445,knife,0.999999785449,1,5.18006087666e-06,0.999999785449
resnet152,4,6,NaN,knife,knife,c100,3846_cop_dnn_c100_knife_10_n03041632_29343.png,6.13730193706,0.920046953447,1,0.551850318322,0.920046953447,knife,0.833787590558,1,0.931084748771,0.833787590558
resnet152,4,7,NaN,knife,knife,c100,3847_cop_dnn_c100_knife_10_n03041632_20770.png,0.216238843246,0.999960086807,1,0.000677873895836,0.999960086807,knife,0.999958500413,1,0.00070633791086,0.999958500413
resnet152,4,8,NaN,knife,knife,c100,3848_cop_dnn_c100_knife_10_n03041632_11969.png,0.0857754104791,0.999999969299,1,8.91371852462e-07,0.999999969299,knife,0.999999924109,1,2.0859433306e-06,0.999999924109
resnet152,4,9,NaN,knife,knife,c100,3849_cop_dnn_c100_knife_10_n03041632_36806.png,4.50654526429,0.913840851327,1,0.564153160042,0.913840851327,knife,0.831979789617,1,0.911114302802,0.831979789617
resnet152,4,10,NaN,knife,knife,c100,3850_cop_dnn_c100_knife_10_n03041632_751.png,0.23032917735,0.99997596064,1,0.000425116358388,0.99997596064,knife,0.999972650535,1,0.000491513067401,0.999972650535
resnet152,4,11,NaN,keyboard,keyboard,c100,3851_cop_dnn_c100_keyboard_10_n04505470_3022.png,0.966011657491,0.999996775736,1,6.86268932338e-05,0.999996775736,keyboard,0.999994315563,1,0.000118625014726,0.999994315563
resnet152,4,12,NaN,keyboard,keyboard,c100,3852_cop_dnn_c100_keyboard_10_n04505470_2048.png,2.34241153659,0.999913501148,1,0.00150263110549,0.999913501148,keyboard,0.999877646753,1,0.00210307409889,0.999877646753
resnet152,4,13,NaN,keyboard,keyboard,c100,3853_cop_dnn_c100_keyboard_10_n03085013_31513.png,0.911174983604,0.999996157439,1,8.41864796767e-05,0.999996157439,keyboard,0.999992078713,1,0.000165760612752,0.999992078713
resnet152,4,14,NaN,keyboard,keyboard,c100,3854_cop_dnn_c100_keyboard_10_n04505470_5058.png,0.264457952792,0.999738758768,1,0.00383922487141,0.999738758768,keyboard,0.999620281695,1,0.00550059366253,0.999620281695
resnet152,4,15,NaN,keyboard,keyboard,c100,3855_cop_dnn_c100_keyboard_10_n04505470_5157.png,0.543131668546,0.999999999997,1,1.20274482376e-10,0.999999999997,keyboard,0.999999999996,1,1.43453530041e-10,0.999999999996
resnet152,4,16,NaN,keyboard,keyboard,c100,3856_cop_dnn_c100_keyboard_10_n04505470_4681.png,0.363430763358,0.999997719029,1,5.14012190228e-05,0.999997719029,keyboard,0.999996558974,1,7.56593621037e-05,0.999996558974
resnet152,4,17,NaN,keyboard,keyboard,c100,3857_cop_dnn_c100_keyboard_10_n04505470_1649.png,0.966218865734,0.999999904663,1,2.52179390019e-06,0.999999904663,keyboard,0.999999868731,1,3.4644425833e-06,0.999999868731
