subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,5,1,NaN,knife,knife,true,4481_fc_dnn_true_knife_35_n03041632_25022.png,0.0918604861268,0.999999974384,1,7.51825804611e-07,0.999999974384,knife,0.999999943933,1,1.57810227823e-06,0.999999943933
resnet152,5,2,NaN,knife,knife,true,4482_fc_dnn_true_knife_35_n03041632_99799.png,7.20410563916e-06,0.999999999999,1,2.59025031128e-11,0.999999999999,knife,0.999999999999,1,4.45072603439e-11,0.999999999999
resnet152,5,3,NaN,knife,knife,true,4483_fc_dnn_true_knife_35_n03041632_3159.png,1.04916187407,0.999915794076,1,0.00142400168893,0.999915794076,knife,0.999887967139,1,0.00187887564919,0.999887967139
resnet152,5,4,NaN,knife,knife,true,4484_fc_dnn_true_knife_35_n03041632_4975.png,1.08508311515,0.999856899158,1,0.0022714901352,0.999856899158,knife,0.999805650951,1,0.00308562508885,0.999805650951
resnet152,5,5,NaN,knife,knife,true,4485_fc_dnn_true_knife_35_n03041632_42156.png,1.39814547758e-05,1.0,1,1.53440234445e-12,1.0,knife,1.0,1,4.08829483457e-12,1.0
resnet152,5,6,NaN,knife,knife,true,4486_fc_dnn_true_knife_35_n03041632_22286.png,9.98647990526e-07,1.0,1,3.20409479754e-13,1.0,knife,1.0,1,3.28416835463e-13,1.0
resnet152,5,7,NaN,knife,knife,true,4487_fc_dnn_true_knife_35_n03041632_89391.png,0.464820564052,0.999671943225,1,0.00427935731484,0.999671943225,knife,0.999671290286,1,0.00429357250178,0.999671290286
resnet152,5,8,NaN,knife,knife,true,4488_fc_dnn_true_knife_35_n03041632_26933.png,0.0209307196376,0.999999375125,1,1.52372865241e-05,0.999999375125,knife,0.9999987936,1,2.8597147391e-05,0.9999987936
resnet152,5,9,NaN,knife,knife,true,4489_fc_dnn_true_knife_35_n03041632_4806.png,0.251464638949,0.999996683742,1,7.05150462281e-05,0.999996683742,knife,0.999987070146,1,0.00024124274172,0.999987070146
resnet152,5,10,NaN,knife,knife,true,4490_fc_dnn_true_knife_35_n03041632_17338.png,0.00276578837488,0.999999998463,1,4.98008074602e-08,0.999999998463,knife,0.999999996852,1,9.78345480122e-08,0.999999996852
resnet152,5,11,NaN,knife,knife,true,4491_fc_dnn_true_knife_35_n03041632_29355.png,5.74633202144e-05,0.999999999999,1,3.3596555354e-11,0.999999999999,knife,0.999999999999,1,4.55245545079e-11,0.999999999999
resnet152,5,12,NaN,knife,knife,true,4492_fc_dnn_true_knife_35_n03041632_737.png,3.87411575597,0.827639527296,1,0.69696985393,0.827639527296,knife,0.736447023854,1,0.905001090467,0.736447023854
resnet152,5,13,NaN,knife,knife,true,4493_fc_dnn_true_knife_35_n03041632_50332.png,9.61837940931e-07,1.0,1,6.05678065938e-12,1.0,knife,1.0,1,2.02700471473e-11,1.0
resnet152,5,14,NaN,knife,knife,true,4494_fc_dnn_true_knife_35_n03041632_84048.png,0.194679316883,0.99971988918,1,0.00414542260736,0.99971988918,knife,0.999606866093,1,0.00569594907871,0.999606866093
resnet152,5,15,NaN,knife,knife,true,4495_fc_dnn_true_knife_35_n03041632_8151.png,0.807000674634,0.999951155757,1,0.000917312633291,0.999951155757,knife,0.999795795297,1,0.00316577385267,0.999795795297
resnet152,5,16,NaN,knife,knife,true,4496_fc_dnn_true_knife_35_n03041632_18304.png,2.18092598002,0.998620010178,1,0.0185631071804,0.998620010178,knife,0.994633722085,1,0.0560082145972,0.994633722085
resnet152,5,17,NaN,knife,knife,true,4497_fc_dnn_true_knife_35_n03041632_2390.png,2.45663375562,0.984083269377,1,0.133050202313,0.984083269377,knife,0.973295671019,1,0.215413340121,0.973295671019
resnet152,5,18,NaN,knife,knife,true,4498_fc_dnn_true_knife_35_n03041632_1607.png,0.0159703588473,0.999999534667,1,1.18175864958e-05,0.999999534667,knife,0.999999010234,1,2.39683871025e-05,0.999999010234
resnet152,5,19,NaN,knife,knife,true,4499_fc_dnn_true_knife_35_n03041632_3023.png,0.00025653816359,0.999999988585,1,3.42767634555e-07,0.999999988585,knife,0.999999977864,1,6.47173593567e-07,0.999999977864
resnet152,5,20,NaN,knife,knife,true,4500_fc_dnn_true_knife_35_n03041632_45775.png,0.133032381531,0.999999901282,1,2.68304203964e-06,0.999999901282,knife,0.999999670125,1,8.04115015908e-06,0.999999670125
resnet152,5,21,NaN,knife,knife,true,4501_fc_dnn_true_knife_35_n03041632_84240.png,5.99972583848,0.933937925323,1,0.537211647509,0.933937925323,knife,0.823727719538,1,1.03267890411,0.823727719538
resnet152,5,22,NaN,knife,knife,true,4502_fc_dnn_true_knife_35_n03041632_42162.png,9.37733862786e-06,1.0,1,2.16845568986e-11,1.0,knife,0.999999999998,1,7.50983762054e-11,0.999999999998
resnet152,5,23,NaN,knife,knife,true,4503_fc_dnn_true_knife_35_n03041632_46091.png,1.14396927158,0.99999961502,1,9.25530261776e-06,0.99999961502,knife,0.999999569636,1,1.0429715641e-05,0.999999569636
resnet152,5,24,NaN,knife,knife,true,4504_fc_dnn_true_knife_35_n03041632_14801.png,3.65090476441,0.565797426915,1,1.11134496899,0.565797426915,knife,0.557551481207,1,1.14733732969,0.557551481207
resnet152,5,25,NaN,bottle,knife,true,4505_fc_dnn_true_knife_35_n03041632_92637.png,3.56726433462,0.377810024497,2,1.41896432553,0.548650577647,bottle,0.244820866659,2,1.50007734698,0.626535938694
resnet152,5,26,NaN,knife,knife,true,4506_fc_dnn_true_knife_35_n03041632_47410.png,0.0021488599987,0.999999999757,1,8.4458688282e-09,0.999999999757,knife,0.999999999693,1,1.07378744568e-08,0.999999999693
resnet152,5,27,NaN,knife,knife,true,4507_fc_dnn_true_knife_35_n03041632_96345.png,4.32024474183,0.392064429532,1,2.41928190958,0.392064429532,dog,0.203459492906,2,2.14139377133,0.507581552985
