subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
vgg19,6,1,NaN,clock,knife,0.4,6401_hp_dnn_0.4_knife_10_n03041632_7279.png,6.70068831561,0.0397158639572,2,1.66931933736,0.752307035104,clock,0.0201336027335,6,2.43315065462,0.44775261446
vgg19,6,2,NaN,clock,knife,0.4,6402_hp_dnn_0.4_knife_10_n03041632_5640.png,7.76756448443,0.0185892708207,11,3.35491299139,0.206544684943,bird,0.00468870326367,14,2.58132343649,0.409075826834
vgg19,6,3,NaN,clock,knife,0.4,6403_hp_dnn_0.4_knife_10_n03041632_2386.png,7.8856273083,0.029610756934,9,3.03356397647,0.396954241591,dog,0.00985370916737,11,2.76829254748,0.334448826147
vgg19,6,4,NaN,clock,knife,0.4,6404_hp_dnn_0.4_knife_10_n03041632_28202.png,7.61747066197,0.0800169238475,4,2.74142953598,0.471885881715,dog,0.0331796683215,7,2.8799380741,0.292535144397
vgg19,6,5,NaN,clock,knife,0.4,6405_hp_dnn_0.4_knife_10_n03041632_6309.png,7.058620668,0.0259391577713,11,3.31588981983,0.324930706485,dog,0.0079649397455,12,2.91764830456,0.337175626966
vgg19,6,6,NaN,clock,knife,0.4,6406_hp_dnn_0.4_knife_10_n03041632_49163.png,7.46705613277,0.083662930357,2,2.43379255786,0.555660256244,dog,0.0333921064785,6,2.61941130196,0.345284281417
vgg19,6,7,NaN,clock,knife,0.4,6407_hp_dnn_0.4_knife_10_n03041632_2058.png,6.95769034371,0.0538647670985,7,2.91633880619,0.465792681901,dog,0.0192997623672,10,2.84564246336,0.311150598457
vgg19,6,8,NaN,clock,knife,0.4,6408_hp_dnn_0.4_knife_10_n03041632_5820.png,7.60102684757,0.0302833534684,6,2.31992684137,0.6015021686,clock,0.0111812767695,9,2.55046063956,0.310649754654
vgg19,6,9,NaN,clock,knife,0.4,6409_hp_dnn_0.4_knife_10_n03041632_50034.png,6.01627761445,0.0909946050315,2,2.86117026416,0.465970461112,clock,0.0373641086844,7,2.9969845967,0.248147755391
vgg19,6,10,NaN,clock,knife,0.4,6410_hp_dnn_0.4_knife_10_n03041632_2973.png,6.52192469167,0.0447451264023,4,2.46217108753,0.573971672451,clock,0.0197056081605,8,2.76206336072,0.344206433653
