subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,4,1,NaN,knife,knife,0.00,3841_nse_dnn_0.00_knife_10_n03041632_46185.JPEG,1.563725694,0.998110016166,1,0.0226362658993,0.998110016166,knife,0.996930404095,1,0.0346626674007,0.996930404095
resnet152,4,2,NaN,knife,knife,0.00,3842_nse_dnn_0.00_knife_10_n03041632_87380.JPEG,0.437004028944,0.999999839849,1,4.24878513563e-06,0.999999839849,knife,0.999999737032,1,6.82041536819e-06,0.999999737032
resnet152,4,3,NaN,bottle,knife,0.00,3843_nse_dnn_0.00_knife_10_n03041632_11613.JPEG,4.12463653784,0.176158412799,2,1.01890301343,0.778857107183,bottle,0.150056877097,2,1.11659512244,0.784702166812
resnet152,4,4,NaN,knife,knife,0.00,3844_nse_dnn_0.00_knife_10_n03041632_43634.JPEG,0.70810424943,0.999742941358,1,0.00418228926759,0.999742941358,knife,0.999554441418,1,0.00693939791733,0.999554441418
resnet152,4,5,NaN,knife,knife,0.00,3845_nse_dnn_0.00_knife_10_n03041632_29276.JPEG,4.25604982063,0.993306715744,1,0.0756523976053,0.993306715744,knife,0.98590447885,1,0.146059328726,0.98590447885
resnet152,4,6,NaN,knife,knife,0.00,3846_nse_dnn_0.00_knife_10_n03041632_2438.JPEG,1.26515915156,0.999771371699,1,0.00327313136572,0.999771371699,knife,0.999439183067,1,0.00737332577136,0.999439183067
resnet152,4,7,NaN,knife,knife,0.00,3847_nse_dnn_0.00_knife_10_n03041632_20770.JPEG,2.36838262793,0.771824382158,1,0.779727067396,0.771824382158,knife,0.769740090222,1,0.785979019402,0.769740090222
resnet152,4,8,NaN,knife,knife,0.00,3848_nse_dnn_0.00_knife_10_n03041632_31301.JPEG,0.251671320569,0.999999625708,1,8.59342883847e-06,0.999999625708,knife,0.999999610902,1,8.95735081213e-06,0.999999610902
resnet152,4,9,NaN,knife,knife,0.00,3849_nse_dnn_0.00_knife_10_n03041632_16606.JPEG,2.89223158601,0.997287372167,1,0.033883663815,0.997287372167,knife,0.993695533758,1,0.0718101518567,0.993695533758
resnet152,4,10,NaN,knife,knife,0.00,3850_nse_dnn_0.00_knife_10_n03041632_14224.JPEG,0.00170837280104,0.999999978193,1,6.2553338771e-07,0.999999978193,knife,0.999999940471,1,1.59707950988e-06,0.999999940471
resnet152,4,11,NaN,keyboard,keyboard,0.00,3851_nse_dnn_0.00_keyboard_10_n04505470_6421.JPEG,1.0805796307,0.999650348485,1,0.00543412169993,0.999650348485,keyboard,0.999462862002,1,0.00815749360245,0.999462862002
resnet152,4,12,NaN,keyboard,keyboard,0.00,3852_nse_dnn_0.00_keyboard_10_n04505470_9476.JPEG,2.28061725894,0.997851406218,1,0.024046154936,0.997851406218,keyboard,0.997651499662,1,0.0267631404341,0.997651499662
resnet152,4,13,NaN,keyboard,keyboard,0.00,3853_nse_dnn_0.00_keyboard_10_n04505470_2055.JPEG,0.808779253733,0.999635817579,1,0.00489127315421,0.999635817579,keyboard,0.999385472192,1,0.00777411197243,0.999385472192
resnet152,4,14,NaN,keyboard,keyboard,0.00,3854_nse_dnn_0.00_keyboard_10_n03085013_19687.JPEG,4.25329857189,0.398322868984,1,2.05280359208,0.398322868984,clock,0.267305404118,2,2.31710969487,0.319233139863
resnet152,4,15,NaN,keyboard,keyboard,0.00,3855_nse_dnn_0.00_keyboard_10_n04505470_4974.JPEG,1.75806609624,0.999189816502,1,0.0102466659449,0.999189816502,keyboard,0.998865271496,1,0.0145185919877,0.998865271496
resnet152,4,16,NaN,keyboard,keyboard,0.00,3856_nse_dnn_0.00_keyboard_10_n03085013_22928.JPEG,0.810904535129,0.999999959908,1,1.11371538527e-06,0.999999959908,keyboard,0.999999913164,1,2.3279847694e-06,0.999999913164
resnet152,4,17,NaN,keyboard,keyboard,0.00,3857_nse_dnn_0.00_keyboard_10_n03085013_23115.JPEG,2.21522159398,0.998520608836,1,0.0202145776468,0.998520608836,keyboard,0.996421297487,1,0.0436898920428,0.996421297487
resnet152,4,18,NaN,keyboard,keyboard,0.00,3858_nse_dnn_0.00_keyboard_10_n03085013_7892.JPEG,1.83011891003,0.999859893761,1,0.00224118548251,0.999859893761,keyboard,0.99977364451,1,0.00352282073724,0.99977364451
resnet152,4,19,NaN,keyboard,keyboard,0.00,3859_nse_dnn_0.00_keyboard_10_n04505470_206.JPEG,1.16890259823,0.998967284995,1,0.0132494619917,0.998967284995,keyboard,0.99893595193,1,0.0139161229711,0.99893595193
resnet152,4,20,NaN,keyboard,keyboard,0.00,3860_nse_dnn_0.00_keyboard_10_n04505470_1040.JPEG,4.6842611969,0.980890440459,1,0.189815446645,0.980890440459,keyboard,0.962954630017,1,0.326876147607,0.962954630017
resnet152,4,21,NaN,elephant,elephant,0.00,3861_nse_dnn_0.00_elephant_10_n02504013_4229.JPEG,1.43336852572,0.999990710907,1,0.000176608266479,0.999990710907,elephant,0.99998788964,1,0.000227884464542,0.99998788964
