subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
resnet152,4,1,NaN,knife,knife,0,3361_pow_dnn_0_knife_35_n03041632_17067.png,0.0415002743958,0.999999997163,1,8.66128564042e-08,0.999999997163,knife,0.999999994735,1,1.55612716539e-07,0.999999994735
resnet152,4,2,NaN,knife,knife,0,3362_pow_dnn_0_knife_35_n03041632_33225.png,3.57490471642e-05,1.0,1,1.32900182261e-12,1.0,knife,1.0,1,1.82615209639e-12,1.0
resnet152,4,3,NaN,chair,knife,0,3363_pow_dnn_0_knife_35_n03041632_45326.png,4.24066092623,0.239111472906,2,1.24280142762,0.704485116289,chair,0.186462175876,2,1.30833053834,0.731998835894
resnet152,4,4,NaN,knife,knife,0,3364_pow_dnn_0_knife_35_n03041632_86118.png,4.62245660003,0.582689104808,1,1.29487921397,0.582689104808,bottle,0.434153755812,2,1.41978292954,0.501383872182
resnet152,4,5,NaN,knife,knife,0,3365_pow_dnn_0_knife_35_n03041632_36834.png,0.0507738381301,0.999995440241,1,0.000100114628206,0.999995440241,knife,0.999991024086,1,0.00018757663812,0.999991024086
resnet152,4,6,NaN,knife,knife,0,3366_pow_dnn_0_knife_35_n03041632_54191.png,1.24725388284,0.999943105528,1,0.000997971334355,0.999943105528,knife,0.999912225485,1,0.00149781339422,0.999912225485
resnet152,4,7,NaN,knife,knife,0,3367_pow_dnn_0_knife_35_n03041632_26989.png,0.073153342127,0.999999898012,1,2.71863350182e-06,0.999999898012,knife,0.999999854447,1,3.87771188266e-06,0.999999854447
resnet152,4,8,NaN,knife,knife,0,3368_pow_dnn_0_knife_35_n03041632_11358.png,0.00340652824392,0.999999983005,1,4.98712284004e-07,0.999999983005,knife,0.999999973343,1,7.66717144375e-07,0.999999973343
resnet152,4,9,NaN,knife,knife,0,3369_pow_dnn_0_knife_35_n03041632_54732.png,0.0946206154262,0.999999979026,1,5.90375643386e-07,0.999999979026,knife,0.999999975929,1,6.79949937095e-07,0.999999975929
resnet152,4,10,NaN,knife,knife,0,3370_pow_dnn_0_knife_35_n03041632_20595.png,0.811773069135,0.999936180006,1,0.00103956243242,0.999936180006,knife,0.999922112084,1,0.00126615231687,0.999922112084
