subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
vgg19,6,1,NaN,knife,knife,0,6401_rot_dnn_0_knife_20_n03041632_33326.png,7.08392107847,0.620569262891,1,1.43363058615,0.620569262891,knife,0.43738842341,1,2.01496534411,0.43738842341
vgg19,6,2,NaN,knife,knife,0,6402_rot_dnn_0_knife_20_n03041632_13612.png,5.69286845474,0.692787561789,1,1.59337301475,0.692787561789,knife,0.471717652384,1,2.22517844899,0.471717652384
vgg19,6,3,NaN,knife,knife,0,6403_rot_dnn_0_knife_20_n03041632_21859.png,3.0806811161,0.993898019455,1,0.0617279271129,0.993898019455,knife,0.98439247502,1,0.134238365714,0.98439247502
vgg19,6,4,NaN,bottle,knife,0,6404_rot_dnn_0_knife_20_n03041632_22734.png,6.39138823263,0.0628876065203,6,2.47503532039,0.406291884423,dog,0.0314042808142,7,2.21990261372,0.436956553243
vgg19,6,5,NaN,knife,knife,0,6405_rot_dnn_0_knife_20_n03041632_93026.png,5.74620106418,0.784854261218,1,1.12580870016,0.784854261218,knife,0.640552943199,1,1.59935812422,0.640552943199
vgg19,6,6,NaN,knife,knife,0,6406_rot_dnn_0_knife_20_n03041632_19620.png,3.1844498352,0.997637620523,1,0.0266240051538,0.997637620523,knife,0.997231784102,1,0.032047412234,0.997231784102
vgg19,6,7,NaN,knife,knife,0,6407_rot_dnn_0_knife_20_n03041632_10109.png,4.38198271598,0.970396958099,1,0.250963832884,0.970396958099,knife,0.948986952113,1,0.403159045807,0.948986952113
vgg19,6,8,NaN,clock,knife,0,6408_rot_dnn_0_knife_20_n03041632_27929.png,5.27193995445,0.0355776374483,4,1.71946097246,0.487699641435,clock,0.0221284363667,6,2.01068490798,0.516422785045
vgg19,6,9,NaN,knife,knife,0,6409_rot_dnn_0_knife_20_n03041632_42162.png,0.0152956498322,0.999999926746,1,1.97620736183e-06,0.999999926746,knife,0.999999875019,1,3.3342990981e-06,0.999999875019
vgg19,6,10,NaN,knife,knife,0,6410_rot_dnn_0_knife_20_n03041632_25512.png,0.25627619104,0.999758318793,1,0.00351061051197,0.999758318793,knife,0.999668932565,1,0.00480651651151,0.999668932565
