subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,3,1,NaN,knife,knife,bw,2561_clp_dnn_bw_knife_40_n03041632_19098.png
sixteen09--rotation-multiple,3,2,NaN,knife,knife,bw,2562_clp_dnn_bw_knife_40_n03041632_42472.png
sixteen09--rotation-multiple,3,3,NaN,knife,knife,bw,2563_clp_dnn_bw_knife_40_n03041632_46185.png
sixteen09--rotation-multiple,3,4,NaN,knife,knife,bw,2564_clp_dnn_bw_knife_40_n03041632_84240.png
sixteen09--rotation-multiple,3,5,NaN,knife,knife,bw,2565_clp_dnn_bw_knife_40_n03041632_12748.png
sixteen09--rotation-multiple,3,6,NaN,knife,knife,bw,2566_clp_dnn_bw_knife_40_n03041632_100645.png
sixteen09--rotation-multiple,3,7,NaN,knife,knife,bw,2567_clp_dnn_bw_knife_40_n03041632_47759.png
sixteen09--rotation-multiple,3,8,NaN,knife,knife,bw,2568_clp_dnn_bw_knife_40_n03041632_41077.png
sixteen09--rotation-multiple,3,9,NaN,knife,knife,bw,2569_clp_dnn_bw_knife_40_n03041632_1607.png
sixteen09--rotation-multiple,3,10,NaN,knife,knife,bw,2570_clp_dnn_bw_knife_40_n03041632_37949.png
sixteen09--rotation-multiple,3,11,NaN,dog,knife,bw,2571_clp_dnn_bw_knife_40_n03041632_89391.png
sixteen09--rotation-multiple,3,12,NaN,knife,knife,bw,2572_clp_dnn_bw_knife_40_n03041632_85416.png
sixteen09--rotation-multiple,3,13,NaN,knife,knife,bw,2573_clp_dnn_bw_knife_40_n03041632_41381.png
sixteen09--rotation-multiple,3,14,NaN,knife,knife,bw,2574_clp_dnn_bw_knife_40_n03041632_16826.png
sixteen09--rotation-multiple,3,15,NaN,knife,knife,bw,2575_clp_dnn_bw_knife_40_n03041632_25479.png
sixteen09--rotation-multiple,3,16,NaN,knife,knife,bw,2576_clp_dnn_bw_knife_40_n03041632_9406.png
sixteen09--rotation-multiple,3,17,NaN,knife,knife,bw,2577_clp_dnn_bw_knife_40_n03041632_751.png
sixteen09--rotation-multiple,3,18,NaN,knife,knife,bw,2578_clp_dnn_bw_knife_40_n03041632_96714.png
sixteen09--rotation-multiple,3,19,NaN,knife,knife,bw,2579_clp_dnn_bw_knife_40_n03041632_13203.png
sixteen09--rotation-multiple,3,20,NaN,knife,knife,bw,2580_clp_dnn_bw_knife_40_n03041632_35116.png
sixteen09--rotation-multiple,3,21,NaN,knife,knife,bw,2581_clp_dnn_bw_knife_40_n03041632_20697.png
sixteen09--rotation-multiple,3,22,NaN,knife,knife,bw,2582_clp_dnn_bw_knife_40_n03041632_33488.png
sixteen09--rotation-multiple,3,23,NaN,knife,knife,bw,2583_clp_dnn_bw_knife_40_n03041632_14916.png
sixteen09--rotation-multiple,3,24,NaN,knife,knife,bw,2584_clp_dnn_bw_knife_40_n03041632_3717.png
sixteen09--rotation-multiple,3,25,NaN,knife,knife,bw,2585_clp_dnn_bw_knife_40_n03041632_927.png
sixteen09--rotation-multiple,3,26,NaN,knife,knife,bw,2586_clp_dnn_bw_knife_40_n03041632_24113.png
sixteen09--rotation-multiple,3,27,NaN,knife,knife,bw,2587_clp_dnn_bw_knife_40_n03041632_3210.png
sixteen09--rotation-multiple,3,28,NaN,knife,knife,bw,2588_clp_dnn_bw_knife_40_n03041632_30821.png
sixteen09--rotation-multiple,3,29,NaN,knife,knife,bw,2589_clp_dnn_bw_knife_40_n03041632_51225.png
sixteen09--rotation-multiple,3,30,NaN,chair,knife,bw,2590_clp_dnn_bw_knife_40_n03041632_20217.png
sixteen09--rotation-multiple,3,31,NaN,truck,knife,bw,2591_clp_dnn_bw_knife_40_n03041632_33424.png
sixteen09--rotation-multiple,3,32,NaN,knife,knife,bw,2592_clp_dnn_bw_knife_40_n03041632_3171.png
sixteen09--rotation-multiple,3,33,NaN,knife,knife,bw,2593_clp_dnn_bw_knife_40_n03041632_11613.png
sixteen09--rotation-multiple,3,34,NaN,knife,knife,bw,2594_clp_dnn_bw_knife_40_n03041632_3101.png
sixteen09--rotation-multiple,3,35,NaN,knife,knife,bw,2595_clp_dnn_bw_knife_40_n03041632_22480.png
sixteen09--rotation-multiple,3,36,NaN,knife,knife,bw,2596_clp_dnn_bw_knife_40_n03041632_5427.png
sixteen09--rotation-multiple,3,37,NaN,knife,knife,bw,2597_clp_dnn_bw_knife_40_n03041632_26340.png
sixteen09--rotation-multiple,3,38,NaN,chair,knife,bw,2598_clp_dnn_bw_knife_40_n03041632_13108.png
sixteen09--rotation-multiple,3,39,NaN,knife,knife,bw,2599_clp_dnn_bw_knife_40_n03041632_20517.png
sixteen09--rotation-multiple,3,40,NaN,knife,knife,bw,2600_clp_dnn_bw_knife_40_n03041632_11475.png
sixteen09--rotation-multiple,3,41,NaN,keyboard,keyboard,bw,2601_clp_dnn_bw_keyboard_40_n03085013_31972.png
sixteen09--rotation-multiple,3,42,NaN,keyboard,keyboard,bw,2602_clp_dnn_bw_keyboard_40_n03085013_24159.png
sixteen09--rotation-multiple,3,43,NaN,keyboard,keyboard,bw,2603_clp_dnn_bw_keyboard_40_n04505470_5127.png
sixteen09--rotation-multiple,3,44,NaN,keyboard,keyboard,bw,2604_clp_dnn_bw_keyboard_40_n03085013_23319.png
sixteen09--rotation-multiple,3,45,NaN,keyboard,keyboard,bw,2605_clp_dnn_bw_keyboard_40_n04505470_2816.png
