subj,session,trial,rt,object_response,category,condition,imagename
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,1,NaN,knife,knife,bw,5121_clp_dnn_bw_knife_40_n03041632_23678.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,2,NaN,knife,knife,bw,5122_clp_dnn_bw_knife_40_n03041632_31271.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,3,NaN,knife,knife,bw,5123_clp_dnn_bw_knife_40_n03041632_83826.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,4,NaN,knife,knife,bw,5124_clp_dnn_bw_knife_40_n03041632_25022.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,5,NaN,knife,knife,bw,5125_clp_dnn_bw_knife_40_n03041632_29862.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,6,NaN,knife,knife,bw,5126_clp_dnn_bw_knife_40_n03041632_24060.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,7,NaN,knife,knife,bw,5127_clp_dnn_bw_knife_40_n03041632_27960.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,8,NaN,knife,knife,bw,5128_clp_dnn_bw_knife_40_n03041632_24561.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,9,NaN,knife,knife,bw,5129_clp_dnn_bw_knife_40_n03041632_96345.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,10,NaN,knife,knife,bw,5130_clp_dnn_bw_knife_40_n03041632_4808.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,11,NaN,knife,knife,bw,5131_clp_dnn_bw_knife_40_n03041632_15250.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,12,NaN,knife,knife,bw,5132_clp_dnn_bw_knife_40_n03041632_16606.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,13,NaN,knife,knife,bw,5133_clp_dnn_bw_knife_40_n03041632_26989.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,14,NaN,knife,knife,bw,5134_clp_dnn_bw_knife_40_n03041632_22286.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,15,NaN,knife,knife,bw,5135_clp_dnn_bw_knife_40_n03041632_94470.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,16,NaN,knife,knife,bw,5136_clp_dnn_bw_knife_40_n03041632_45090.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,17,NaN,knife,knife,bw,5137_clp_dnn_bw_knife_40_n03041632_24264.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,18,NaN,knife,knife,bw,5138_clp_dnn_bw_knife_40_n03041632_94202.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,19,NaN,knife,knife,bw,5139_clp_dnn_bw_knife_40_n03041632_27848.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,20,NaN,knife,knife,bw,5140_clp_dnn_bw_knife_40_n03041632_94995.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,21,NaN,knife,knife,bw,5141_clp_dnn_bw_knife_40_n03041632_31632.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,22,NaN,knife,knife,bw,5142_clp_dnn_bw_knife_40_n03041632_18532.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,23,NaN,knife,knife,bw,5143_clp_dnn_bw_knife_40_n03041632_39952.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,24,NaN,knife,knife,bw,5144_clp_dnn_bw_knife_40_n03041632_3159.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,25,NaN,knife,knife,bw,5145_clp_dnn_bw_knife_40_n03041632_28443.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,26,NaN,knife,knife,bw,5146_clp_dnn_bw_knife_40_n03041632_25257.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,27,NaN,knife,knife,bw,5147_clp_dnn_bw_knife_40_n03041632_84048.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,28,NaN,knife,knife,bw,5148_clp_dnn_bw_knife_40_n03041632_12537.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,29,NaN,knife,knife,bw,5149_clp_dnn_bw_knife_40_n03041632_24376.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,30,NaN,knife,knife,bw,5150_clp_dnn_bw_knife_40_n03041632_9759.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,31,NaN,knife,knife,bw,5151_clp_dnn_bw_knife_40_n03041632_32292.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,32,NaN,knife,knife,bw,5152_clp_dnn_bw_knife_40_n03041632_76163.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,33,NaN,knife,knife,bw,5153_clp_dnn_bw_knife_40_n03041632_86338.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,34,NaN,knife,knife,bw,5154_clp_dnn_bw_knife_40_n03041632_99799.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,35,NaN,knife,knife,bw,5155_clp_dnn_bw_knife_40_n03041632_12707.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,36,NaN,knife,knife,bw,5156_clp_dnn_bw_knife_40_n03041632_47410.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,37,NaN,knife,knife,bw,5157_clp_dnn_bw_knife_40_n03041632_25512.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,38,NaN,knife,knife,bw,5158_clp_dnn_bw_knife_40_n03041632_50034.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,39,NaN,knife,knife,bw,5159_clp_dnn_bw_knife_40_n03041632_35365.png
