subj,session,trial,rt,object_response,category,condition,imagename
sixteen21--salt-and-pepper-noise-multiple,1,1,NaN,clock,knife,bw,0001_clp_dnn_bw_knife_40_n03041632_32004.png
sixteen21--salt-and-pepper-noise-multiple,1,2,NaN,clock,knife,bw,0002_clp_dnn_bw_knife_40_n03041632_27963.png
sixteen21--salt-and-pepper-noise-multiple,1,3,NaN,clock,knife,bw,0003_clp_dnn_bw_knife_40_n03041632_45622.png
sixteen21--salt-and-pepper-noise-multiple,1,4,NaN,clock,knife,bw,0004_clp_dnn_bw_knife_40_n03041632_3504.png
sixteen21--salt-and-pepper-noise-multiple,1,5,NaN,knife,knife,bw,0005_clp_dnn_bw_knife_40_n03041632_51339.png
sixteen21--salt-and-pepper-noise-multiple,1,6,NaN,knife,knife,bw,0006_clp_dnn_bw_knife_40_n03041632_11285.png
sixteen21--salt-and-pepper-noise-multiple,1,7,NaN,clock,knife,bw,0007_clp_dnn_bw_knife_40_n03041632_13846.png
sixteen21--salt-and-pepper-noise-multiple,1,8,NaN,knife,knife,bw,0008_clp_dnn_bw_knife_40_n03041632_27022.png
sixteen21--salt-and-pepper-noise-multiple,1,9,NaN,knife,knife,bw,0009_clp_dnn_bw_knife_40_n03041632_24100.png
sixteen21--salt-and-pepper-noise-multiple,1,10,NaN,keyboard,knife,bw,0010_clp_dnn_bw_knife_40_n03041632_29037.png
sixteen21--salt-and-pepper-noise-multiple,1,11,NaN,clock,knife,bw,0011_clp_dnn_bw_knife_40_n03041632_17100.png
sixteen21--salt-and-pepper-noise-multiple,1,12,NaN,knife,knife,bw,0012_clp_dnn_bw_knife_40_n03041632_46112.png
sixteen21--salt-and-pepper-noise-multiple,1,13,NaN,clock,knife,bw,0013_clp_dnn_bw_knife_40_n03041632_18863.png
sixteen21--salt-and-pepper-noise-multiple,1,14,NaN,knife,knife,bw,0014_clp_dnn_bw_knife_40_n03041632_82197.png
sixteen21--salt-and-pepper-noise-multiple,1,15,NaN,knife,knife,bw,0015_clp_dnn_bw_knife_40_n03041632_89912.png
sixteen21--salt-and-pepper-noise-multiple,1,16,NaN,keyboard,knife,bw,0016_clp_dnn_bw_knife_40_n03041632_51617.png
sixteen21--salt-and-pepper-noise-multiple,1,17,NaN,clock,knife,bw,0017_clp_dnn_bw_knife_40_n03041632_31363.png
sixteen21--salt-and-pepper-noise-multiple,1,18,NaN,knife,knife,bw,0018_clp_dnn_bw_knife_40_n03041632_20576.png
sixteen21--salt-and-pepper-noise-multiple,1,19,NaN,clock,knife,bw,0019_clp_dnn_bw_knife_40_n03041632_40283.png
sixteen21--salt-and-pepper-noise-multiple,1,20,NaN,clock,knife,bw,0020_clp_dnn_bw_knife_40_n03041632_14442.png
sixteen21--salt-and-pepper-noise-multiple,1,21,NaN,clock,knife,bw,0021_clp_dnn_bw_knife_40_n03041632_7495.png
sixteen21--salt-and-pepper-noise-multiple,1,22,NaN,clock,knife,bw,0022_clp_dnn_bw_knife_40_n03041632_23736.png
sixteen21--salt-and-pepper-noise-multiple,1,23,NaN,clock,knife,bw,0023_clp_dnn_bw_knife_40_n03041632_94155.png
sixteen21--salt-and-pepper-noise-multiple,1,24,NaN,clock,knife,bw,0024_clp_dnn_bw_knife_40_n03041632_43625.png
sixteen21--salt-and-pepper-noise-multiple,1,25,NaN,clock,knife,bw,0025_clp_dnn_bw_knife_40_n03041632_12242.png
sixteen21--salt-and-pepper-noise-multiple,1,26,NaN,clock,knife,bw,0026_clp_dnn_bw_knife_40_n03041632_2386.png
sixteen21--salt-and-pepper-noise-multiple,1,27,NaN,knife,knife,bw,0027_clp_dnn_bw_knife_40_n03041632_81630.png
sixteen21--salt-and-pepper-noise-multiple,1,28,NaN,knife,knife,bw,0028_clp_dnn_bw_knife_40_n03041632_4269.png
sixteen21--salt-and-pepper-noise-multiple,1,29,NaN,knife,knife,bw,0029_clp_dnn_bw_knife_40_n03041632_32054.png
sixteen21--salt-and-pepper-noise-multiple,1,30,NaN,clock,knife,bw,0030_clp_dnn_bw_knife_40_n03041632_4806.png
sixteen21--salt-and-pepper-noise-multiple,1,31,NaN,knife,knife,bw,0031_clp_dnn_bw_knife_40_n03041632_22988.png
sixteen21--salt-and-pepper-noise-multiple,1,32,NaN,clock,knife,bw,0032_clp_dnn_bw_knife_40_n03041632_46422.png
sixteen21--salt-and-pepper-noise-multiple,1,33,NaN,clock,knife,bw,0033_clp_dnn_bw_knife_40_n03041632_13130.png
sixteen21--salt-and-pepper-noise-multiple,1,34,NaN,knife,knife,bw,0034_clp_dnn_bw_knife_40_n03041632_126.png
sixteen21--salt-and-pepper-noise-multiple,1,35,NaN,knife,knife,bw,0035_clp_dnn_bw_knife_40_n03041632_13612.png
sixteen21--salt-and-pepper-noise-multiple,1,36,NaN,clock,knife,bw,0036_clp_dnn_bw_knife_40_n03041632_42162.png
sixteen21--salt-and-pepper-noise-multiple,1,37,NaN,clock,knife,bw,0037_clp_dnn_bw_knife_40_n03041632_87339.png
sixteen21--salt-and-pepper-noise-multiple,1,38,NaN,clock,knife,bw,0038_clp_dnn_bw_knife_40_n03041632_86554.png
sixteen21--salt-and-pepper-noise-multiple,1,39,NaN,clock,knife,bw,0039_clp_dnn_bw_knife_40_n03041632_2390.png
sixteen21--salt-and-pepper-noise-multiple,1,40,NaN,clock,knife,bw,0040_clp_dnn_bw_knife_40_n03041632_32459.png
sixteen21--salt-and-pepper-noise-multiple,1,41,NaN,clock,keyboard,bw,0041_clp_dnn_bw_keyboard_40_n04505470_10690.png
sixteen21--salt-and-pepper-noise-multiple,1,42,NaN,keyboard,keyboard,bw,0042_clp_dnn_bw_keyboard_40_n03085013_24521.png
sixteen21--salt-and-pepper-noise-multiple,1,43,NaN,clock,keyboard,bw,0043_clp_dnn_bw_keyboard_40_n04505470_1157.png
sixteen21--salt-and-pepper-noise-multiple,1,44,NaN,clock,keyboard,bw,0044_clp_dnn_bw_keyboard_40_n03085013_31238.png
sixteen21--salt-and-pepper-noise-multiple,1,45,NaN,keyboard,keyboard,bw,0045_clp_dnn_bw_keyboard_40_n03085013_9156.png
sixteen21--salt-and-pepper-noise-multiple,1,46,NaN,clock,keyboard,bw,0046_clp_dnn_bw_keyboard_40_n04505470_2889.png
sixteen21--salt-and-pepper-noise-multiple,1,47,NaN,clock,keyboard,bw,0047_clp_dnn_bw_keyboard_40_n04505470_2518.png
sixteen21--salt-and-pepper-noise-multiple,1,48,NaN,clock,keyboard,bw,0048_clp_dnn_bw_keyboard_40_n03085013_1193.png
sixteen21--salt-and-pepper-noise-multiple,1,49,NaN,knife,keyboard,bw,0049_clp_dnn_bw_keyboard_40_n03085013_5611.png
sixteen21--salt-and-pepper-noise-multiple,1,50,NaN,keyboard,keyboard,bw,0050_clp_dnn_bw_keyboard_40_n03085013_7091.png
sixteen21--salt-and-pepper-noise-multiple,1,51,NaN,knife,keyboard,bw,0051_clp_dnn_bw_keyboard_40_n04505470_9741.png
sixteen21--salt-and-pepper-noise-multiple,1,52,NaN,clock,keyboard,bw,0052_clp_dnn_bw_keyboard_40_n04505470_10786.png
sixteen21--salt-and-pepper-noise-multiple,1,53,NaN,clock,keyboard,bw,0053_clp_dnn_bw_keyboard_40_n03085013_3691.png
sixteen21--salt-and-pepper-noise-multiple,1,54,NaN,keyboard,keyboard,bw,0054_clp_dnn_bw_keyboard_40_n03085013_7913.png
sixteen21--salt-and-pepper-noise-multiple,1,55,NaN,knife,keyboard,bw,0055_clp_dnn_bw_keyboard_40_n03085013_7317.png
sixteen21--salt-and-pepper-noise-multiple,1,56,NaN,clock,keyboard,bw,0056_clp_dnn_bw_keyboard_40_n03085013_18902.png
sixteen21--salt-and-pepper-noise-multiple,1,57,NaN,keyboard,keyboard,bw,0057_clp_dnn_bw_keyboard_40_n03085013_24161.png
sixteen21--salt-and-pepper-noise-multiple,1,58,NaN,knife,keyboard,bw,0058_clp_dnn_bw_keyboard_40_n03085013_27859.png
sixteen21--salt-and-pepper-noise-multiple,1,59,NaN,clock,keyboard,bw,0059_clp_dnn_bw_keyboard_40_n04505470_3345.png
sixteen21--salt-and-pepper-noise-multiple,1,60,NaN,clock,keyboard,bw,0060_clp_dnn_bw_keyboard_40_n03085013_9533.png
sixteen21--salt-and-pepper-noise-multiple,1,61,NaN,clock,keyboard,bw,0061_clp_dnn_bw_keyboard_40_n04505470_510.png
sixteen21--salt-and-pepper-noise-multiple,1,62,NaN,knife,keyboard,bw,0062_clp_dnn_bw_keyboard_40_n03085013_19345.png
sixteen21--salt-and-pepper-noise-multiple,1,63,NaN,keyboard,keyboard,bw,0063_clp_dnn_bw_keyboard_40_n03085013_23697.png
sixteen21--salt-and-pepper-noise-multiple,1,64,NaN,knife,keyboard,bw,0064_clp_dnn_bw_keyboard_40_n04505470_4748.png
sixteen21--salt-and-pepper-noise-multiple,1,65,NaN,knife,keyboard,bw,0065_clp_dnn_bw_keyboard_40_n03085013_28083.png
sixteen21--salt-and-pepper-noise-multiple,1,66,NaN,clock,keyboard,bw,0066_clp_dnn_bw_keyboard_40_n04505470_4243.png
sixteen21--salt-and-pepper-noise-multiple,1,67,NaN,clock,keyboard,bw,0067_clp_dnn_bw_keyboard_40_n04505470_1375.png
sixteen21--salt-and-pepper-noise-multiple,1,68,NaN,knife,keyboard,bw,0068_clp_dnn_bw_keyboard_40_n03085013_7285.png
sixteen21--salt-and-pepper-noise-multiple,1,69,NaN,clock,keyboard,bw,0069_clp_dnn_bw_keyboard_40_n04505470_5056.png
sixteen21--salt-and-pepper-noise-multiple,1,70,NaN,clock,keyboard,bw,0070_clp_dnn_bw_keyboard_40_n04505470_8754.png
sixteen21--salt-and-pepper-noise-multiple,1,71,NaN,clock,keyboard,bw,0071_clp_dnn_bw_keyboard_40_n03085013_24250.png
