subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,1,NaN,clock,knife,bw,1281_clp_dnn_bw_knife_40_n03041632_18766.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,2,NaN,clock,knife,bw,1282_clp_dnn_bw_knife_40_n03041632_94620.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,3,NaN,clock,knife,bw,1283_clp_dnn_bw_knife_40_n03041632_16020.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,4,NaN,clock,knife,bw,1284_clp_dnn_bw_knife_40_n03041632_14224.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,5,NaN,clock,knife,bw,1285_clp_dnn_bw_knife_40_n03041632_8618.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,6,NaN,knife,knife,bw,1286_clp_dnn_bw_knife_40_n03041632_92063.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,7,NaN,clock,knife,bw,1287_clp_dnn_bw_knife_40_n03041632_10796.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,8,NaN,knife,knife,bw,1288_clp_dnn_bw_knife_40_n03041632_40887.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,9,NaN,clock,knife,bw,1289_clp_dnn_bw_knife_40_n03041632_18995.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,10,NaN,clock,knife,bw,1290_clp_dnn_bw_knife_40_n03041632_10136.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,11,NaN,clock,knife,bw,1291_clp_dnn_bw_knife_40_n03041632_10802.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,12,NaN,knife,knife,bw,1292_clp_dnn_bw_knife_40_n03041632_36215.png
