subj,session,trial,rt,object_response,category,condition,imagename
sixteen27--uniform-noise-multiple--200epochs,1,1,NaN,clock,knife,bw,0001_clp_dnn_bw_knife_40_n03041632_32004.png
sixteen27--uniform-noise-multiple--200epochs,1,2,NaN,clock,knife,bw,0002_clp_dnn_bw_knife_40_n03041632_27963.png
sixteen27--uniform-noise-multiple--200epochs,1,3,NaN,clock,knife,bw,0003_clp_dnn_bw_knife_40_n03041632_45622.png
sixteen27--uniform-noise-multiple--200epochs,1,4,NaN,clock,knife,bw,0004_clp_dnn_bw_knife_40_n03041632_3504.png
sixteen27--uniform-noise-multiple--200epochs,1,5,NaN,knife,knife,bw,0005_clp_dnn_bw_knife_40_n03041632_51339.png
sixteen27--uniform-noise-multiple--200epochs,1,6,NaN,knife,knife,bw,0006_clp_dnn_bw_knife_40_n03041632_11285.png
sixteen27--uniform-noise-multiple--200epochs,1,7,NaN,clock,knife,bw,0007_clp_dnn_bw_knife_40_n03041632_13846.png
sixteen27--uniform-noise-multiple--200epochs,1,8,NaN,chair,knife,bw,0008_clp_dnn_bw_knife_40_n03041632_27022.png
sixteen27--uniform-noise-multiple--200epochs,1,9,NaN,knife,knife,bw,0009_clp_dnn_bw_knife_40_n03041632_24100.png
sixteen27--uniform-noise-multiple--200epochs,1,10,NaN,clock,knife,bw,0010_clp_dnn_bw_knife_40_n03041632_29037.png
sixteen27--uniform-noise-multiple--200epochs,1,11,NaN,knife,knife,bw,0011_clp_dnn_bw_knife_40_n03041632_17100.png
sixteen27--uniform-noise-multiple--200epochs,1,12,NaN,bottle,knife,bw,0012_clp_dnn_bw_knife_40_n03041632_46112.png
sixteen27--uniform-noise-multiple--200epochs,1,13,NaN,knife,knife,bw,0013_clp_dnn_bw_knife_40_n03041632_18863.png
sixteen27--uniform-noise-multiple--200epochs,1,14,NaN,knife,knife,bw,0014_clp_dnn_bw_knife_40_n03041632_82197.png
sixteen27--uniform-noise-multiple--200epochs,1,15,NaN,knife,knife,bw,0015_clp_dnn_bw_knife_40_n03041632_89912.png
sixteen27--uniform-noise-multiple--200epochs,1,16,NaN,knife,knife,bw,0016_clp_dnn_bw_knife_40_n03041632_51617.png
sixteen27--uniform-noise-multiple--200epochs,1,17,NaN,clock,knife,bw,0017_clp_dnn_bw_knife_40_n03041632_31363.png
sixteen27--uniform-noise-multiple--200epochs,1,18,NaN,clock,knife,bw,0018_clp_dnn_bw_knife_40_n03041632_20576.png
sixteen27--uniform-noise-multiple--200epochs,1,19,NaN,knife,knife,bw,0019_clp_dnn_bw_knife_40_n03041632_40283.png
sixteen27--uniform-noise-multiple--200epochs,1,20,NaN,knife,knife,bw,0020_clp_dnn_bw_knife_40_n03041632_14442.png
sixteen27--uniform-noise-multiple--200epochs,1,21,NaN,clock,knife,bw,0021_clp_dnn_bw_knife_40_n03041632_7495.png
sixteen27--uniform-noise-multiple--200epochs,1,22,NaN,knife,knife,bw,0022_clp_dnn_bw_knife_40_n03041632_23736.png
sixteen27--uniform-noise-multiple--200epochs,1,23,NaN,knife,knife,bw,0023_clp_dnn_bw_knife_40_n03041632_94155.png
sixteen27--uniform-noise-multiple--200epochs,1,24,NaN,clock,knife,bw,0024_clp_dnn_bw_knife_40_n03041632_43625.png
sixteen27--uniform-noise-multiple--200epochs,1,25,NaN,clock,knife,bw,0025_clp_dnn_bw_knife_40_n03041632_12242.png
sixteen27--uniform-noise-multiple--200epochs,1,26,NaN,knife,knife,bw,0026_clp_dnn_bw_knife_40_n03041632_2386.png
sixteen27--uniform-noise-multiple--200epochs,1,27,NaN,knife,knife,bw,0027_clp_dnn_bw_knife_40_n03041632_81630.png
sixteen27--uniform-noise-multiple--200epochs,1,28,NaN,knife,knife,bw,0028_clp_dnn_bw_knife_40_n03041632_4269.png
sixteen27--uniform-noise-multiple--200epochs,1,29,NaN,clock,knife,bw,0029_clp_dnn_bw_knife_40_n03041632_32054.png
sixteen27--uniform-noise-multiple--200epochs,1,30,NaN,knife,knife,bw,0030_clp_dnn_bw_knife_40_n03041632_4806.png
sixteen27--uniform-noise-multiple--200epochs,1,31,NaN,knife,knife,bw,0031_clp_dnn_bw_knife_40_n03041632_22988.png
sixteen27--uniform-noise-multiple--200epochs,1,32,NaN,clock,knife,bw,0032_clp_dnn_bw_knife_40_n03041632_46422.png
sixteen27--uniform-noise-multiple--200epochs,1,33,NaN,knife,knife,bw,0033_clp_dnn_bw_knife_40_n03041632_13130.png
sixteen27--uniform-noise-multiple--200epochs,1,34,NaN,clock,knife,bw,0034_clp_dnn_bw_knife_40_n03041632_126.png
sixteen27--uniform-noise-multiple--200epochs,1,35,NaN,clock,knife,bw,0035_clp_dnn_bw_knife_40_n03041632_13612.png
sixteen27--uniform-noise-multiple--200epochs,1,36,NaN,clock,knife,bw,0036_clp_dnn_bw_knife_40_n03041632_42162.png
sixteen27--uniform-noise-multiple--200epochs,1,37,NaN,clock,knife,bw,0037_clp_dnn_bw_knife_40_n03041632_87339.png
sixteen27--uniform-noise-multiple--200epochs,1,38,NaN,clock,knife,bw,0038_clp_dnn_bw_knife_40_n03041632_86554.png
sixteen27--uniform-noise-multiple--200epochs,1,39,NaN,clock,knife,bw,0039_clp_dnn_bw_knife_40_n03041632_2390.png
sixteen27--uniform-noise-multiple--200epochs,1,40,NaN,knife,knife,bw,0040_clp_dnn_bw_knife_40_n03041632_32459.png
sixteen27--uniform-noise-multiple--200epochs,1,41,NaN,knife,keyboard,bw,0041_clp_dnn_bw_keyboard_40_n04505470_10690.png
sixteen27--uniform-noise-multiple--200epochs,1,42,NaN,keyboard,keyboard,bw,0042_clp_dnn_bw_keyboard_40_n03085013_24521.png
sixteen27--uniform-noise-multiple--200epochs,1,43,NaN,clock,keyboard,bw,0043_clp_dnn_bw_keyboard_40_n04505470_1157.png
sixteen27--uniform-noise-multiple--200epochs,1,44,NaN,clock,keyboard,bw,0044_clp_dnn_bw_keyboard_40_n03085013_31238.png
sixteen27--uniform-noise-multiple--200epochs,1,45,NaN,keyboard,keyboard,bw,0045_clp_dnn_bw_keyboard_40_n03085013_9156.png
sixteen27--uniform-noise-multiple--200epochs,1,46,NaN,knife,keyboard,bw,0046_clp_dnn_bw_keyboard_40_n04505470_2889.png
sixteen27--uniform-noise-multiple--200epochs,1,47,NaN,clock,keyboard,bw,0047_clp_dnn_bw_keyboard_40_n04505470_2518.png
sixteen27--uniform-noise-multiple--200epochs,1,48,NaN,keyboard,keyboard,bw,0048_clp_dnn_bw_keyboard_40_n03085013_1193.png
sixteen27--uniform-noise-multiple--200epochs,1,49,NaN,clock,keyboard,bw,0049_clp_dnn_bw_keyboard_40_n03085013_5611.png
sixteen27--uniform-noise-multiple--200epochs,1,50,NaN,keyboard,keyboard,bw,0050_clp_dnn_bw_keyboard_40_n03085013_7091.png
sixteen27--uniform-noise-multiple--200epochs,1,51,NaN,clock,keyboard,bw,0051_clp_dnn_bw_keyboard_40_n04505470_9741.png
sixteen27--uniform-noise-multiple--200epochs,1,52,NaN,knife,keyboard,bw,0052_clp_dnn_bw_keyboard_40_n04505470_10786.png
sixteen27--uniform-noise-multiple--200epochs,1,53,NaN,clock,keyboard,bw,0053_clp_dnn_bw_keyboard_40_n03085013_3691.png
sixteen27--uniform-noise-multiple--200epochs,1,54,NaN,keyboard,keyboard,bw,0054_clp_dnn_bw_keyboard_40_n03085013_7913.png
sixteen27--uniform-noise-multiple--200epochs,1,55,NaN,knife,keyboard,bw,0055_clp_dnn_bw_keyboard_40_n03085013_7317.png
sixteen27--uniform-noise-multiple--200epochs,1,56,NaN,clock,keyboard,bw,0056_clp_dnn_bw_keyboard_40_n03085013_18902.png
sixteen27--uniform-noise-multiple--200epochs,1,57,NaN,keyboard,keyboard,bw,0057_clp_dnn_bw_keyboard_40_n03085013_24161.png
sixteen27--uniform-noise-multiple--200epochs,1,58,NaN,knife,keyboard,bw,0058_clp_dnn_bw_keyboard_40_n03085013_27859.png
sixteen27--uniform-noise-multiple--200epochs,1,59,NaN,knife,keyboard,bw,0059_clp_dnn_bw_keyboard_40_n04505470_3345.png
sixteen27--uniform-noise-multiple--200epochs,1,60,NaN,clock,keyboard,bw,0060_clp_dnn_bw_keyboard_40_n03085013_9533.png
sixteen27--uniform-noise-multiple--200epochs,1,61,NaN,knife,keyboard,bw,0061_clp_dnn_bw_keyboard_40_n04505470_510.png
sixteen27--uniform-noise-multiple--200epochs,1,62,NaN,knife,keyboard,bw,0062_clp_dnn_bw_keyboard_40_n03085013_19345.png
sixteen27--uniform-noise-multiple--200epochs,1,63,NaN,keyboard,keyboard,bw,0063_clp_dnn_bw_keyboard_40_n03085013_23697.png
sixteen27--uniform-noise-multiple--200epochs,1,64,NaN,clock,keyboard,bw,0064_clp_dnn_bw_keyboard_40_n04505470_4748.png
sixteen27--uniform-noise-multiple--200epochs,1,65,NaN,knife,keyboard,bw,0065_clp_dnn_bw_keyboard_40_n03085013_28083.png
sixteen27--uniform-noise-multiple--200epochs,1,66,NaN,clock,keyboard,bw,0066_clp_dnn_bw_keyboard_40_n04505470_4243.png
sixteen27--uniform-noise-multiple--200epochs,1,67,NaN,knife,keyboard,bw,0067_clp_dnn_bw_keyboard_40_n04505470_1375.png
sixteen27--uniform-noise-multiple--200epochs,1,68,NaN,knife,keyboard,bw,0068_clp_dnn_bw_keyboard_40_n03085013_7285.png
sixteen27--uniform-noise-multiple--200epochs,1,69,NaN,clock,keyboard,bw,0069_clp_dnn_bw_keyboard_40_n04505470_5056.png
sixteen27--uniform-noise-multiple--200epochs,1,70,NaN,knife,keyboard,bw,0070_clp_dnn_bw_keyboard_40_n04505470_8754.png
sixteen27--uniform-noise-multiple--200epochs,1,71,NaN,clock,keyboard,bw,0071_clp_dnn_bw_keyboard_40_n03085013_24250.png
sixteen27--uniform-noise-multiple--200epochs,1,72,NaN,clock,keyboard,bw,0072_clp_dnn_bw_keyboard_40_n03085013_18876.png
sixteen27--uniform-noise-multiple--200epochs,1,73,NaN,clock,keyboard,bw,0073_clp_dnn_bw_keyboard_40_n04505470_7499.png
sixteen27--uniform-noise-multiple--200epochs,1,74,NaN,knife,keyboard,bw,0074_clp_dnn_bw_keyboard_40_n03085013_21263.png
sixteen27--uniform-noise-multiple--200epochs,1,75,NaN,clock,keyboard,bw,0075_clp_dnn_bw_keyboard_40_n03085013_9318.png
sixteen27--uniform-noise-multiple--200epochs,1,76,NaN,knife,keyboard,bw,0076_clp_dnn_bw_keyboard_40_n04505470_2158.png
sixteen27--uniform-noise-multiple--200epochs,1,77,NaN,clock,keyboard,bw,0077_clp_dnn_bw_keyboard_40_n03085013_2300.png
sixteen27--uniform-noise-multiple--200epochs,1,78,NaN,knife,keyboard,bw,0078_clp_dnn_bw_keyboard_40_n04505470_6.png
sixteen27--uniform-noise-multiple--200epochs,1,79,NaN,clock,keyboard,bw,0079_clp_dnn_bw_keyboard_40_n04505470_4477.png
sixteen27--uniform-noise-multiple--200epochs,1,80,NaN,knife,keyboard,bw,0080_clp_dnn_bw_keyboard_40_n04505470_284.png
sixteen27--uniform-noise-multiple--200epochs,1,81,NaN,knife,elephant,bw,0081_clp_dnn_bw_elephant_40_n02504458_10444.png
sixteen27--uniform-noise-multiple--200epochs,1,82,NaN,knife,elephant,bw,0082_clp_dnn_bw_elephant_40_n02504013_3911.png
sixteen27--uniform-noise-multiple--200epochs,1,83,NaN,clock,elephant,bw,0083_clp_dnn_bw_elephant_40_n02504013_3138.png
sixteen27--uniform-noise-multiple--200epochs,1,84,NaN,knife,elephant,bw,0084_clp_dnn_bw_elephant_40_n02504013_6379.png
sixteen27--uniform-noise-multiple--200epochs,1,85,NaN,knife,elephant,bw,0085_clp_dnn_bw_elephant_40_n02504458_4.png
sixteen27--uniform-noise-multiple--200epochs,1,86,NaN,knife,elephant,bw,0086_clp_dnn_bw_elephant_40_n02504458_4763.png
sixteen27--uniform-noise-multiple--200epochs,1,87,NaN,knife,elephant,bw,0087_clp_dnn_bw_elephant_40_n02504458_6993.png
sixteen27--uniform-noise-multiple--200epochs,1,88,NaN,clock,elephant,bw,0088_clp_dnn_bw_elephant_40_n02504458_6830.png
sixteen27--uniform-noise-multiple--200epochs,1,89,NaN,knife,elephant,bw,0089_clp_dnn_bw_elephant_40_n02504458_5251.png
sixteen27--uniform-noise-multiple--200epochs,1,90,NaN,knife,elephant,bw,0090_clp_dnn_bw_elephant_40_n02504458_690.png
sixteen27--uniform-noise-multiple--200epochs,1,91,NaN,knife,elephant,bw,0091_clp_dnn_bw_elephant_40_n02504013_10184.png
sixteen27--uniform-noise-multiple--200epochs,1,92,NaN,knife,elephant,bw,0092_clp_dnn_bw_elephant_40_n02504458_4052.png
sixteen27--uniform-noise-multiple--200epochs,1,93,NaN,clock,elephant,bw,0093_clp_dnn_bw_elephant_40_n02504458_3579.png
sixteen27--uniform-noise-multiple--200epochs,1,94,NaN,cat,elephant,bw,0094_clp_dnn_bw_elephant_40_n02504458_5923.png
sixteen27--uniform-noise-multiple--200epochs,1,95,NaN,elephant,elephant,bw,0095_clp_dnn_bw_elephant_40_n02504013_6720.png
sixteen27--uniform-noise-multiple--200epochs,1,96,NaN,knife,elephant,bw,0096_clp_dnn_bw_elephant_40_n02504458_9094.png
sixteen27--uniform-noise-multiple--200epochs,1,97,NaN,knife,elephant,bw,0097_clp_dnn_bw_elephant_40_n02504458_7805.png
sixteen27--uniform-noise-multiple--200epochs,1,98,NaN,knife,elephant,bw,0098_clp_dnn_bw_elephant_40_n02504013_133.png
sixteen27--uniform-noise-multiple--200epochs,1,99,NaN,knife,elephant,bw,0099_clp_dnn_bw_elephant_40_n02504458_7642.png
sixteen27--uniform-noise-multiple--200epochs,1,100,NaN,knife,elephant,bw,0100_clp_dnn_bw_elephant_40_n02504458_6135.png
