subj,session,trial,rt,object_response,category,condition,imagename
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,1,NaN,knife,knife,bw,1281_clp_dnn_bw_knife_40_n03041632_18766.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,2,NaN,knife,knife,bw,1282_clp_dnn_bw_knife_40_n03041632_94620.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,3,NaN,knife,knife,bw,1283_clp_dnn_bw_knife_40_n03041632_16020.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,4,NaN,knife,knife,bw,1284_clp_dnn_bw_knife_40_n03041632_14224.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,5,NaN,knife,knife,bw,1285_clp_dnn_bw_knife_40_n03041632_8618.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,6,NaN,knife,knife,bw,1286_clp_dnn_bw_knife_40_n03041632_92063.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,7,NaN,knife,knife,bw,1287_clp_dnn_bw_knife_40_n03041632_10796.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,8,NaN,knife,knife,bw,1288_clp_dnn_bw_knife_40_n03041632_40887.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,9,NaN,knife,knife,bw,1289_clp_dnn_bw_knife_40_n03041632_18995.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,10,NaN,knife,knife,bw,1290_clp_dnn_bw_knife_40_n03041632_10136.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,11,NaN,knife,knife,bw,1291_clp_dnn_bw_knife_40_n03041632_10802.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,12,NaN,knife,knife,bw,1292_clp_dnn_bw_knife_40_n03041632_36215.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,13,NaN,knife,knife,bw,1293_clp_dnn_bw_knife_40_n03041632_21723.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,14,NaN,knife,knife,bw,1294_clp_dnn_bw_knife_40_n03041632_91582.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,15,NaN,knife,knife,bw,1295_clp_dnn_bw_knife_40_n03041632_35260.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,16,NaN,knife,knife,bw,1296_clp_dnn_bw_knife_40_n03041632_20504.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,17,NaN,knife,knife,bw,1297_clp_dnn_bw_knife_40_n03041632_1143.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,18,NaN,knife,knife,bw,1298_clp_dnn_bw_knife_40_n03041632_8666.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,19,NaN,knife,knife,bw,1299_clp_dnn_bw_knife_40_n03041632_22964.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,20,NaN,knife,knife,bw,1300_clp_dnn_bw_knife_40_n03041632_19614.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,21,NaN,knife,knife,bw,1301_clp_dnn_bw_knife_40_n03041632_11603.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,22,NaN,knife,knife,bw,1302_clp_dnn_bw_knife_40_n03041632_21472.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,23,NaN,knife,knife,bw,1303_clp_dnn_bw_knife_40_n03041632_4714.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,24,NaN,knife,knife,bw,1304_clp_dnn_bw_knife_40_n03041632_37274.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,25,NaN,knife,knife,bw,1305_clp_dnn_bw_knife_40_n03041632_4975.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,26,NaN,knife,knife,bw,1306_clp_dnn_bw_knife_40_n03041632_29886.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,27,NaN,knife,knife,bw,1307_clp_dnn_bw_knife_40_n03041632_50648.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,28,NaN,knife,knife,bw,1308_clp_dnn_bw_knife_40_n03041632_99460.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,29,NaN,knife,knife,bw,1309_clp_dnn_bw_knife_40_n03041632_9488.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,30,NaN,knife,knife,bw,1310_clp_dnn_bw_knife_40_n03041632_7707.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,31,NaN,knife,knife,bw,1311_clp_dnn_bw_knife_40_n03041632_27709.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,32,NaN,knife,knife,bw,1312_clp_dnn_bw_knife_40_n03041632_15444.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,33,NaN,knife,knife,bw,1313_clp_dnn_bw_knife_40_n03041632_13518.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,2,34,NaN,knife,knife,bw,1314_clp_dnn_bw_knife_40_n03041632_47743.png
