subj,session,trial,rt,object_response,category,condition,imagename
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,1,NaN,knife,knife,bw,7681_clp_dnn_bw_knife_40_n03041632_44133.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,2,NaN,knife,knife,bw,7682_clp_dnn_bw_knife_40_n03041632_17091.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,3,NaN,knife,knife,bw,7683_clp_dnn_bw_knife_40_n03041632_22190.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,4,NaN,knife,knife,bw,7684_clp_dnn_bw_knife_40_n03041632_16932.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,5,NaN,knife,knife,bw,7685_clp_dnn_bw_knife_40_n03041632_21017.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,6,NaN,knife,knife,bw,7686_clp_dnn_bw_knife_40_n03041632_14883.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,7,NaN,dog,knife,bw,7687_clp_dnn_bw_knife_40_n03041632_29285.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,8,NaN,knife,knife,bw,7688_clp_dnn_bw_knife_40_n03041632_39883.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,9,NaN,knife,knife,bw,7689_clp_dnn_bw_knife_40_n03041632_21034.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,10,NaN,chair,knife,bw,7690_clp_dnn_bw_knife_40_n03041632_19971.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,11,NaN,knife,knife,bw,7691_clp_dnn_bw_knife_40_n03041632_51581.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,12,NaN,knife,knife,bw,7692_clp_dnn_bw_knife_40_n03041632_13656.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,13,NaN,knife,knife,bw,7693_clp_dnn_bw_knife_40_n03041632_28202.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,14,NaN,knife,knife,bw,7694_clp_dnn_bw_knife_40_n03041632_23548.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,15,NaN,knife,knife,bw,7695_clp_dnn_bw_knife_40_n03041632_11741.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,16,NaN,knife,knife,bw,7696_clp_dnn_bw_knife_40_n03041632_40652.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,17,NaN,knife,knife,bw,7697_clp_dnn_bw_knife_40_n03041632_131.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,18,NaN,knife,knife,bw,7698_clp_dnn_bw_knife_40_n03041632_4494.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,19,NaN,knife,knife,bw,7699_clp_dnn_bw_knife_40_n03041632_42887.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,20,NaN,knife,knife,bw,7700_clp_dnn_bw_knife_40_n03041632_44363.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,21,NaN,knife,knife,bw,7701_clp_dnn_bw_knife_40_n03041632_21859.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,22,NaN,knife,knife,bw,7702_clp_dnn_bw_knife_40_n03041632_36277.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,23,NaN,knife,knife,bw,7703_clp_dnn_bw_knife_40_n03041632_32377.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,24,NaN,knife,knife,bw,7704_clp_dnn_bw_knife_40_n03041632_36247.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,25,NaN,knife,knife,bw,7705_clp_dnn_bw_knife_40_n03041632_17285.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,26,NaN,knife,knife,bw,7706_clp_dnn_bw_knife_40_n03041632_10777.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,27,NaN,knife,knife,bw,7707_clp_dnn_bw_knife_40_n03041632_19866.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,28,NaN,knife,knife,bw,7708_clp_dnn_bw_knife_40_n03041632_289.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,29,NaN,knife,knife,bw,7709_clp_dnn_bw_knife_40_n03041632_28009.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,30,NaN,knife,knife,bw,7710_clp_dnn_bw_knife_40_n03041632_21425.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,31,NaN,knife,knife,bw,7711_clp_dnn_bw_knife_40_n03041632_36834.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,32,NaN,knife,knife,bw,7712_clp_dnn_bw_knife_40_n03041632_5916.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,33,NaN,knife,knife,bw,7713_clp_dnn_bw_knife_40_n03041632_45569.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,34,NaN,knife,knife,bw,7714_clp_dnn_bw_knife_40_n03041632_46720.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,35,NaN,knife,knife,bw,7715_clp_dnn_bw_knife_40_n03041632_26933.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,36,NaN,knife,knife,bw,7716_clp_dnn_bw_knife_40_n03041632_24461.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,37,NaN,knife,knife,bw,7717_clp_dnn_bw_knife_40_n03041632_38433.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,38,NaN,knife,knife,bw,7718_clp_dnn_bw_knife_40_n03041632_17349.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,39,NaN,knife,knife,bw,7719_clp_dnn_bw_knife_40_n03041632_50332.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,40,NaN,knife,knife,bw,7720_clp_dnn_bw_knife_40_n03041632_15174.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,41,NaN,keyboard,keyboard,bw,7721_clp_dnn_bw_keyboard_40_n03085013_24045.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,42,NaN,keyboard,keyboard,bw,7722_clp_dnn_bw_keyboard_40_n03085013_23672.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,43,NaN,keyboard,keyboard,bw,7723_clp_dnn_bw_keyboard_40_n04505470_4741.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,44,NaN,keyboard,keyboard,bw,7724_clp_dnn_bw_keyboard_40_n04505470_6800.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,45,NaN,keyboard,keyboard,bw,7725_clp_dnn_bw_keyboard_40_n04505470_5141.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,46,NaN,keyboard,keyboard,bw,7726_clp_dnn_bw_keyboard_40_n04505470_4356.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,47,NaN,keyboard,keyboard,bw,7727_clp_dnn_bw_keyboard_40_n04505470_2600.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,48,NaN,keyboard,keyboard,bw,7728_clp_dnn_bw_keyboard_40_n04505470_4358.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,49,NaN,keyboard,keyboard,bw,7729_clp_dnn_bw_keyboard_40_n03085013_679.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,50,NaN,keyboard,keyboard,bw,7730_clp_dnn_bw_keyboard_40_n04505470_7681.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,51,NaN,keyboard,keyboard,bw,7731_clp_dnn_bw_keyboard_40_n03085013_21466.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,52,NaN,keyboard,keyboard,bw,7732_clp_dnn_bw_keyboard_40_n03085013_14643.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,53,NaN,keyboard,keyboard,bw,7733_clp_dnn_bw_keyboard_40_n04505470_4363.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,54,NaN,keyboard,keyboard,bw,7734_clp_dnn_bw_keyboard_40_n04505470_2601.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,55,NaN,keyboard,keyboard,bw,7735_clp_dnn_bw_keyboard_40_n04505470_1691.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,56,NaN,keyboard,keyboard,bw,7736_clp_dnn_bw_keyboard_40_n03085013_22254.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,57,NaN,keyboard,keyboard,bw,7737_clp_dnn_bw_keyboard_40_n04505470_4246.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,58,NaN,keyboard,keyboard,bw,7738_clp_dnn_bw_keyboard_40_n03085013_914.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,59,NaN,keyboard,keyboard,bw,7739_clp_dnn_bw_keyboard_40_n03085013_4600.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,60,NaN,keyboard,keyboard,bw,7740_clp_dnn_bw_keyboard_40_n03085013_4156.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,61,NaN,keyboard,keyboard,bw,7741_clp_dnn_bw_keyboard_40_n04505470_1245.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,62,NaN,keyboard,keyboard,bw,7742_clp_dnn_bw_keyboard_40_n04505470_6656.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,63,NaN,keyboard,keyboard,bw,7743_clp_dnn_bw_keyboard_40_n03085013_18672.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,64,NaN,keyboard,keyboard,bw,7744_clp_dnn_bw_keyboard_40_n03085013_19285.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,65,NaN,keyboard,keyboard,bw,7745_clp_dnn_bw_keyboard_40_n03085013_21231.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,66,NaN,keyboard,keyboard,bw,7746_clp_dnn_bw_keyboard_40_n04505470_276.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,67,NaN,keyboard,keyboard,bw,7747_clp_dnn_bw_keyboard_40_n03085013_25181.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,68,NaN,keyboard,keyboard,bw,7748_clp_dnn_bw_keyboard_40_n04505470_5726.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,69,NaN,keyboard,keyboard,bw,7749_clp_dnn_bw_keyboard_40_n03085013_21399.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,70,NaN,keyboard,keyboard,bw,7750_clp_dnn_bw_keyboard_40_n04505470_4294.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,71,NaN,keyboard,keyboard,bw,7751_clp_dnn_bw_keyboard_40_n04505470_1787.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,72,NaN,keyboard,keyboard,bw,7752_clp_dnn_bw_keyboard_40_n03085013_26171.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,73,NaN,keyboard,keyboard,bw,7753_clp_dnn_bw_keyboard_40_n03085013_3733.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,74,NaN,keyboard,keyboard,bw,7754_clp_dnn_bw_keyboard_40_n04505470_6272.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,75,NaN,keyboard,keyboard,bw,7755_clp_dnn_bw_keyboard_40_n03085013_15530.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,76,NaN,keyboard,keyboard,bw,7756_clp_dnn_bw_keyboard_40_n04505470_5112.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,77,NaN,keyboard,keyboard,bw,7757_clp_dnn_bw_keyboard_40_n04505470_9788.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,78,NaN,keyboard,keyboard,bw,7758_clp_dnn_bw_keyboard_40_n03085013_3920.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,79,NaN,keyboard,keyboard,bw,7759_clp_dnn_bw_keyboard_40_n04505470_470.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,80,NaN,keyboard,keyboard,bw,7760_clp_dnn_bw_keyboard_40_n03085013_19601.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,81,NaN,elephant,elephant,bw,7761_clp_dnn_bw_elephant_40_n02504458_9835.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,82,NaN,elephant,elephant,bw,7762_clp_dnn_bw_elephant_40_n02504013_3402.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,83,NaN,elephant,elephant,bw,7763_clp_dnn_bw_elephant_40_n02504458_8064.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,84,NaN,elephant,elephant,bw,7764_clp_dnn_bw_elephant_40_n02504013_2536.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,85,NaN,elephant,elephant,bw,7765_clp_dnn_bw_elephant_40_n02504013_3519.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,86,NaN,elephant,elephant,bw,7766_clp_dnn_bw_elephant_40_n02504458_6236.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,87,NaN,elephant,elephant,bw,7767_clp_dnn_bw_elephant_40_n02504013_5641.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,88,NaN,elephant,elephant,bw,7768_clp_dnn_bw_elephant_40_n02504013_2594.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,89,NaN,elephant,elephant,bw,7769_clp_dnn_bw_elephant_40_n02504013_7530.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,90,NaN,elephant,elephant,bw,7770_clp_dnn_bw_elephant_40_n02504458_5992.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,91,NaN,elephant,elephant,bw,7771_clp_dnn_bw_elephant_40_n02504458_5853.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,92,NaN,elephant,elephant,bw,7772_clp_dnn_bw_elephant_40_n02504013_3295.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,7,93,NaN,elephant,elephant,bw,7773_clp_dnn_bw_elephant_40_n02504458_1969.png
