subj,session,trial,rt,object_response,category,condition,imagename
specialised,6,1,,knife,knife,bw,6401_clp_dnn_bw_knife_40_n03041632_10999.png
specialised,6,2,,knife,knife,bw,6402_clp_dnn_bw_knife_40_n03041632_10540.png
specialised,6,3,,knife,knife,bw,6403_clp_dnn_bw_knife_40_n03041632_45264.png
specialised,6,4,,knife,knife,bw,6404_clp_dnn_bw_knife_40_n03041632_84012.png
specialised,6,5,,knife,knife,bw,6405_clp_dnn_bw_knife_40_n03041632_5302.png
specialised,6,6,,knife,knife,bw,6406_clp_dnn_bw_knife_40_n03041632_20707.png
specialised,6,7,,knife,knife,bw,6407_clp_dnn_bw_knife_40_n03041632_32048.png
specialised,6,8,,knife,knife,bw,6408_clp_dnn_bw_knife_40_n03041632_32177.png
specialised,6,9,,knife,knife,bw,6409_clp_dnn_bw_knife_40_n03041632_20433.png
specialised,6,10,,knife,knife,bw,6410_clp_dnn_bw_knife_40_n03041632_32979.png
specialised,6,11,,knife,knife,bw,6411_clp_dnn_bw_knife_40_n03041632_3617.png
specialised,6,12,,knife,knife,bw,6412_clp_dnn_bw_knife_40_n03041632_27575.png
specialised,6,13,,knife,knife,bw,6413_clp_dnn_bw_knife_40_n03041632_102764.png
specialised,6,14,,knife,knife,bw,6414_clp_dnn_bw_knife_40_n03041632_29920.png
specialised,6,15,,knife,knife,bw,6415_clp_dnn_bw_knife_40_n03041632_105581.png
specialised,6,16,,knife,knife,bw,6416_clp_dnn_bw_knife_40_n03041632_26710.png
specialised,6,17,,knife,knife,bw,6417_clp_dnn_bw_knife_40_n03041632_52929.png
specialised,6,18,,knife,knife,bw,6418_clp_dnn_bw_knife_40_n03041632_22051.png
specialised,6,19,,knife,knife,bw,6419_clp_dnn_bw_knife_40_n03041632_95293.png
specialised,6,20,,knife,knife,bw,6420_clp_dnn_bw_knife_40_n03041632_42196.png
specialised,6,21,,knife,knife,bw,6421_clp_dnn_bw_knife_40_n03041632_13194.png
specialised,6,22,,knife,knife,bw,6422_clp_dnn_bw_knife_40_n03041632_7090.png
specialised,6,23,,knife,knife,bw,6423_clp_dnn_bw_knife_40_n03041632_48816.png
specialised,6,24,,knife,knife,bw,6424_clp_dnn_bw_knife_40_n03041632_30286.png
specialised,6,25,,knife,knife,bw,6425_clp_dnn_bw_knife_40_n03041632_16206.png
specialised,6,26,,knife,knife,bw,6426_clp_dnn_bw_knife_40_n03041632_2338.png
specialised,6,27,,knife,knife,bw,6427_clp_dnn_bw_knife_40_n03041632_2319.png
specialised,6,28,,knife,knife,bw,6428_clp_dnn_bw_knife_40_n03041632_3781.png
specialised,6,29,,knife,knife,bw,6429_clp_dnn_bw_knife_40_n03041632_19275.png
specialised,6,30,,knife,knife,bw,6430_clp_dnn_bw_knife_40_n03041632_21818.png
specialised,6,31,,knife,knife,bw,6431_clp_dnn_bw_knife_40_n03041632_16172.png
specialised,6,32,,knife,knife,bw,6432_clp_dnn_bw_knife_40_n03041632_26053.png
specialised,6,33,,knife,knife,bw,6433_clp_dnn_bw_knife_40_n03041632_5801.png
