subj,session,trial,rt,object_response,category,condition,imagename
all-noise,5,1,,knife,knife,c100,5121_cop_dnn_c100_knife_10_n03041632_31037.png
all-noise,5,2,,knife,knife,c100,5122_cop_dnn_c100_knife_10_n03041632_26053.png
all-noise,5,3,,knife,knife,c100,5123_cop_dnn_c100_knife_10_n03041632_18766.png
all-noise,5,4,,knife,knife,c100,5124_cop_dnn_c100_knife_10_n03041632_26933.png
all-noise,5,5,,knife,knife,c100,5125_cop_dnn_c100_knife_10_n03041632_101553.png
all-noise,5,6,,knife,knife,c100,5126_cop_dnn_c100_knife_10_n03041632_9759.png
all-noise,5,7,,knife,knife,c100,5127_cop_dnn_c100_knife_10_n03041632_18601.png
all-noise,5,8,,knife,knife,c100,5128_cop_dnn_c100_knife_10_n03041632_47743.png
all-noise,5,9,,knife,knife,c100,5129_cop_dnn_c100_knife_10_n03041632_27848.png
all-noise,5,10,,knife,knife,c100,5130_cop_dnn_c100_knife_10_n03041632_21017.png
all-noise,5,11,,keyboard,keyboard,c100,5131_cop_dnn_c100_keyboard_10_n04505470_989.png
all-noise,5,12,,keyboard,keyboard,c100,5132_cop_dnn_c100_keyboard_10_n03085013_21183.png
all-noise,5,13,,keyboard,keyboard,c100,5133_cop_dnn_c100_keyboard_10_n04505470_4742.png
all-noise,5,14,,keyboard,keyboard,c100,5134_cop_dnn_c100_keyboard_10_n04505470_4356.png
all-noise,5,15,,keyboard,keyboard,c100,5135_cop_dnn_c100_keyboard_10_n04505470_7015.png
all-noise,5,16,,keyboard,keyboard,c100,5136_cop_dnn_c100_keyboard_10_n03085013_21444.png
all-noise,5,17,,keyboard,keyboard,c100,5137_cop_dnn_c100_keyboard_10_n03085013_14427.png
all-noise,5,18,,keyboard,keyboard,c100,5138_cop_dnn_c100_keyboard_10_n03085013_7010.png
all-noise,5,19,,keyboard,keyboard,c100,5139_cop_dnn_c100_keyboard_10_n04505470_1342.png
all-noise,5,20,,keyboard,keyboard,c100,5140_cop_dnn_c100_keyboard_10_n03085013_20180.png
all-noise,5,21,,elephant,elephant,c100,5141_cop_dnn_c100_elephant_10_n02504013_4099.png
all-noise,5,22,,elephant,elephant,c100,5142_cop_dnn_c100_elephant_10_n02504013_13512.png
all-noise,5,23,,elephant,elephant,c100,5143_cop_dnn_c100_elephant_10_n02504013_1585.png
all-noise,5,24,,elephant,elephant,c100,5144_cop_dnn_c100_elephant_10_n02504013_2640.png
all-noise,5,25,,elephant,elephant,c100,5145_cop_dnn_c100_elephant_10_n02504458_1471.png
all-noise,5,26,,elephant,elephant,c100,5146_cop_dnn_c100_elephant_10_n02504458_6368.png
