subj,session,trial,rt,object_response,category,condition,imagename
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,1,NaN,knife,knife,c100,6401_cop_dnn_c100_knife_10_n03041632_14774.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,2,NaN,knife,knife,c100,6402_cop_dnn_c100_knife_10_n03041632_105581.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,3,NaN,knife,knife,c100,6403_cop_dnn_c100_knife_10_n03041632_13509.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,4,NaN,knife,knife,c100,6404_cop_dnn_c100_knife_10_n03041632_30821.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,5,NaN,knife,knife,c100,6405_cop_dnn_c100_knife_10_n03041632_17338.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,6,NaN,knife,knife,c100,6406_cop_dnn_c100_knife_10_n03041632_17349.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,7,NaN,knife,knife,c100,6407_cop_dnn_c100_knife_10_n03041632_46091.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,8,NaN,knife,knife,c100,6408_cop_dnn_c100_knife_10_n03041632_44133.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,9,NaN,knife,knife,c100,6409_cop_dnn_c100_knife_10_n03041632_29276.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,10,NaN,knife,knife,c100,6410_cop_dnn_c100_knife_10_n03041632_24541.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,11,NaN,keyboard,keyboard,c100,6411_cop_dnn_c100_keyboard_10_n04505470_2235.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,12,NaN,keyboard,keyboard,c100,6412_cop_dnn_c100_keyboard_10_n04505470_5011.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,13,NaN,keyboard,keyboard,c100,6413_cop_dnn_c100_keyboard_10_n04505470_5054.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,14,NaN,keyboard,keyboard,c100,6414_cop_dnn_c100_keyboard_10_n04505470_4732.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,15,NaN,keyboard,keyboard,c100,6415_cop_dnn_c100_keyboard_10_n03085013_18510.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,16,NaN,keyboard,keyboard,c100,6416_cop_dnn_c100_keyboard_10_n03085013_9146.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,17,NaN,keyboard,keyboard,c100,6417_cop_dnn_c100_keyboard_10_n03085013_22960.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,18,NaN,keyboard,keyboard,c100,6418_cop_dnn_c100_keyboard_10_n03085013_12323.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,19,NaN,keyboard,keyboard,c100,6419_cop_dnn_c100_keyboard_10_n04505470_3481.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,20,NaN,keyboard,keyboard,c100,6420_cop_dnn_c100_keyboard_10_n03085013_5622.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,21,NaN,elephant,elephant,c100,6421_cop_dnn_c100_elephant_10_n02504013_1944.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,22,NaN,elephant,elephant,c100,6422_cop_dnn_c100_elephant_10_n02504013_2986.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,23,NaN,elephant,elephant,c100,6423_cop_dnn_c100_elephant_10_n02504013_524.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,24,NaN,elephant,elephant,c100,6424_cop_dnn_c100_elephant_10_n02504013_6515.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,25,NaN,elephant,elephant,c100,6425_cop_dnn_c100_elephant_10_n02504013_5070.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,26,NaN,elephant,elephant,c100,6426_cop_dnn_c100_elephant_10_n02504013_5945.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,27,NaN,elephant,elephant,c100,6427_cop_dnn_c100_elephant_10_n02504013_5501.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,28,NaN,elephant,elephant,c100,6428_cop_dnn_c100_elephant_10_n02504458_62.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,29,NaN,elephant,elephant,c100,6429_cop_dnn_c100_elephant_10_n02504458_493.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,30,NaN,elephant,elephant,c100,6430_cop_dnn_c100_elephant_10_n02504458_2662.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,31,NaN,bicycle,bicycle,c100,6431_cop_dnn_c100_bicycle_10_n03792782_35059.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,32,NaN,bicycle,bicycle,c100,6432_cop_dnn_c100_bicycle_10_n02835271_21294.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,33,NaN,bicycle,bicycle,c100,6433_cop_dnn_c100_bicycle_10_n02835271_12246.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,34,NaN,bicycle,bicycle,c100,6434_cop_dnn_c100_bicycle_10_n02835271_16850.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,35,NaN,bicycle,bicycle,c100,6435_cop_dnn_c100_bicycle_10_n02835271_9594.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,36,NaN,bicycle,bicycle,c100,6436_cop_dnn_c100_bicycle_10_n03792782_13464.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,37,NaN,bicycle,bicycle,c100,6437_cop_dnn_c100_bicycle_10_n03792782_18771.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,38,NaN,bicycle,bicycle,c100,6438_cop_dnn_c100_bicycle_10_n03792782_6761.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,39,NaN,bicycle,bicycle,c100,6439_cop_dnn_c100_bicycle_10_n03792782_9205.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,40,NaN,bicycle,bicycle,c100,6440_cop_dnn_c100_bicycle_10_n03792782_933.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,41,NaN,airplane,airplane,c100,6441_cop_dnn_c100_airplane_10_n02690373_6536.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,42,NaN,airplane,airplane,c100,6442_cop_dnn_c100_airplane_10_n02690373_181.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,43,NaN,airplane,airplane,c100,6443_cop_dnn_c100_airplane_10_n02690373_191.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,44,NaN,airplane,airplane,c100,6444_cop_dnn_c100_airplane_10_n02690373_17157.png
sixteen18--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--uniform-noise--200epochs,6,45,NaN,airplane,airplane,c100,6445_cop_dnn_c100_airplane_10_n02690373_7408.png
