subj,session,trial,rt,object_response,category,condition,imagename
sixteen21--salt-and-pepper-noise-multiple,1,1,NaN,clock,knife,c100,0001_cop_dnn_c100_knife_10_n03041632_43625.png
sixteen21--salt-and-pepper-noise-multiple,1,2,NaN,clock,knife,c100,0002_cop_dnn_c100_knife_10_n03041632_81943.png
sixteen21--salt-and-pepper-noise-multiple,1,3,NaN,clock,knife,c100,0003_cop_dnn_c100_knife_10_n03041632_12242.png
sixteen21--salt-and-pepper-noise-multiple,1,4,NaN,clock,knife,c100,0004_cop_dnn_c100_knife_10_n03041632_24384.png
sixteen21--salt-and-pepper-noise-multiple,1,5,NaN,knife,knife,c100,0005_cop_dnn_c100_knife_10_n03041632_24181.png
sixteen21--salt-and-pepper-noise-multiple,1,6,NaN,knife,knife,c100,0006_cop_dnn_c100_knife_10_n03041632_11773.png
sixteen21--salt-and-pepper-noise-multiple,1,7,NaN,knife,knife,c100,0007_cop_dnn_c100_knife_10_n03041632_20217.png
sixteen21--salt-and-pepper-noise-multiple,1,8,NaN,knife,knife,c100,0008_cop_dnn_c100_knife_10_n03041632_3326.png
sixteen21--salt-and-pepper-noise-multiple,1,9,NaN,keyboard,knife,c100,0009_cop_dnn_c100_knife_10_n03041632_5302.png
sixteen21--salt-and-pepper-noise-multiple,1,10,NaN,knife,knife,c100,0010_cop_dnn_c100_knife_10_n03041632_17820.png
sixteen21--salt-and-pepper-noise-multiple,1,11,NaN,clock,keyboard,c100,0011_cop_dnn_c100_keyboard_10_n03085013_20712.png
sixteen21--salt-and-pepper-noise-multiple,1,12,NaN,knife,keyboard,c100,0012_cop_dnn_c100_keyboard_10_n04505470_5923.png
sixteen21--salt-and-pepper-noise-multiple,1,13,NaN,clock,keyboard,c100,0013_cop_dnn_c100_keyboard_10_n03085013_15125.png
sixteen21--salt-and-pepper-noise-multiple,1,14,NaN,clock,keyboard,c100,0014_cop_dnn_c100_keyboard_10_n03085013_32791.png
sixteen21--salt-and-pepper-noise-multiple,1,15,NaN,clock,keyboard,c100,0015_cop_dnn_c100_keyboard_10_n03085013_24363.png
sixteen21--salt-and-pepper-noise-multiple,1,16,NaN,clock,keyboard,c100,0016_cop_dnn_c100_keyboard_10_n03085013_3980.png
sixteen21--salt-and-pepper-noise-multiple,1,17,NaN,clock,keyboard,c100,0017_cop_dnn_c100_keyboard_10_n03085013_24124.png
sixteen21--salt-and-pepper-noise-multiple,1,18,NaN,clock,keyboard,c100,0018_cop_dnn_c100_keyboard_10_n03085013_23398.png
sixteen21--salt-and-pepper-noise-multiple,1,19,NaN,clock,keyboard,c100,0019_cop_dnn_c100_keyboard_10_n03085013_23845.png
sixteen21--salt-and-pepper-noise-multiple,1,20,NaN,clock,keyboard,c100,0020_cop_dnn_c100_keyboard_10_n03085013_18785.png
sixteen21--salt-and-pepper-noise-multiple,1,21,NaN,knife,elephant,c100,0021_cop_dnn_c100_elephant_10_n02504458_410.png
sixteen21--salt-and-pepper-noise-multiple,1,22,NaN,clock,elephant,c100,0022_cop_dnn_c100_elephant_10_n02504458_494.png
sixteen21--salt-and-pepper-noise-multiple,1,23,NaN,bottle,elephant,c100,0023_cop_dnn_c100_elephant_10_n02504013_281.png
sixteen21--salt-and-pepper-noise-multiple,1,24,NaN,knife,elephant,c100,0024_cop_dnn_c100_elephant_10_n02504458_6930.png
sixteen21--salt-and-pepper-noise-multiple,1,25,NaN,clock,elephant,c100,0025_cop_dnn_c100_elephant_10_n02504013_2350.png
sixteen21--salt-and-pepper-noise-multiple,1,26,NaN,knife,elephant,c100,0026_cop_dnn_c100_elephant_10_n02504458_6499.png
sixteen21--salt-and-pepper-noise-multiple,1,27,NaN,knife,elephant,c100,0027_cop_dnn_c100_elephant_10_n02504458_6029.png
