subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,1,NaN,clock,knife,c100,2561_cop_dnn_c100_knife_10_n03041632_29886.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,2,NaN,knife,knife,c100,2562_cop_dnn_c100_knife_10_n03041632_46103.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,3,NaN,knife,knife,c100,2563_cop_dnn_c100_knife_10_n03041632_82197.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,4,NaN,clock,knife,c100,2564_cop_dnn_c100_knife_10_n03041632_3101.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,5,NaN,clock,knife,c100,2565_cop_dnn_c100_knife_10_n03041632_94202.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,6,NaN,knife,knife,c100,2566_cop_dnn_c100_knife_10_n03041632_38433.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,7,NaN,clock,knife,c100,2567_cop_dnn_c100_knife_10_n03041632_16104.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,8,NaN,clock,knife,c100,2568_cop_dnn_c100_knife_10_n03041632_8666.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,9,NaN,clock,knife,c100,2569_cop_dnn_c100_knife_10_n03041632_10000.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,10,NaN,knife,knife,c100,2570_cop_dnn_c100_knife_10_n03041632_7707.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,11,NaN,clock,keyboard,c100,2571_cop_dnn_c100_keyboard_10_n04505470_5145.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,12,NaN,clock,keyboard,c100,2572_cop_dnn_c100_keyboard_10_n03085013_14237.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,13,NaN,clock,keyboard,c100,2573_cop_dnn_c100_keyboard_10_n04505470_3852.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,14,NaN,clock,keyboard,c100,2574_cop_dnn_c100_keyboard_10_n03085013_5349.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,15,NaN,clock,keyboard,c100,2575_cop_dnn_c100_keyboard_10_n04505470_2130.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,16,NaN,clock,keyboard,c100,2576_cop_dnn_c100_keyboard_10_n04505470_2035.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,17,NaN,clock,keyboard,c100,2577_cop_dnn_c100_keyboard_10_n03085013_21339.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,18,NaN,clock,keyboard,c100,2578_cop_dnn_c100_keyboard_10_n03085013_21615.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,19,NaN,clock,keyboard,c100,2579_cop_dnn_c100_keyboard_10_n03085013_24257.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,20,NaN,clock,keyboard,c100,2580_cop_dnn_c100_keyboard_10_n04505470_2109.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,21,NaN,clock,elephant,c100,2581_cop_dnn_c100_elephant_10_n02504458_863.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,22,NaN,knife,elephant,c100,2582_cop_dnn_c100_elephant_10_n02504013_5225.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,23,NaN,bottle,elephant,c100,2583_cop_dnn_c100_elephant_10_n02504458_6464.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,24,NaN,clock,elephant,c100,2584_cop_dnn_c100_elephant_10_n02504458_7835.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,3,25,NaN,bottle,elephant,c100,2585_cop_dnn_c100_elephant_10_n02504013_1187.png
