subj,session,trial,rt,object_response,category,condition,imagename
sixteen26--grayscale,1,1,NaN,knife,knife,c100,0001_cop_dnn_c100_knife_10_n03041632_43625.png
sixteen26--grayscale,1,2,NaN,knife,knife,c100,0002_cop_dnn_c100_knife_10_n03041632_81943.png
sixteen26--grayscale,1,3,NaN,knife,knife,c100,0003_cop_dnn_c100_knife_10_n03041632_12242.png
sixteen26--grayscale,1,4,NaN,oven,knife,c100,0004_cop_dnn_c100_knife_10_n03041632_24384.png
sixteen26--grayscale,1,5,NaN,knife,knife,c100,0005_cop_dnn_c100_knife_10_n03041632_24181.png
sixteen26--grayscale,1,6,NaN,knife,knife,c100,0006_cop_dnn_c100_knife_10_n03041632_11773.png
sixteen26--grayscale,1,7,NaN,knife,knife,c100,0007_cop_dnn_c100_knife_10_n03041632_20217.png
sixteen26--grayscale,1,8,NaN,knife,knife,c100,0008_cop_dnn_c100_knife_10_n03041632_3326.png
sixteen26--grayscale,1,9,NaN,knife,knife,c100,0009_cop_dnn_c100_knife_10_n03041632_5302.png
sixteen26--grayscale,1,10,NaN,knife,knife,c100,0010_cop_dnn_c100_knife_10_n03041632_17820.png
sixteen26--grayscale,1,11,NaN,keyboard,keyboard,c100,0011_cop_dnn_c100_keyboard_10_n03085013_20712.png
sixteen26--grayscale,1,12,NaN,keyboard,keyboard,c100,0012_cop_dnn_c100_keyboard_10_n04505470_5923.png
sixteen26--grayscale,1,13,NaN,keyboard,keyboard,c100,0013_cop_dnn_c100_keyboard_10_n03085013_15125.png
sixteen26--grayscale,1,14,NaN,keyboard,keyboard,c100,0014_cop_dnn_c100_keyboard_10_n03085013_32791.png
sixteen26--grayscale,1,15,NaN,keyboard,keyboard,c100,0015_cop_dnn_c100_keyboard_10_n03085013_24363.png
sixteen26--grayscale,1,16,NaN,chair,keyboard,c100,0016_cop_dnn_c100_keyboard_10_n03085013_3980.png
sixteen26--grayscale,1,17,NaN,keyboard,keyboard,c100,0017_cop_dnn_c100_keyboard_10_n03085013_24124.png
sixteen26--grayscale,1,18,NaN,chair,keyboard,c100,0018_cop_dnn_c100_keyboard_10_n03085013_23398.png
sixteen26--grayscale,1,19,NaN,keyboard,keyboard,c100,0019_cop_dnn_c100_keyboard_10_n03085013_23845.png
sixteen26--grayscale,1,20,NaN,keyboard,keyboard,c100,0020_cop_dnn_c100_keyboard_10_n03085013_18785.png
sixteen26--grayscale,1,21,NaN,elephant,elephant,c100,0021_cop_dnn_c100_elephant_10_n02504458_410.png
sixteen26--grayscale,1,22,NaN,elephant,elephant,c100,0022_cop_dnn_c100_elephant_10_n02504458_494.png
sixteen26--grayscale,1,23,NaN,elephant,elephant,c100,0023_cop_dnn_c100_elephant_10_n02504013_281.png
sixteen26--grayscale,1,24,NaN,elephant,elephant,c100,0024_cop_dnn_c100_elephant_10_n02504458_6930.png
sixteen26--grayscale,1,25,NaN,elephant,elephant,c100,0025_cop_dnn_c100_elephant_10_n02504013_2350.png
sixteen26--grayscale,1,26,NaN,elephant,elephant,c100,0026_cop_dnn_c100_elephant_10_n02504458_6499.png
sixteen26--grayscale,1,27,NaN,elephant,elephant,c100,0027_cop_dnn_c100_elephant_10_n02504458_6029.png
sixteen26--grayscale,1,28,NaN,elephant,elephant,c100,0028_cop_dnn_c100_elephant_10_n02504458_4811.png
sixteen26--grayscale,1,29,NaN,elephant,elephant,c100,0029_cop_dnn_c100_elephant_10_n02504013_6139.png
sixteen26--grayscale,1,30,NaN,elephant,elephant,c100,0030_cop_dnn_c100_elephant_10_n02504013_10948.png
sixteen26--grayscale,1,31,NaN,bicycle,bicycle,c100,0031_cop_dnn_c100_bicycle_10_n03792782_9709.png
sixteen26--grayscale,1,32,NaN,bicycle,bicycle,c100,0032_cop_dnn_c100_bicycle_10_n02835271_8512.png
sixteen26--grayscale,1,33,NaN,bicycle,bicycle,c100,0033_cop_dnn_c100_bicycle_10_n03792782_7438.png
sixteen26--grayscale,1,34,NaN,bicycle,bicycle,c100,0034_cop_dnn_c100_bicycle_10_n03792782_48605.png
sixteen26--grayscale,1,35,NaN,bicycle,bicycle,c100,0035_cop_dnn_c100_bicycle_10_n03792782_2358.png
sixteen26--grayscale,1,36,NaN,bicycle,bicycle,c100,0036_cop_dnn_c100_bicycle_10_n03792782_30186.png
sixteen26--grayscale,1,37,NaN,bicycle,bicycle,c100,0037_cop_dnn_c100_bicycle_10_n02835271_6717.png
sixteen26--grayscale,1,38,NaN,bicycle,bicycle,c100,0038_cop_dnn_c100_bicycle_10_n02835271_2163.png
sixteen26--grayscale,1,39,NaN,bicycle,bicycle,c100,0039_cop_dnn_c100_bicycle_10_n03792782_15248.png
sixteen26--grayscale,1,40,NaN,bicycle,bicycle,c100,0040_cop_dnn_c100_bicycle_10_n03792782_45780.png
sixteen26--grayscale,1,41,NaN,airplane,airplane,c100,0041_cop_dnn_c100_airplane_10_n02690373_2026.png
sixteen26--grayscale,1,42,NaN,airplane,airplane,c100,0042_cop_dnn_c100_airplane_10_n02690373_1512.png
sixteen26--grayscale,1,43,NaN,airplane,airplane,c100,0043_cop_dnn_c100_airplane_10_n02690373_5430.png
sixteen26--grayscale,1,44,NaN,airplane,airplane,c100,0044_cop_dnn_c100_airplane_10_n02690373_4893.png
sixteen26--grayscale,1,45,NaN,airplane,airplane,c100,0045_cop_dnn_c100_airplane_10_n02690373_3035.png
sixteen26--grayscale,1,46,NaN,airplane,airplane,c100,0046_cop_dnn_c100_airplane_10_n02690373_290.png
sixteen26--grayscale,1,47,NaN,airplane,airplane,c100,0047_cop_dnn_c100_airplane_10_n02690373_3326.png
sixteen26--grayscale,1,48,NaN,airplane,airplane,c100,0048_cop_dnn_c100_airplane_10_n02690373_4565.png
sixteen26--grayscale,1,49,NaN,airplane,airplane,c100,0049_cop_dnn_c100_airplane_10_n02690373_2750.png
sixteen26--grayscale,1,50,NaN,airplane,airplane,c100,0050_cop_dnn_c100_airplane_10_n02690373_891.png
sixteen26--grayscale,1,51,NaN,clock,clock,c100,0051_cop_dnn_c100_clock_10_n04548280_23523.png
sixteen26--grayscale,1,52,NaN,clock,clock,c100,0052_cop_dnn_c100_clock_10_n04548280_4557.png
sixteen26--grayscale,1,53,NaN,clock,clock,c100,0053_cop_dnn_c100_clock_10_n04548280_11763.png
sixteen26--grayscale,1,54,NaN,clock,clock,c100,0054_cop_dnn_c100_clock_10_n02708093_699.png
sixteen26--grayscale,1,55,NaN,chair,clock,c100,0055_cop_dnn_c100_clock_10_n04548280_4.png
sixteen26--grayscale,1,56,NaN,clock,clock,c100,0056_cop_dnn_c100_clock_10_n03196217_10305.png
sixteen26--grayscale,1,57,NaN,clock,clock,c100,0057_cop_dnn_c100_clock_10_n04548280_3164.png
sixteen26--grayscale,1,58,NaN,clock,clock,c100,0058_cop_dnn_c100_clock_10_n03196217_711.png
sixteen26--grayscale,1,59,NaN,clock,clock,c100,0059_cop_dnn_c100_clock_10_n04548280_6792.png
sixteen26--grayscale,1,60,NaN,clock,clock,c100,0060_cop_dnn_c100_clock_10_n03196217_3257.png
sixteen26--grayscale,1,61,NaN,oven,oven,c100,0061_cop_dnn_c100_oven_10_n04111531_10093.png
sixteen26--grayscale,1,62,NaN,oven,oven,c100,0062_cop_dnn_c100_oven_10_n04111531_7298.png
sixteen26--grayscale,1,63,NaN,oven,oven,c100,0063_cop_dnn_c100_oven_10_n04111531_10011.png
sixteen26--grayscale,1,64,NaN,oven,oven,c100,0064_cop_dnn_c100_oven_10_n04111531_2803.png
sixteen26--grayscale,1,65,NaN,oven,oven,c100,0065_cop_dnn_c100_oven_10_n04111531_4234.png
sixteen26--grayscale,1,66,NaN,oven,oven,c100,0066_cop_dnn_c100_oven_10_n04111531_1945.png
sixteen26--grayscale,1,67,NaN,oven,oven,c100,0067_cop_dnn_c100_oven_10_n04111531_11405.png
sixteen26--grayscale,1,68,NaN,oven,oven,c100,0068_cop_dnn_c100_oven_10_n04111531_1873.png
sixteen26--grayscale,1,69,NaN,oven,oven,c100,0069_cop_dnn_c100_oven_10_n04111531_21248.png
sixteen26--grayscale,1,70,NaN,oven,oven,c100,0070_cop_dnn_c100_oven_10_n04111531_22263.png
sixteen26--grayscale,1,71,NaN,chair,chair,c100,0071_cop_dnn_c100_chair_10_n02791124_7904.png
sixteen26--grayscale,1,72,NaN,chair,chair,c100,0072_cop_dnn_c100_chair_10_n04429376_5674.png
sixteen26--grayscale,1,73,NaN,chair,chair,c100,0073_cop_dnn_c100_chair_10_n02791124_755.png
sixteen26--grayscale,1,74,NaN,chair,chair,c100,0074_cop_dnn_c100_chair_10_n04429376_14072.png
sixteen26--grayscale,1,75,NaN,chair,chair,c100,0075_cop_dnn_c100_chair_10_n02791124_323.png
