subj,session,trial,rt,object_response,category,condition,imagename
sixteen27--uniform-noise-multiple--200epochs,2,1,NaN,knife,knife,c100,1281_cop_dnn_c100_knife_10_n03041632_27832.png
sixteen27--uniform-noise-multiple--200epochs,2,2,NaN,bottle,knife,c100,1282_cop_dnn_c100_knife_10_n03041632_32785.png
sixteen27--uniform-noise-multiple--200epochs,2,3,NaN,clock,knife,c100,1283_cop_dnn_c100_knife_10_n03041632_45090.png
sixteen27--uniform-noise-multiple--200epochs,2,4,NaN,clock,knife,c100,1284_cop_dnn_c100_knife_10_n03041632_27709.png
sixteen27--uniform-noise-multiple--200epochs,2,5,NaN,knife,knife,c100,1285_cop_dnn_c100_knife_10_n03041632_14224.png
sixteen27--uniform-noise-multiple--200epochs,2,6,NaN,knife,knife,c100,1286_cop_dnn_c100_knife_10_n03041632_5162.png
sixteen27--uniform-noise-multiple--200epochs,2,7,NaN,knife,knife,c100,1287_cop_dnn_c100_knife_10_n03041632_14132.png
sixteen27--uniform-noise-multiple--200epochs,2,8,NaN,knife,knife,c100,1288_cop_dnn_c100_knife_10_n03041632_18748.png
sixteen27--uniform-noise-multiple--200epochs,2,9,NaN,knife,knife,c100,1289_cop_dnn_c100_knife_10_n03041632_18311.png
sixteen27--uniform-noise-multiple--200epochs,2,10,NaN,knife,knife,c100,1290_cop_dnn_c100_knife_10_n03041632_25331.png
sixteen27--uniform-noise-multiple--200epochs,2,11,NaN,clock,keyboard,c100,1291_cop_dnn_c100_keyboard_10_n03085013_23916.png
sixteen27--uniform-noise-multiple--200epochs,2,12,NaN,clock,keyboard,c100,1292_cop_dnn_c100_keyboard_10_n03085013_23629.png
sixteen27--uniform-noise-multiple--200epochs,2,13,NaN,knife,keyboard,c100,1293_cop_dnn_c100_keyboard_10_n03085013_21472.png
sixteen27--uniform-noise-multiple--200epochs,2,14,NaN,clock,keyboard,c100,1294_cop_dnn_c100_keyboard_10_n03085013_22698.png
sixteen27--uniform-noise-multiple--200epochs,2,15,NaN,clock,keyboard,c100,1295_cop_dnn_c100_keyboard_10_n04505470_4362.png
sixteen27--uniform-noise-multiple--200epochs,2,16,NaN,knife,keyboard,c100,1296_cop_dnn_c100_keyboard_10_n04505470_8754.png
sixteen27--uniform-noise-multiple--200epochs,2,17,NaN,clock,keyboard,c100,1297_cop_dnn_c100_keyboard_10_n03085013_20957.png
sixteen27--uniform-noise-multiple--200epochs,2,18,NaN,knife,keyboard,c100,1298_cop_dnn_c100_keyboard_10_n03085013_1483.png
sixteen27--uniform-noise-multiple--200epochs,2,19,NaN,clock,keyboard,c100,1299_cop_dnn_c100_keyboard_10_n04505470_159.png
sixteen27--uniform-noise-multiple--200epochs,2,20,NaN,clock,keyboard,c100,1300_cop_dnn_c100_keyboard_10_n04505470_6806.png
sixteen27--uniform-noise-multiple--200epochs,2,21,NaN,knife,elephant,c100,1301_cop_dnn_c100_elephant_10_n02504458_7660.png
sixteen27--uniform-noise-multiple--200epochs,2,22,NaN,knife,elephant,c100,1302_cop_dnn_c100_elephant_10_n02504013_2117.png
sixteen27--uniform-noise-multiple--200epochs,2,23,NaN,bottle,elephant,c100,1303_cop_dnn_c100_elephant_10_n02504013_4337.png
sixteen27--uniform-noise-multiple--200epochs,2,24,NaN,knife,elephant,c100,1304_cop_dnn_c100_elephant_10_n02504013_8067.png
sixteen27--uniform-noise-multiple--200epochs,2,25,NaN,bottle,elephant,c100,1305_cop_dnn_c100_elephant_10_n02504458_2517.png
sixteen27--uniform-noise-multiple--200epochs,2,26,NaN,bird,elephant,c100,1306_cop_dnn_c100_elephant_10_n02504458_4261.png
sixteen27--uniform-noise-multiple--200epochs,2,27,NaN,clock,elephant,c100,1307_cop_dnn_c100_elephant_10_n02504013_104.png
sixteen27--uniform-noise-multiple--200epochs,2,28,NaN,knife,elephant,c100,1308_cop_dnn_c100_elephant_10_n02504013_5179.png
sixteen27--uniform-noise-multiple--200epochs,2,29,NaN,knife,elephant,c100,1309_cop_dnn_c100_elephant_10_n02504458_1254.png
sixteen27--uniform-noise-multiple--200epochs,2,30,NaN,knife,elephant,c100,1310_cop_dnn_c100_elephant_10_n02504458_1521.png
sixteen27--uniform-noise-multiple--200epochs,2,31,NaN,knife,bicycle,c100,1311_cop_dnn_c100_bicycle_10_n03792782_7643.png
sixteen27--uniform-noise-multiple--200epochs,2,32,NaN,knife,bicycle,c100,1312_cop_dnn_c100_bicycle_10_n03792782_42978.png
sixteen27--uniform-noise-multiple--200epochs,2,33,NaN,knife,bicycle,c100,1313_cop_dnn_c100_bicycle_10_n02835271_11842.png
sixteen27--uniform-noise-multiple--200epochs,2,34,NaN,chair,bicycle,c100,1314_cop_dnn_c100_bicycle_10_n02835271_1055.png
sixteen27--uniform-noise-multiple--200epochs,2,35,NaN,knife,bicycle,c100,1315_cop_dnn_c100_bicycle_10_n02835271_21287.png
sixteen27--uniform-noise-multiple--200epochs,2,36,NaN,knife,bicycle,c100,1316_cop_dnn_c100_bicycle_10_n02835271_19935.png
sixteen27--uniform-noise-multiple--200epochs,2,37,NaN,clock,bicycle,c100,1317_cop_dnn_c100_bicycle_10_n02835271_9055.png
sixteen27--uniform-noise-multiple--200epochs,2,38,NaN,clock,bicycle,c100,1318_cop_dnn_c100_bicycle_10_n03792782_9692.png
sixteen27--uniform-noise-multiple--200epochs,2,39,NaN,clock,bicycle,c100,1319_cop_dnn_c100_bicycle_10_n03792782_35200.png
sixteen27--uniform-noise-multiple--200epochs,2,40,NaN,knife,bicycle,c100,1320_cop_dnn_c100_bicycle_10_n02835271_4619.png
sixteen27--uniform-noise-multiple--200epochs,2,41,NaN,knife,airplane,c100,1321_cop_dnn_c100_airplane_10_n02690373_12929.png
sixteen27--uniform-noise-multiple--200epochs,2,42,NaN,clock,airplane,c100,1322_cop_dnn_c100_airplane_10_n02690373_194.png
