subj,session,trial,rt,object_response,category,condition,imagename
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,1,NaN,knife,knife,c100,7681_cop_dnn_c100_knife_10_n03041632_4879.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,2,NaN,knife,knife,c100,7682_cop_dnn_c100_knife_10_n03041632_47410.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,3,NaN,knife,knife,c100,7683_cop_dnn_c100_knife_10_n03041632_2184.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,4,NaN,knife,knife,c100,7684_cop_dnn_c100_knife_10_n03041632_2630.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,5,NaN,knife,knife,c100,7685_cop_dnn_c100_knife_10_n03041632_41381.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,6,NaN,knife,knife,c100,7686_cop_dnn_c100_knife_10_n03041632_7279.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,7,NaN,knife,knife,c100,7687_cop_dnn_c100_knife_10_n03041632_4808.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,8,NaN,knife,knife,c100,7688_cop_dnn_c100_knife_10_n03041632_20433.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,9,NaN,knife,knife,c100,7689_cop_dnn_c100_knife_10_n03041632_21590.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,10,NaN,knife,knife,c100,7690_cop_dnn_c100_knife_10_n03041632_38535.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,11,NaN,keyboard,keyboard,c100,7691_cop_dnn_c100_keyboard_10_n04505470_6426.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,12,NaN,keyboard,keyboard,c100,7692_cop_dnn_c100_keyboard_10_n04505470_10558.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,13,NaN,keyboard,keyboard,c100,7693_cop_dnn_c100_keyboard_10_n04505470_3286.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,14,NaN,keyboard,keyboard,c100,7694_cop_dnn_c100_keyboard_10_n03085013_18621.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,15,NaN,keyboard,keyboard,c100,7695_cop_dnn_c100_keyboard_10_n04505470_4507.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,16,NaN,keyboard,keyboard,c100,7696_cop_dnn_c100_keyboard_10_n04505470_4944.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,17,NaN,keyboard,keyboard,c100,7697_cop_dnn_c100_keyboard_10_n03085013_23843.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,18,NaN,keyboard,keyboard,c100,7698_cop_dnn_c100_keyboard_10_n04505470_2608.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,19,NaN,keyboard,keyboard,c100,7699_cop_dnn_c100_keyboard_10_n03085013_25443.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,20,NaN,keyboard,keyboard,c100,7700_cop_dnn_c100_keyboard_10_n03085013_18979.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,21,NaN,elephant,elephant,c100,7701_cop_dnn_c100_elephant_10_n02504458_3066.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,22,NaN,elephant,elephant,c100,7702_cop_dnn_c100_elephant_10_n02504458_6130.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,23,NaN,elephant,elephant,c100,7703_cop_dnn_c100_elephant_10_n02504013_6034.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,24,NaN,elephant,elephant,c100,7704_cop_dnn_c100_elephant_10_n02504013_817.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,25,NaN,elephant,elephant,c100,7705_cop_dnn_c100_elephant_10_n02504013_6121.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,26,NaN,elephant,elephant,c100,7706_cop_dnn_c100_elephant_10_n02504013_10390.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,27,NaN,elephant,elephant,c100,7707_cop_dnn_c100_elephant_10_n02504013_242.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,28,NaN,elephant,elephant,c100,7708_cop_dnn_c100_elephant_10_n02504013_2924.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,29,NaN,elephant,elephant,c100,7709_cop_dnn_c100_elephant_10_n02504458_2494.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,30,NaN,elephant,elephant,c100,7710_cop_dnn_c100_elephant_10_n02504013_1844.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,31,NaN,bicycle,bicycle,c100,7711_cop_dnn_c100_bicycle_10_n02835271_8617.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,32,NaN,bicycle,bicycle,c100,7712_cop_dnn_c100_bicycle_10_n02835271_14820.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,7,33,NaN,bicycle,bicycle,c100,7713_cop_dnn_c100_bicycle_10_n02835271_14228.png
