subj,session,trial,rt,object_response,category,condition,imagename
specialised,1,1,,knife,knife,c100,0001_cop_dnn_c100_knife_10_n03041632_43625.png
specialised,1,2,,knife,knife,c100,0002_cop_dnn_c100_knife_10_n03041632_81943.png
specialised,1,3,,knife,knife,c100,0003_cop_dnn_c100_knife_10_n03041632_12242.png
specialised,1,4,,oven,knife,c100,0004_cop_dnn_c100_knife_10_n03041632_24384.png
specialised,1,5,,knife,knife,c100,0005_cop_dnn_c100_knife_10_n03041632_24181.png
specialised,1,6,,knife,knife,c100,0006_cop_dnn_c100_knife_10_n03041632_11773.png
specialised,1,7,,knife,knife,c100,0007_cop_dnn_c100_knife_10_n03041632_20217.png
specialised,1,8,,knife,knife,c100,0008_cop_dnn_c100_knife_10_n03041632_3326.png
specialised,1,9,,knife,knife,c100,0009_cop_dnn_c100_knife_10_n03041632_5302.png
specialised,1,10,,knife,knife,c100,0010_cop_dnn_c100_knife_10_n03041632_17820.png
specialised,1,11,,keyboard,keyboard,c100,0011_cop_dnn_c100_keyboard_10_n03085013_20712.png
specialised,1,12,,keyboard,keyboard,c100,0012_cop_dnn_c100_keyboard_10_n04505470_5923.png
specialised,1,13,,keyboard,keyboard,c100,0013_cop_dnn_c100_keyboard_10_n03085013_15125.png
specialised,1,14,,keyboard,keyboard,c100,0014_cop_dnn_c100_keyboard_10_n03085013_32791.png
specialised,1,15,,keyboard,keyboard,c100,0015_cop_dnn_c100_keyboard_10_n03085013_24363.png
specialised,1,16,,chair,keyboard,c100,0016_cop_dnn_c100_keyboard_10_n03085013_3980.png
specialised,1,17,,keyboard,keyboard,c100,0017_cop_dnn_c100_keyboard_10_n03085013_24124.png
specialised,1,18,,keyboard,keyboard,c100,0018_cop_dnn_c100_keyboard_10_n03085013_23398.png
specialised,1,19,,keyboard,keyboard,c100,0019_cop_dnn_c100_keyboard_10_n03085013_23845.png
specialised,1,20,,keyboard,keyboard,c100,0020_cop_dnn_c100_keyboard_10_n03085013_18785.png
specialised,1,21,,elephant,elephant,c100,0021_cop_dnn_c100_elephant_10_n02504458_410.png
specialised,1,22,,elephant,elephant,c100,0022_cop_dnn_c100_elephant_10_n02504458_494.png
specialised,1,23,,elephant,elephant,c100,0023_cop_dnn_c100_elephant_10_n02504013_281.png
specialised,1,24,,elephant,elephant,c100,0024_cop_dnn_c100_elephant_10_n02504458_6930.png
specialised,1,25,,elephant,elephant,c100,0025_cop_dnn_c100_elephant_10_n02504013_2350.png
specialised,1,26,,elephant,elephant,c100,0026_cop_dnn_c100_elephant_10_n02504458_6499.png
specialised,1,27,,elephant,elephant,c100,0027_cop_dnn_c100_elephant_10_n02504458_6029.png
specialised,1,28,,elephant,elephant,c100,0028_cop_dnn_c100_elephant_10_n02504458_4811.png
specialised,1,29,,elephant,elephant,c100,0029_cop_dnn_c100_elephant_10_n02504013_6139.png
specialised,1,30,,elephant,elephant,c100,0030_cop_dnn_c100_elephant_10_n02504013_10948.png
specialised,1,31,,bicycle,bicycle,c100,0031_cop_dnn_c100_bicycle_10_n03792782_9709.png
specialised,1,32,,bicycle,bicycle,c100,0032_cop_dnn_c100_bicycle_10_n02835271_8512.png
specialised,1,33,,bicycle,bicycle,c100,0033_cop_dnn_c100_bicycle_10_n03792782_7438.png
specialised,1,34,,bicycle,bicycle,c100,0034_cop_dnn_c100_bicycle_10_n03792782_48605.png
specialised,1,35,,bicycle,bicycle,c100,0035_cop_dnn_c100_bicycle_10_n03792782_2358.png
specialised,1,36,,bicycle,bicycle,c100,0036_cop_dnn_c100_bicycle_10_n03792782_30186.png
specialised,1,37,,bicycle,bicycle,c100,0037_cop_dnn_c100_bicycle_10_n02835271_6717.png
specialised,1,38,,bicycle,bicycle,c100,0038_cop_dnn_c100_bicycle_10_n02835271_2163.png
specialised,1,39,,bicycle,bicycle,c100,0039_cop_dnn_c100_bicycle_10_n03792782_15248.png
specialised,1,40,,bicycle,bicycle,c100,0040_cop_dnn_c100_bicycle_10_n03792782_45780.png
specialised,1,41,,airplane,airplane,c100,0041_cop_dnn_c100_airplane_10_n02690373_2026.png
specialised,1,42,,airplane,airplane,c100,0042_cop_dnn_c100_airplane_10_n02690373_1512.png
specialised,1,43,,airplane,airplane,c100,0043_cop_dnn_c100_airplane_10_n02690373_5430.png
specialised,1,44,,airplane,airplane,c100,0044_cop_dnn_c100_airplane_10_n02690373_4893.png
specialised,1,45,,airplane,airplane,c100,0045_cop_dnn_c100_airplane_10_n02690373_3035.png
specialised,1,46,,airplane,airplane,c100,0046_cop_dnn_c100_airplane_10_n02690373_290.png
specialised,1,47,,airplane,airplane,c100,0047_cop_dnn_c100_airplane_10_n02690373_3326.png
specialised,1,48,,airplane,airplane,c100,0048_cop_dnn_c100_airplane_10_n02690373_4565.png
specialised,1,49,,airplane,airplane,c100,0049_cop_dnn_c100_airplane_10_n02690373_2750.png
specialised,1,50,,airplane,airplane,c100,0050_cop_dnn_c100_airplane_10_n02690373_891.png
specialised,1,51,,clock,clock,c100,0051_cop_dnn_c100_clock_10_n04548280_23523.png
specialised,1,52,,clock,clock,c100,0052_cop_dnn_c100_clock_10_n04548280_4557.png
specialised,1,53,,clock,clock,c100,0053_cop_dnn_c100_clock_10_n04548280_11763.png
specialised,1,54,,knife,clock,c100,0054_cop_dnn_c100_clock_10_n02708093_699.png
specialised,1,55,,chair,clock,c100,0055_cop_dnn_c100_clock_10_n04548280_4.png
specialised,1,56,,clock,clock,c100,0056_cop_dnn_c100_clock_10_n03196217_10305.png
specialised,1,57,,clock,clock,c100,0057_cop_dnn_c100_clock_10_n04548280_3164.png
specialised,1,58,,clock,clock,c100,0058_cop_dnn_c100_clock_10_n03196217_711.png
specialised,1,59,,clock,clock,c100,0059_cop_dnn_c100_clock_10_n04548280_6792.png
specialised,1,60,,clock,clock,c100,0060_cop_dnn_c100_clock_10_n03196217_3257.png
specialised,1,61,,oven,oven,c100,0061_cop_dnn_c100_oven_10_n04111531_10093.png
specialised,1,62,,oven,oven,c100,0062_cop_dnn_c100_oven_10_n04111531_7298.png
specialised,1,63,,oven,oven,c100,0063_cop_dnn_c100_oven_10_n04111531_10011.png
specialised,1,64,,oven,oven,c100,0064_cop_dnn_c100_oven_10_n04111531_2803.png
specialised,1,65,,oven,oven,c100,0065_cop_dnn_c100_oven_10_n04111531_4234.png
specialised,1,66,,oven,oven,c100,0066_cop_dnn_c100_oven_10_n04111531_1945.png
specialised,1,67,,oven,oven,c100,0067_cop_dnn_c100_oven_10_n04111531_11405.png
specialised,1,68,,oven,oven,c100,0068_cop_dnn_c100_oven_10_n04111531_1873.png
specialised,1,69,,oven,oven,c100,0069_cop_dnn_c100_oven_10_n04111531_21248.png
specialised,1,70,,oven,oven,c100,0070_cop_dnn_c100_oven_10_n04111531_22263.png
specialised,1,71,,chair,chair,c100,0071_cop_dnn_c100_chair_10_n02791124_7904.png
specialised,1,72,,oven,chair,c100,0072_cop_dnn_c100_chair_10_n04429376_5674.png
specialised,1,73,,chair,chair,c100,0073_cop_dnn_c100_chair_10_n02791124_755.png
