subj,session,trial,rt,object_response,category,condition,imagename
all-noise,4,1,,knife,knife,0.4,3841_hp_dnn_0.4_knife_10_n03041632_31909.png
all-noise,4,2,,knife,knife,0.4,3842_hp_dnn_0.4_knife_10_n03041632_84869.png
all-noise,4,3,,knife,knife,0.4,3843_hp_dnn_0.4_knife_10_n03041632_43436.png
all-noise,4,4,,knife,knife,0.4,3844_hp_dnn_0.4_knife_10_n03041632_50648.png
all-noise,4,5,,knife,knife,0.4,3845_hp_dnn_0.4_knife_10_n03041632_24561.png
all-noise,4,6,,bottle,knife,0.4,3846_hp_dnn_0.4_knife_10_n03041632_32197.png
all-noise,4,7,,knife,knife,0.4,3847_hp_dnn_0.4_knife_10_n03041632_32048.png
all-noise,4,8,,knife,knife,0.4,3848_hp_dnn_0.4_knife_10_n03041632_35116.png
all-noise,4,9,,knife,knife,0.4,3849_hp_dnn_0.4_knife_10_n03041632_13194.png
all-noise,4,10,,bear,knife,0.4,3850_hp_dnn_0.4_knife_10_n03041632_80829.png
all-noise,4,11,,keyboard,keyboard,0.4,3851_hp_dnn_0.4_keyboard_10_n03085013_21166.png
all-noise,4,12,,keyboard,keyboard,0.4,3852_hp_dnn_0.4_keyboard_10_n03085013_21277.png
all-noise,4,13,,keyboard,keyboard,0.4,3853_hp_dnn_0.4_keyboard_10_n04505470_659.png
all-noise,4,14,,keyboard,keyboard,0.4,3854_hp_dnn_0.4_keyboard_10_n03085013_18214.png
all-noise,4,15,,truck,keyboard,0.4,3855_hp_dnn_0.4_keyboard_10_n03085013_18674.png
all-noise,4,16,,keyboard,keyboard,0.4,3856_hp_dnn_0.4_keyboard_10_n03085013_1193.png
all-noise,4,17,,keyboard,keyboard,0.4,3857_hp_dnn_0.4_keyboard_10_n03085013_23018.png
all-noise,4,18,,keyboard,keyboard,0.4,3858_hp_dnn_0.4_keyboard_10_n04505470_4651.png
all-noise,4,19,,keyboard,keyboard,0.4,3859_hp_dnn_0.4_keyboard_10_n04505470_7015.png
all-noise,4,20,,keyboard,keyboard,0.4,3860_hp_dnn_0.4_keyboard_10_n03085013_20923.png
all-noise,4,21,,elephant,elephant,0.4,3861_hp_dnn_0.4_elephant_10_n02504013_4485.png
all-noise,4,22,,elephant,elephant,0.4,3862_hp_dnn_0.4_elephant_10_n02504013_7659.png
all-noise,4,23,,elephant,elephant,0.4,3863_hp_dnn_0.4_elephant_10_n02504013_3300.png
all-noise,4,24,,elephant,elephant,0.4,3864_hp_dnn_0.4_elephant_10_n02504013_6223.png
all-noise,4,25,,elephant,elephant,0.4,3865_hp_dnn_0.4_elephant_10_n02504013_4247.png
all-noise,4,26,,elephant,elephant,0.4,3866_hp_dnn_0.4_elephant_10_n02504458_1445.png
all-noise,4,27,,elephant,elephant,0.4,3867_hp_dnn_0.4_elephant_10_n02504458_6906.png
all-noise,4,28,,dog,elephant,0.4,3868_hp_dnn_0.4_elephant_10_n02504013_1986.png
all-noise,4,29,,elephant,elephant,0.4,3869_hp_dnn_0.4_elephant_10_n02504458_11289.png
all-noise,4,30,,elephant,elephant,0.4,3870_hp_dnn_0.4_elephant_10_n02504013_6465.png
all-noise,4,31,,dog,bicycle,0.4,3871_hp_dnn_0.4_bicycle_10_n03792782_13541.png
all-noise,4,32,,bicycle,bicycle,0.4,3872_hp_dnn_0.4_bicycle_10_n02835271_20975.png
all-noise,4,33,,bicycle,bicycle,0.4,3873_hp_dnn_0.4_bicycle_10_n03792782_29606.png
all-noise,4,34,,bicycle,bicycle,0.4,3874_hp_dnn_0.4_bicycle_10_n03792782_19525.png
all-noise,4,35,,bicycle,bicycle,0.4,3875_hp_dnn_0.4_bicycle_10_n03792782_4102.png
all-noise,4,36,,bicycle,bicycle,0.4,3876_hp_dnn_0.4_bicycle_10_n03792782_13324.png
all-noise,4,37,,bicycle,bicycle,0.4,3877_hp_dnn_0.4_bicycle_10_n03792782_67167.png
all-noise,4,38,,bicycle,bicycle,0.4,3878_hp_dnn_0.4_bicycle_10_n02835271_16182.png
all-noise,4,39,,bicycle,bicycle,0.4,3879_hp_dnn_0.4_bicycle_10_n03792782_11625.png
all-noise,4,40,,bicycle,bicycle,0.4,3880_hp_dnn_0.4_bicycle_10_n02835271_8287.png
all-noise,4,41,,airplane,airplane,0.4,3881_hp_dnn_0.4_airplane_10_n02690373_6674.png
all-noise,4,42,,airplane,airplane,0.4,3882_hp_dnn_0.4_airplane_10_n02690373_9718.png
all-noise,4,43,,airplane,airplane,0.4,3883_hp_dnn_0.4_airplane_10_n02690373_13613.png
all-noise,4,44,,airplane,airplane,0.4,3884_hp_dnn_0.4_airplane_10_n02690373_1005.png
all-noise,4,45,,airplane,airplane,0.4,3885_hp_dnn_0.4_airplane_10_n02690373_6845.png
all-noise,4,46,,airplane,airplane,0.4,3886_hp_dnn_0.4_airplane_10_n02690373_19329.png
all-noise,4,47,,airplane,airplane,0.4,3887_hp_dnn_0.4_airplane_10_n02690373_9659.png
all-noise,4,48,,airplane,airplane,0.4,3888_hp_dnn_0.4_airplane_10_n02690373_1862.png
all-noise,4,49,,airplane,airplane,0.4,3889_hp_dnn_0.4_airplane_10_n02690373_4009.png
all-noise,4,50,,airplane,airplane,0.4,3890_hp_dnn_0.4_airplane_10_n02690373_4029.png
all-noise,4,51,,clock,clock,0.4,3891_hp_dnn_0.4_clock_10_n04548280_596.png
all-noise,4,52,,chair,clock,0.4,3892_hp_dnn_0.4_clock_10_n02708093_8002.png
all-noise,4,53,,bird,clock,0.4,3893_hp_dnn_0.4_clock_10_n02708093_2020.png
all-noise,4,54,,clock,clock,0.4,3894_hp_dnn_0.4_clock_10_n04548280_6099.png
all-noise,4,55,,clock,clock,0.4,3895_hp_dnn_0.4_clock_10_n02708093_6734.png
all-noise,4,56,,clock,clock,0.4,3896_hp_dnn_0.4_clock_10_n02708093_5803.png
all-noise,4,57,,clock,clock,0.4,3897_hp_dnn_0.4_clock_10_n02708093_3577.png
all-noise,4,58,,clock,clock,0.4,3898_hp_dnn_0.4_clock_10_n04548280_1200.png
all-noise,4,59,,clock,clock,0.4,3899_hp_dnn_0.4_clock_10_n02708093_5158.png
all-noise,4,60,,clock,clock,0.4,3900_hp_dnn_0.4_clock_10_n04548280_1240.png
all-noise,4,61,,oven,oven,0.4,3901_hp_dnn_0.4_oven_10_n04111531_17781.png
all-noise,4,62,,oven,oven,0.4,3902_hp_dnn_0.4_oven_10_n04111531_16198.png
all-noise,4,63,,chair,oven,0.4,3903_hp_dnn_0.4_oven_10_n04111531_2350.png
all-noise,4,64,,bear,oven,0.4,3904_hp_dnn_0.4_oven_10_n04111531_3777.png
all-noise,4,65,,oven,oven,0.4,3905_hp_dnn_0.4_oven_10_n04111531_8531.png
all-noise,4,66,,oven,oven,0.4,3906_hp_dnn_0.4_oven_10_n04111531_3348.png
all-noise,4,67,,oven,oven,0.4,3907_hp_dnn_0.4_oven_10_n04111531_1798.png
all-noise,4,68,,oven,oven,0.4,3908_hp_dnn_0.4_oven_10_n04111531_16696.png
all-noise,4,69,,oven,oven,0.4,3909_hp_dnn_0.4_oven_10_n04111531_7168.png
all-noise,4,70,,oven,oven,0.4,3910_hp_dnn_0.4_oven_10_n04111531_10419.png
all-noise,4,71,,chair,chair,0.4,3911_hp_dnn_0.4_chair_10_n02791124_16913.png
all-noise,4,72,,chair,chair,0.4,3912_hp_dnn_0.4_chair_10_n03376595_839.png
all-noise,4,73,,chair,chair,0.4,3913_hp_dnn_0.4_chair_10_n02791124_6390.png
all-noise,4,74,,chair,chair,0.4,3914_hp_dnn_0.4_chair_10_n03376595_4912.png
