subj,session,trial,rt,object_response,category,condition,imagename
sixteen07--grayscale-contrast-multiple,2,1,NaN,clock,knife,0.4,1281_hp_dnn_0.4_knife_10_n03041632_17100.png
sixteen07--grayscale-contrast-multiple,2,2,NaN,clock,knife,0.4,1282_hp_dnn_0.4_knife_10_n03041632_25022.png
sixteen07--grayscale-contrast-multiple,2,3,NaN,clock,knife,0.4,1283_hp_dnn_0.4_knife_10_n03041632_99799.png
sixteen07--grayscale-contrast-multiple,2,4,NaN,clock,knife,0.4,1284_hp_dnn_0.4_knife_10_n03041632_3159.png
sixteen07--grayscale-contrast-multiple,2,5,NaN,clock,knife,0.4,1285_hp_dnn_0.4_knife_10_n03041632_4975.png
sixteen07--grayscale-contrast-multiple,2,6,NaN,car,knife,0.4,1286_hp_dnn_0.4_knife_10_n03041632_42156.png
sixteen07--grayscale-contrast-multiple,2,7,NaN,clock,knife,0.4,1287_hp_dnn_0.4_knife_10_n03041632_23968.png
sixteen07--grayscale-contrast-multiple,2,8,NaN,clock,knife,0.4,1288_hp_dnn_0.4_knife_10_n03041632_22286.png
sixteen07--grayscale-contrast-multiple,2,9,NaN,clock,knife,0.4,1289_hp_dnn_0.4_knife_10_n03041632_89391.png
sixteen07--grayscale-contrast-multiple,2,10,NaN,chair,knife,0.4,1290_hp_dnn_0.4_knife_10_n03041632_26933.png
sixteen07--grayscale-contrast-multiple,2,11,NaN,clock,keyboard,0.4,1291_hp_dnn_0.4_keyboard_10_n04505470_5021.png
sixteen07--grayscale-contrast-multiple,2,12,NaN,keyboard,keyboard,0.4,1292_hp_dnn_0.4_keyboard_10_n03085013_5568.png
sixteen07--grayscale-contrast-multiple,2,13,NaN,chair,keyboard,0.4,1293_hp_dnn_0.4_keyboard_10_n03085013_4053.png
sixteen07--grayscale-contrast-multiple,2,14,NaN,keyboard,keyboard,0.4,1294_hp_dnn_0.4_keyboard_10_n03085013_21231.png
sixteen07--grayscale-contrast-multiple,2,15,NaN,keyboard,keyboard,0.4,1295_hp_dnn_0.4_keyboard_10_n03085013_30166.png
sixteen07--grayscale-contrast-multiple,2,16,NaN,keyboard,keyboard,0.4,1296_hp_dnn_0.4_keyboard_10_n03085013_30660.png
sixteen07--grayscale-contrast-multiple,2,17,NaN,clock,keyboard,0.4,1297_hp_dnn_0.4_keyboard_10_n03085013_21973.png
