subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,6,1,NaN,airplane,knife,0.4,6401_hp_dnn_0.4_knife_10_n03041632_7279.png
sixteen09--rotation-multiple,6,2,NaN,airplane,knife,0.4,6402_hp_dnn_0.4_knife_10_n03041632_5640.png
sixteen09--rotation-multiple,6,3,NaN,airplane,knife,0.4,6403_hp_dnn_0.4_knife_10_n03041632_2386.png
sixteen09--rotation-multiple,6,4,NaN,airplane,knife,0.4,6404_hp_dnn_0.4_knife_10_n03041632_28202.png
sixteen09--rotation-multiple,6,5,NaN,airplane,knife,0.4,6405_hp_dnn_0.4_knife_10_n03041632_6309.png
sixteen09--rotation-multiple,6,6,NaN,airplane,knife,0.4,6406_hp_dnn_0.4_knife_10_n03041632_49163.png
sixteen09--rotation-multiple,6,7,NaN,airplane,knife,0.4,6407_hp_dnn_0.4_knife_10_n03041632_2058.png
sixteen09--rotation-multiple,6,8,NaN,clock,knife,0.4,6408_hp_dnn_0.4_knife_10_n03041632_5820.png
sixteen09--rotation-multiple,6,9,NaN,airplane,knife,0.4,6409_hp_dnn_0.4_knife_10_n03041632_50034.png
sixteen09--rotation-multiple,6,10,NaN,airplane,knife,0.4,6410_hp_dnn_0.4_knife_10_n03041632_2973.png
sixteen09--rotation-multiple,6,11,NaN,airplane,keyboard,0.4,6411_hp_dnn_0.4_keyboard_10_n03085013_26164.png
sixteen09--rotation-multiple,6,12,NaN,clock,keyboard,0.4,6412_hp_dnn_0.4_keyboard_10_n04505470_5057.png
sixteen09--rotation-multiple,6,13,NaN,clock,keyboard,0.4,6413_hp_dnn_0.4_keyboard_10_n03085013_5738.png
sixteen09--rotation-multiple,6,14,NaN,clock,keyboard,0.4,6414_hp_dnn_0.4_keyboard_10_n03085013_20388.png
sixteen09--rotation-multiple,6,15,NaN,clock,keyboard,0.4,6415_hp_dnn_0.4_keyboard_10_n03085013_2362.png
sixteen09--rotation-multiple,6,16,NaN,airplane,keyboard,0.4,6416_hp_dnn_0.4_keyboard_10_n03085013_19065.png
sixteen09--rotation-multiple,6,17,NaN,airplane,keyboard,0.4,6417_hp_dnn_0.4_keyboard_10_n03085013_18830.png
sixteen09--rotation-multiple,6,18,NaN,clock,keyboard,0.4,6418_hp_dnn_0.4_keyboard_10_n04505470_5152.png
sixteen09--rotation-multiple,6,19,NaN,clock,keyboard,0.4,6419_hp_dnn_0.4_keyboard_10_n03085013_5819.png
