subj,session,trial,rt,object_response,category,condition,imagename
sixteen11--high-pass-multiple,5,1,NaN,chair,knife,0.4,5121_hp_dnn_0.4_knife_10_n03041632_102887.png
sixteen11--high-pass-multiple,5,2,NaN,knife,knife,0.4,5122_hp_dnn_0.4_knife_10_n03041632_4305.png
sixteen11--high-pass-multiple,5,3,NaN,knife,knife,0.4,5123_hp_dnn_0.4_knife_10_n03041632_18766.png
sixteen11--high-pass-multiple,5,4,NaN,knife,knife,0.4,5124_hp_dnn_0.4_knife_10_n03041632_36277.png
sixteen11--high-pass-multiple,5,5,NaN,bird,knife,0.4,5125_hp_dnn_0.4_knife_10_n03041632_26236.png
sixteen11--high-pass-multiple,5,6,NaN,dog,knife,0.4,5126_hp_dnn_0.4_knife_10_n03041632_1143.png
sixteen11--high-pass-multiple,5,7,NaN,knife,knife,0.4,5127_hp_dnn_0.4_knife_10_n03041632_105080.png
sixteen11--high-pass-multiple,5,8,NaN,knife,knife,0.4,5128_hp_dnn_0.4_knife_10_n03041632_2630.png
sixteen11--high-pass-multiple,5,9,NaN,knife,knife,0.4,5129_hp_dnn_0.4_knife_10_n03041632_131.png
sixteen11--high-pass-multiple,5,10,NaN,knife,knife,0.4,5130_hp_dnn_0.4_knife_10_n03041632_8321.png
sixteen11--high-pass-multiple,5,11,NaN,keyboard,keyboard,0.4,5131_hp_dnn_0.4_keyboard_10_n04505470_326.png
sixteen11--high-pass-multiple,5,12,NaN,keyboard,keyboard,0.4,5132_hp_dnn_0.4_keyboard_10_n04505470_3391.png
sixteen11--high-pass-multiple,5,13,NaN,keyboard,keyboard,0.4,5133_hp_dnn_0.4_keyboard_10_n03085013_14279.png
sixteen11--high-pass-multiple,5,14,NaN,keyboard,keyboard,0.4,5134_hp_dnn_0.4_keyboard_10_n04505470_3234.png
sixteen11--high-pass-multiple,5,15,NaN,keyboard,keyboard,0.4,5135_hp_dnn_0.4_keyboard_10_n04505470_3659.png
sixteen11--high-pass-multiple,5,16,NaN,keyboard,keyboard,0.4,5136_hp_dnn_0.4_keyboard_10_n03085013_23885.png
sixteen11--high-pass-multiple,5,17,NaN,keyboard,keyboard,0.4,5137_hp_dnn_0.4_keyboard_10_n03085013_23291.png
sixteen11--high-pass-multiple,5,18,NaN,keyboard,keyboard,0.4,5138_hp_dnn_0.4_keyboard_10_n03085013_21488.png
sixteen11--high-pass-multiple,5,19,NaN,keyboard,keyboard,0.4,5139_hp_dnn_0.4_keyboard_10_n03085013_25671.png
sixteen11--high-pass-multiple,5,20,NaN,keyboard,keyboard,0.4,5140_hp_dnn_0.4_keyboard_10_n04505470_4166.png
sixteen11--high-pass-multiple,5,21,NaN,elephant,elephant,0.4,5141_hp_dnn_0.4_elephant_10_n02504458_133.png
sixteen11--high-pass-multiple,5,22,NaN,elephant,elephant,0.4,5142_hp_dnn_0.4_elephant_10_n02504458_10603.png
sixteen11--high-pass-multiple,5,23,NaN,elephant,elephant,0.4,5143_hp_dnn_0.4_elephant_10_n02504458_6079.png
sixteen11--high-pass-multiple,5,24,NaN,elephant,elephant,0.4,5144_hp_dnn_0.4_elephant_10_n02504458_6729.png
sixteen11--high-pass-multiple,5,25,NaN,dog,elephant,0.4,5145_hp_dnn_0.4_elephant_10_n02504458_1138.png
sixteen11--high-pass-multiple,5,26,NaN,elephant,elephant,0.4,5146_hp_dnn_0.4_elephant_10_n02504458_3381.png
sixteen11--high-pass-multiple,5,27,NaN,elephant,elephant,0.4,5147_hp_dnn_0.4_elephant_10_n02504013_1185.png
sixteen11--high-pass-multiple,5,28,NaN,elephant,elephant,0.4,5148_hp_dnn_0.4_elephant_10_n02504013_6619.png
sixteen11--high-pass-multiple,5,29,NaN,elephant,elephant,0.4,5149_hp_dnn_0.4_elephant_10_n02504458_12439.png
