subj,session,trial,rt,object_response,category,condition,imagename
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,1,NaN,clock,knife,0.4,3841_hp_dnn_0.4_knife_10_n03041632_31909.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,2,NaN,oven,knife,0.4,3842_hp_dnn_0.4_knife_10_n03041632_84869.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,3,NaN,clock,knife,0.4,3843_hp_dnn_0.4_knife_10_n03041632_43436.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,4,NaN,knife,knife,0.4,3844_hp_dnn_0.4_knife_10_n03041632_50648.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,5,NaN,clock,knife,0.4,3845_hp_dnn_0.4_knife_10_n03041632_24561.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,6,NaN,clock,knife,0.4,3846_hp_dnn_0.4_knife_10_n03041632_32197.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,7,NaN,cat,knife,0.4,3847_hp_dnn_0.4_knife_10_n03041632_32048.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,8,NaN,clock,knife,0.4,3848_hp_dnn_0.4_knife_10_n03041632_35116.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,9,NaN,chair,knife,0.4,3849_hp_dnn_0.4_knife_10_n03041632_13194.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,10,NaN,clock,knife,0.4,3850_hp_dnn_0.4_knife_10_n03041632_80829.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,11,NaN,clock,keyboard,0.4,3851_hp_dnn_0.4_keyboard_10_n03085013_21166.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,12,NaN,cat,keyboard,0.4,3852_hp_dnn_0.4_keyboard_10_n03085013_21277.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,13,NaN,oven,keyboard,0.4,3853_hp_dnn_0.4_keyboard_10_n04505470_659.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,14,NaN,clock,keyboard,0.4,3854_hp_dnn_0.4_keyboard_10_n03085013_18214.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,15,NaN,clock,keyboard,0.4,3855_hp_dnn_0.4_keyboard_10_n03085013_18674.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,16,NaN,clock,keyboard,0.4,3856_hp_dnn_0.4_keyboard_10_n03085013_1193.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,17,NaN,clock,keyboard,0.4,3857_hp_dnn_0.4_keyboard_10_n03085013_23018.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,18,NaN,chair,keyboard,0.4,3858_hp_dnn_0.4_keyboard_10_n04505470_4651.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,19,NaN,keyboard,keyboard,0.4,3859_hp_dnn_0.4_keyboard_10_n04505470_7015.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,20,NaN,oven,keyboard,0.4,3860_hp_dnn_0.4_keyboard_10_n03085013_20923.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,21,NaN,clock,elephant,0.4,3861_hp_dnn_0.4_elephant_10_n02504013_4485.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,22,NaN,clock,elephant,0.4,3862_hp_dnn_0.4_elephant_10_n02504013_7659.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,23,NaN,cat,elephant,0.4,3863_hp_dnn_0.4_elephant_10_n02504013_3300.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,24,NaN,oven,elephant,0.4,3864_hp_dnn_0.4_elephant_10_n02504013_6223.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,25,NaN,clock,elephant,0.4,3865_hp_dnn_0.4_elephant_10_n02504013_4247.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,26,NaN,clock,elephant,0.4,3866_hp_dnn_0.4_elephant_10_n02504458_1445.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,27,NaN,bottle,elephant,0.4,3867_hp_dnn_0.4_elephant_10_n02504458_6906.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,28,NaN,clock,elephant,0.4,3868_hp_dnn_0.4_elephant_10_n02504013_1986.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,29,NaN,chair,elephant,0.4,3869_hp_dnn_0.4_elephant_10_n02504458_11289.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,30,NaN,clock,elephant,0.4,3870_hp_dnn_0.4_elephant_10_n02504013_6465.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,31,NaN,clock,bicycle,0.4,3871_hp_dnn_0.4_bicycle_10_n03792782_13541.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,32,NaN,oven,bicycle,0.4,3872_hp_dnn_0.4_bicycle_10_n02835271_20975.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,33,NaN,clock,bicycle,0.4,3873_hp_dnn_0.4_bicycle_10_n03792782_29606.png
sixteen32--grayscale-contrast-multiple--uniform-noise-multiple--200epochs,4,34,NaN,elephant,bicycle,0.4,3874_hp_dnn_0.4_bicycle_10_n03792782_19525.png
