subj,session,trial,rt,object_response,category,condition,imagename
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,1,NaN,clock,knife,0.4,2561_hp_dnn_0.4_knife_10_n03041632_22214.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,2,NaN,airplane,knife,0.4,2562_hp_dnn_0.4_knife_10_n03041632_13465.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,3,NaN,airplane,knife,0.4,2563_hp_dnn_0.4_knife_10_n03041632_11495.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,4,NaN,airplane,knife,0.4,2564_hp_dnn_0.4_knife_10_n03041632_29285.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,5,NaN,airplane,knife,0.4,2565_hp_dnn_0.4_knife_10_n03041632_36247.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,6,NaN,airplane,knife,0.4,2566_hp_dnn_0.4_knife_10_n03041632_45775.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,7,NaN,airplane,knife,0.4,2567_hp_dnn_0.4_knife_10_n03041632_25498.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,8,NaN,airplane,knife,0.4,2568_hp_dnn_0.4_knife_10_n03041632_31849.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,9,NaN,airplane,knife,0.4,2569_hp_dnn_0.4_knife_10_n03041632_44019.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,10,NaN,clock,knife,0.4,2570_hp_dnn_0.4_knife_10_n03041632_17859.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,11,NaN,clock,keyboard,0.4,2571_hp_dnn_0.4_keyboard_10_n03085013_4281.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,12,NaN,airplane,keyboard,0.4,2572_hp_dnn_0.4_keyboard_10_n03085013_20906.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,13,NaN,clock,keyboard,0.4,2573_hp_dnn_0.4_keyboard_10_n03085013_23144.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,14,NaN,airplane,keyboard,0.4,2574_hp_dnn_0.4_keyboard_10_n03085013_22585.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,15,NaN,clock,keyboard,0.4,2575_hp_dnn_0.4_keyboard_10_n04505470_4554.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,16,NaN,airplane,keyboard,0.4,2576_hp_dnn_0.4_keyboard_10_n03085013_21082.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,17,NaN,clock,keyboard,0.4,2577_hp_dnn_0.4_keyboard_10_n04505470_4887.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,18,NaN,airplane,keyboard,0.4,2578_hp_dnn_0.4_keyboard_10_n03085013_24963.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,19,NaN,airplane,keyboard,0.4,2579_hp_dnn_0.4_keyboard_10_n03085013_23546.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,20,NaN,airplane,keyboard,0.4,2580_hp_dnn_0.4_keyboard_10_n03085013_24510.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,21,NaN,clock,elephant,0.4,2581_hp_dnn_0.4_elephant_10_n02504458_1512.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,22,NaN,airplane,elephant,0.4,2582_hp_dnn_0.4_elephant_10_n02504013_173.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,23,NaN,clock,elephant,0.4,2583_hp_dnn_0.4_elephant_10_n02504458_488.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,24,NaN,airplane,elephant,0.4,2584_hp_dnn_0.4_elephant_10_n02504013_11223.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,25,NaN,clock,elephant,0.4,2585_hp_dnn_0.4_elephant_10_n02504013_4062.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,26,NaN,clock,elephant,0.4,2586_hp_dnn_0.4_elephant_10_n02504013_3264.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,27,NaN,airplane,elephant,0.4,2587_hp_dnn_0.4_elephant_10_n02504458_5619.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,28,NaN,airplane,elephant,0.4,2588_hp_dnn_0.4_elephant_10_n02504458_10088.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,29,NaN,airplane,elephant,0.4,2589_hp_dnn_0.4_elephant_10_n02504013_53.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,30,NaN,airplane,elephant,0.4,2590_hp_dnn_0.4_elephant_10_n02504013_3500.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,31,NaN,clock,bicycle,0.4,2591_hp_dnn_0.4_bicycle_10_n02835271_22355.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,32,NaN,airplane,bicycle,0.4,2592_hp_dnn_0.4_bicycle_10_n02835271_9288.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,33,NaN,clock,bicycle,0.4,2593_hp_dnn_0.4_bicycle_10_n02835271_2594.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,34,NaN,clock,bicycle,0.4,2594_hp_dnn_0.4_bicycle_10_n02835271_3575.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,35,NaN,clock,bicycle,0.4,2595_hp_dnn_0.4_bicycle_10_n02835271_64.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,36,NaN,airplane,bicycle,0.4,2596_hp_dnn_0.4_bicycle_10_n03792782_1982.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,37,NaN,clock,bicycle,0.4,2597_hp_dnn_0.4_bicycle_10_n03792782_13002.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,38,NaN,airplane,bicycle,0.4,2598_hp_dnn_0.4_bicycle_10_n03792782_607.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,39,NaN,clock,bicycle,0.4,2599_hp_dnn_0.4_bicycle_10_n03792782_15531.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,40,NaN,airplane,bicycle,0.4,2600_hp_dnn_0.4_bicycle_10_n03792782_7802.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,41,NaN,airplane,airplane,0.4,2601_hp_dnn_0.4_airplane_10_n02690373_7099.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,42,NaN,airplane,airplane,0.4,2602_hp_dnn_0.4_airplane_10_n02690373_8304.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,43,NaN,airplane,airplane,0.4,2603_hp_dnn_0.4_airplane_10_n02690373_8599.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,44,NaN,airplane,airplane,0.4,2604_hp_dnn_0.4_airplane_10_n02690373_693.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,45,NaN,airplane,airplane,0.4,2605_hp_dnn_0.4_airplane_10_n02690373_18111.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,46,NaN,airplane,airplane,0.4,2606_hp_dnn_0.4_airplane_10_n02690373_7530.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,47,NaN,airplane,airplane,0.4,2607_hp_dnn_0.4_airplane_10_n02690373_5524.png
sixteen36--rotation-multiple--uniform-noise-multiple--200epochs,3,48,NaN,clock,airplane,0.4,2608_hp_dnn_0.4_airplane_10_n02690373_4358.png
