subj,session,trial,rt,object_response,category,condition,imagename
specialised,5,1,,chair,knife,0.4,5121_hp_dnn_0.4_knife_10_n03041632_102887.png
specialised,5,2,,knife,knife,0.4,5122_hp_dnn_0.4_knife_10_n03041632_4305.png
specialised,5,3,,knife,knife,0.4,5123_hp_dnn_0.4_knife_10_n03041632_18766.png
specialised,5,4,,knife,knife,0.4,5124_hp_dnn_0.4_knife_10_n03041632_36277.png
specialised,5,5,,bird,knife,0.4,5125_hp_dnn_0.4_knife_10_n03041632_26236.png
specialised,5,6,,dog,knife,0.4,5126_hp_dnn_0.4_knife_10_n03041632_1143.png
specialised,5,7,,knife,knife,0.4,5127_hp_dnn_0.4_knife_10_n03041632_105080.png
specialised,5,8,,knife,knife,0.4,5128_hp_dnn_0.4_knife_10_n03041632_2630.png
specialised,5,9,,knife,knife,0.4,5129_hp_dnn_0.4_knife_10_n03041632_131.png
specialised,5,10,,knife,knife,0.4,5130_hp_dnn_0.4_knife_10_n03041632_8321.png
specialised,5,11,,keyboard,keyboard,0.4,5131_hp_dnn_0.4_keyboard_10_n04505470_326.png
specialised,5,12,,keyboard,keyboard,0.4,5132_hp_dnn_0.4_keyboard_10_n04505470_3391.png
specialised,5,13,,keyboard,keyboard,0.4,5133_hp_dnn_0.4_keyboard_10_n03085013_14279.png
specialised,5,14,,keyboard,keyboard,0.4,5134_hp_dnn_0.4_keyboard_10_n04505470_3234.png
specialised,5,15,,keyboard,keyboard,0.4,5135_hp_dnn_0.4_keyboard_10_n04505470_3659.png
specialised,5,16,,keyboard,keyboard,0.4,5136_hp_dnn_0.4_keyboard_10_n03085013_23885.png
specialised,5,17,,keyboard,keyboard,0.4,5137_hp_dnn_0.4_keyboard_10_n03085013_23291.png
specialised,5,18,,keyboard,keyboard,0.4,5138_hp_dnn_0.4_keyboard_10_n03085013_21488.png
specialised,5,19,,keyboard,keyboard,0.4,5139_hp_dnn_0.4_keyboard_10_n03085013_25671.png
specialised,5,20,,keyboard,keyboard,0.4,5140_hp_dnn_0.4_keyboard_10_n04505470_4166.png
specialised,5,21,,elephant,elephant,0.4,5141_hp_dnn_0.4_elephant_10_n02504458_133.png
specialised,5,22,,elephant,elephant,0.4,5142_hp_dnn_0.4_elephant_10_n02504458_10603.png
specialised,5,23,,elephant,elephant,0.4,5143_hp_dnn_0.4_elephant_10_n02504458_6079.png
specialised,5,24,,elephant,elephant,0.4,5144_hp_dnn_0.4_elephant_10_n02504458_6729.png
specialised,5,25,,dog,elephant,0.4,5145_hp_dnn_0.4_elephant_10_n02504458_1138.png
specialised,5,26,,elephant,elephant,0.4,5146_hp_dnn_0.4_elephant_10_n02504458_3381.png
specialised,5,27,,elephant,elephant,0.4,5147_hp_dnn_0.4_elephant_10_n02504013_1185.png
specialised,5,28,,elephant,elephant,0.4,5148_hp_dnn_0.4_elephant_10_n02504013_6619.png
specialised,5,29,,elephant,elephant,0.4,5149_hp_dnn_0.4_elephant_10_n02504458_12439.png
