subj,session,trial,rt,object_response,category,condition,imagename
all-noise,3,1,,knife,knife,0,2561_lp_dnn_0_knife_10_n03041632_22214.png
all-noise,3,2,,knife,knife,0,2562_lp_dnn_0_knife_10_n03041632_13465.png
all-noise,3,3,,knife,knife,0,2563_lp_dnn_0_knife_10_n03041632_11495.png
all-noise,3,4,,knife,knife,0,2564_lp_dnn_0_knife_10_n03041632_29285.png
all-noise,3,5,,knife,knife,0,2565_lp_dnn_0_knife_10_n03041632_36247.png
all-noise,3,6,,knife,knife,0,2566_lp_dnn_0_knife_10_n03041632_45775.png
all-noise,3,7,,knife,knife,0,2567_lp_dnn_0_knife_10_n03041632_25498.png
all-noise,3,8,,knife,knife,0,2568_lp_dnn_0_knife_10_n03041632_31849.png
all-noise,3,9,,knife,knife,0,2569_lp_dnn_0_knife_10_n03041632_44019.png
all-noise,3,10,,knife,knife,0,2570_lp_dnn_0_knife_10_n03041632_17859.png
all-noise,3,11,,keyboard,keyboard,0,2571_lp_dnn_0_keyboard_10_n03085013_4281.png
all-noise,3,12,,keyboard,keyboard,0,2572_lp_dnn_0_keyboard_10_n03085013_20906.png
all-noise,3,13,,keyboard,keyboard,0,2573_lp_dnn_0_keyboard_10_n03085013_23144.png
all-noise,3,14,,keyboard,keyboard,0,2574_lp_dnn_0_keyboard_10_n03085013_22585.png
all-noise,3,15,,keyboard,keyboard,0,2575_lp_dnn_0_keyboard_10_n04505470_4554.png
all-noise,3,16,,keyboard,keyboard,0,2576_lp_dnn_0_keyboard_10_n03085013_21082.png
all-noise,3,17,,keyboard,keyboard,0,2577_lp_dnn_0_keyboard_10_n04505470_4887.png
all-noise,3,18,,keyboard,keyboard,0,2578_lp_dnn_0_keyboard_10_n03085013_24963.png
all-noise,3,19,,keyboard,keyboard,0,2579_lp_dnn_0_keyboard_10_n03085013_23546.png
all-noise,3,20,,keyboard,keyboard,0,2580_lp_dnn_0_keyboard_10_n03085013_24510.png
all-noise,3,21,,elephant,elephant,0,2581_lp_dnn_0_elephant_10_n02504458_1512.png
all-noise,3,22,,elephant,elephant,0,2582_lp_dnn_0_elephant_10_n02504013_173.png
all-noise,3,23,,elephant,elephant,0,2583_lp_dnn_0_elephant_10_n02504458_488.png
all-noise,3,24,,elephant,elephant,0,2584_lp_dnn_0_elephant_10_n02504013_11223.png
all-noise,3,25,,elephant,elephant,0,2585_lp_dnn_0_elephant_10_n02504013_4062.png
all-noise,3,26,,elephant,elephant,0,2586_lp_dnn_0_elephant_10_n02504013_3264.png
all-noise,3,27,,elephant,elephant,0,2587_lp_dnn_0_elephant_10_n02504458_5619.png
all-noise,3,28,,elephant,elephant,0,2588_lp_dnn_0_elephant_10_n02504458_10088.png
all-noise,3,29,,elephant,elephant,0,2589_lp_dnn_0_elephant_10_n02504013_53.png
all-noise,3,30,,elephant,elephant,0,2590_lp_dnn_0_elephant_10_n02504013_3500.png
all-noise,3,31,,bicycle,bicycle,0,2591_lp_dnn_0_bicycle_10_n02835271_22355.png
all-noise,3,32,,bicycle,bicycle,0,2592_lp_dnn_0_bicycle_10_n02835271_9288.png
all-noise,3,33,,bicycle,bicycle,0,2593_lp_dnn_0_bicycle_10_n02835271_2594.png
all-noise,3,34,,bicycle,bicycle,0,2594_lp_dnn_0_bicycle_10_n02835271_3575.png
all-noise,3,35,,bicycle,bicycle,0,2595_lp_dnn_0_bicycle_10_n02835271_64.png
all-noise,3,36,,bicycle,bicycle,0,2596_lp_dnn_0_bicycle_10_n03792782_1982.png
all-noise,3,37,,bicycle,bicycle,0,2597_lp_dnn_0_bicycle_10_n03792782_13002.png
all-noise,3,38,,bicycle,bicycle,0,2598_lp_dnn_0_bicycle_10_n03792782_607.png
all-noise,3,39,,bicycle,bicycle,0,2599_lp_dnn_0_bicycle_10_n03792782_15531.png
all-noise,3,40,,bicycle,bicycle,0,2600_lp_dnn_0_bicycle_10_n03792782_7802.png
all-noise,3,41,,airplane,airplane,0,2601_lp_dnn_0_airplane_10_n02690373_7099.png
all-noise,3,42,,airplane,airplane,0,2602_lp_dnn_0_airplane_10_n02690373_8304.png
all-noise,3,43,,airplane,airplane,0,2603_lp_dnn_0_airplane_10_n02690373_8599.png
all-noise,3,44,,airplane,airplane,0,2604_lp_dnn_0_airplane_10_n02690373_693.png
all-noise,3,45,,airplane,airplane,0,2605_lp_dnn_0_airplane_10_n02690373_18111.png
all-noise,3,46,,airplane,airplane,0,2606_lp_dnn_0_airplane_10_n02690373_7530.png
all-noise,3,47,,airplane,airplane,0,2607_lp_dnn_0_airplane_10_n02690373_5524.png
all-noise,3,48,,airplane,airplane,0,2608_lp_dnn_0_airplane_10_n02690373_4358.png
all-noise,3,49,,airplane,airplane,0,2609_lp_dnn_0_airplane_10_n02690373_4201.png
all-noise,3,50,,airplane,airplane,0,2610_lp_dnn_0_airplane_10_n02690373_6697.png
all-noise,3,51,,clock,clock,0,2611_lp_dnn_0_clock_10_n02708093_1276.png
all-noise,3,52,,clock,clock,0,2612_lp_dnn_0_clock_10_n02708093_3743.png
all-noise,3,53,,clock,clock,0,2613_lp_dnn_0_clock_10_n03196217_5137.png
all-noise,3,54,,clock,clock,0,2614_lp_dnn_0_clock_10_n04548280_3133.png
all-noise,3,55,,clock,clock,0,2615_lp_dnn_0_clock_10_n02708093_899.png
all-noise,3,56,,clock,clock,0,2616_lp_dnn_0_clock_10_n04548280_6411.png
all-noise,3,57,,clock,clock,0,2617_lp_dnn_0_clock_10_n03196217_711.png
all-noise,3,58,,clock,clock,0,2618_lp_dnn_0_clock_10_n04548280_1114.png
all-noise,3,59,,clock,clock,0,2619_lp_dnn_0_clock_10_n03196217_95.png
all-noise,3,60,,clock,clock,0,2620_lp_dnn_0_clock_10_n03196217_3215.png
all-noise,3,61,,bird,oven,0,2621_lp_dnn_0_oven_10_n04111531_892.png
all-noise,3,62,,oven,oven,0,2622_lp_dnn_0_oven_10_n04111531_9424.png
all-noise,3,63,,oven,oven,0,2623_lp_dnn_0_oven_10_n04111531_4988.png
all-noise,3,64,,oven,oven,0,2624_lp_dnn_0_oven_10_n04111531_5290.png
all-noise,3,65,,oven,oven,0,2625_lp_dnn_0_oven_10_n04111531_22120.png
all-noise,3,66,,oven,oven,0,2626_lp_dnn_0_oven_10_n04111531_9712.png
all-noise,3,67,,oven,oven,0,2627_lp_dnn_0_oven_10_n04111531_9688.png
all-noise,3,68,,oven,oven,0,2628_lp_dnn_0_oven_10_n04111531_545.png
all-noise,3,69,,oven,oven,0,2629_lp_dnn_0_oven_10_n04111531_7717.png
all-noise,3,70,,oven,oven,0,2630_lp_dnn_0_oven_10_n04111531_3353.png
all-noise,3,71,,chair,chair,0,2631_lp_dnn_0_chair_10_n04429376_16849.png
all-noise,3,72,,chair,chair,0,2632_lp_dnn_0_chair_10_n02791124_2674.png
all-noise,3,73,,chair,chair,0,2633_lp_dnn_0_chair_10_n03376595_4954.png
all-noise,3,74,,chair,chair,0,2634_lp_dnn_0_chair_10_n04429376_22828.png
all-noise,3,75,,chair,chair,0,2635_lp_dnn_0_chair_10_n04099969_54555.png
all-noise,3,76,,chair,chair,0,2636_lp_dnn_0_chair_10_n04099969_4946.png
all-noise,3,77,,chair,chair,0,2637_lp_dnn_0_chair_10_n04429376_16325.png
all-noise,3,78,,chair,chair,0,2638_lp_dnn_0_chair_10_n04099969_5730.png
all-noise,3,79,,chair,chair,0,2639_lp_dnn_0_chair_10_n04099969_15094.png
all-noise,3,80,,chair,chair,0,2640_lp_dnn_0_chair_10_n02791124_8290.png
all-noise,3,81,,bear,bear,0,2641_lp_dnn_0_bear_10_n02132136_33682.png
all-noise,3,82,,bear,bear,0,2642_lp_dnn_0_bear_10_n02134084_7871.png
all-noise,3,83,,bear,bear,0,2643_lp_dnn_0_bear_10_n02133161_610.png
all-noise,3,84,,bear,bear,0,2644_lp_dnn_0_bear_10_n02134418_5914.png
all-noise,3,85,,bear,bear,0,2645_lp_dnn_0_bear_10_n02133161_1490.png
all-noise,3,86,,bird,bear,0,2646_lp_dnn_0_bear_10_n02134084_887.png
all-noise,3,87,,bear,bear,0,2647_lp_dnn_0_bear_10_n02133161_14686.png
all-noise,3,88,,bear,bear,0,2648_lp_dnn_0_bear_10_n02134084_2623.png
all-noise,3,89,,bear,bear,0,2649_lp_dnn_0_bear_10_n02133161_911.png
all-noise,3,90,,bear,bear,0,2650_lp_dnn_0_bear_10_n02134418_3284.png
all-noise,3,91,,boat,boat,0,2651_lp_dnn_0_boat_10_n03662601_13156.png
all-noise,3,92,,boat,boat,0,2652_lp_dnn_0_boat_10_n04273569_14638.png
