subj,session,trial,rt,object_response,category,condition,imagename
sixteen03--uniform-noise-multiple,1,1,NaN,knife,knife,0,0001_lp_dnn_0_knife_10_n03041632_8618.png
sixteen03--uniform-noise-multiple,1,2,NaN,knife,knife,0,0002_lp_dnn_0_knife_10_n03041632_51256.png
sixteen03--uniform-noise-multiple,1,3,NaN,knife,knife,0,0003_lp_dnn_0_knife_10_n03041632_27898.png
sixteen03--uniform-noise-multiple,1,4,NaN,knife,knife,0,0004_lp_dnn_0_knife_10_n03041632_32177.png
sixteen03--uniform-noise-multiple,1,5,NaN,knife,knife,0,0005_lp_dnn_0_knife_10_n03041632_23548.png
sixteen03--uniform-noise-multiple,1,6,NaN,knife,knife,0,0006_lp_dnn_0_knife_10_n03041632_41381.png
sixteen03--uniform-noise-multiple,1,7,NaN,knife,knife,0,0007_lp_dnn_0_knife_10_n03041632_24264.png
sixteen03--uniform-noise-multiple,1,8,NaN,knife,knife,0,0008_lp_dnn_0_knife_10_n03041632_45090.png
sixteen03--uniform-noise-multiple,1,9,NaN,knife,knife,0,0009_lp_dnn_0_knife_10_n03041632_87339.png
sixteen03--uniform-noise-multiple,1,10,NaN,knife,knife,0,0010_lp_dnn_0_knife_10_n03041632_96361.png
sixteen03--uniform-noise-multiple,1,11,NaN,keyboard,keyboard,0,0011_lp_dnn_0_keyboard_10_n03085013_21070.png
sixteen03--uniform-noise-multiple,1,12,NaN,knife,keyboard,0,0012_lp_dnn_0_keyboard_10_n04505470_5009.png
sixteen03--uniform-noise-multiple,1,13,NaN,knife,keyboard,0,0013_lp_dnn_0_keyboard_10_n03085013_3098.png
sixteen03--uniform-noise-multiple,1,14,NaN,knife,keyboard,0,0014_lp_dnn_0_keyboard_10_n03085013_20594.png
sixteen03--uniform-noise-multiple,1,15,NaN,knife,keyboard,0,0015_lp_dnn_0_keyboard_10_n04505470_3261.png
sixteen03--uniform-noise-multiple,1,16,NaN,clock,keyboard,0,0016_lp_dnn_0_keyboard_10_n04505470_8121.png
sixteen03--uniform-noise-multiple,1,17,NaN,knife,keyboard,0,0017_lp_dnn_0_keyboard_10_n04505470_64.png
sixteen03--uniform-noise-multiple,1,18,NaN,knife,keyboard,0,0018_lp_dnn_0_keyboard_10_n03085013_19687.png
sixteen03--uniform-noise-multiple,1,19,NaN,knife,keyboard,0,0019_lp_dnn_0_keyboard_10_n04505470_241.png
sixteen03--uniform-noise-multiple,1,20,NaN,clock,keyboard,0,0020_lp_dnn_0_keyboard_10_n03085013_23763.png
sixteen03--uniform-noise-multiple,1,21,NaN,knife,elephant,0,0021_lp_dnn_0_elephant_10_n02504013_6171.png
sixteen03--uniform-noise-multiple,1,22,NaN,knife,elephant,0,0022_lp_dnn_0_elephant_10_n02504013_5918.png
sixteen03--uniform-noise-multiple,1,23,NaN,knife,elephant,0,0023_lp_dnn_0_elephant_10_n02504458_574.png
sixteen03--uniform-noise-multiple,1,24,NaN,knife,elephant,0,0024_lp_dnn_0_elephant_10_n02504458_804.png
sixteen03--uniform-noise-multiple,1,25,NaN,knife,elephant,0,0025_lp_dnn_0_elephant_10_n02504013_2787.png
sixteen03--uniform-noise-multiple,1,26,NaN,knife,elephant,0,0026_lp_dnn_0_elephant_10_n02504458_8126.png
sixteen03--uniform-noise-multiple,1,27,NaN,knife,elephant,0,0027_lp_dnn_0_elephant_10_n02504458_341.png
sixteen03--uniform-noise-multiple,1,28,NaN,knife,elephant,0,0028_lp_dnn_0_elephant_10_n02504458_5288.png
sixteen03--uniform-noise-multiple,1,29,NaN,knife,elephant,0,0029_lp_dnn_0_elephant_10_n02504013_6880.png
sixteen03--uniform-noise-multiple,1,30,NaN,knife,elephant,0,0030_lp_dnn_0_elephant_10_n02504458_4228.png
sixteen03--uniform-noise-multiple,1,31,NaN,knife,bicycle,0,0031_lp_dnn_0_bicycle_10_n02835271_17168.png
