subj,session,trial,rt,object_response,category,condition,imagename
sixteen07--grayscale-contrast-multiple,6,1,NaN,knife,knife,0,6401_lp_dnn_0_knife_10_n03041632_7279.png
sixteen07--grayscale-contrast-multiple,6,2,NaN,knife,knife,0,6402_lp_dnn_0_knife_10_n03041632_5640.png
sixteen07--grayscale-contrast-multiple,6,3,NaN,knife,knife,0,6403_lp_dnn_0_knife_10_n03041632_2386.png
sixteen07--grayscale-contrast-multiple,6,4,NaN,knife,knife,0,6404_lp_dnn_0_knife_10_n03041632_28202.png
sixteen07--grayscale-contrast-multiple,6,5,NaN,knife,knife,0,6405_lp_dnn_0_knife_10_n03041632_6309.png
sixteen07--grayscale-contrast-multiple,6,6,NaN,knife,knife,0,6406_lp_dnn_0_knife_10_n03041632_49163.png
sixteen07--grayscale-contrast-multiple,6,7,NaN,knife,knife,0,6407_lp_dnn_0_knife_10_n03041632_2058.png
sixteen07--grayscale-contrast-multiple,6,8,NaN,knife,knife,0,6408_lp_dnn_0_knife_10_n03041632_5820.png
sixteen07--grayscale-contrast-multiple,6,9,NaN,knife,knife,0,6409_lp_dnn_0_knife_10_n03041632_50034.png
sixteen07--grayscale-contrast-multiple,6,10,NaN,knife,knife,0,6410_lp_dnn_0_knife_10_n03041632_2973.png
sixteen07--grayscale-contrast-multiple,6,11,NaN,keyboard,keyboard,0,6411_lp_dnn_0_keyboard_10_n03085013_26164.png
sixteen07--grayscale-contrast-multiple,6,12,NaN,keyboard,keyboard,0,6412_lp_dnn_0_keyboard_10_n04505470_5057.png
sixteen07--grayscale-contrast-multiple,6,13,NaN,keyboard,keyboard,0,6413_lp_dnn_0_keyboard_10_n03085013_5738.png
sixteen07--grayscale-contrast-multiple,6,14,NaN,keyboard,keyboard,0,6414_lp_dnn_0_keyboard_10_n03085013_20388.png
sixteen07--grayscale-contrast-multiple,6,15,NaN,keyboard,keyboard,0,6415_lp_dnn_0_keyboard_10_n03085013_2362.png
sixteen07--grayscale-contrast-multiple,6,16,NaN,keyboard,keyboard,0,6416_lp_dnn_0_keyboard_10_n03085013_19065.png
sixteen07--grayscale-contrast-multiple,6,17,NaN,keyboard,keyboard,0,6417_lp_dnn_0_keyboard_10_n03085013_18830.png
sixteen07--grayscale-contrast-multiple,6,18,NaN,keyboard,keyboard,0,6418_lp_dnn_0_keyboard_10_n04505470_5152.png
sixteen07--grayscale-contrast-multiple,6,19,NaN,keyboard,keyboard,0,6419_lp_dnn_0_keyboard_10_n03085013_5819.png
sixteen07--grayscale-contrast-multiple,6,20,NaN,keyboard,keyboard,0,6420_lp_dnn_0_keyboard_10_n04505470_4366.png
sixteen07--grayscale-contrast-multiple,6,21,NaN,elephant,elephant,0,6421_lp_dnn_0_elephant_10_n02504458_3228.png
sixteen07--grayscale-contrast-multiple,6,22,NaN,elephant,elephant,0,6422_lp_dnn_0_elephant_10_n02504458_3777.png
sixteen07--grayscale-contrast-multiple,6,23,NaN,elephant,elephant,0,6423_lp_dnn_0_elephant_10_n02504013_1187.png
sixteen07--grayscale-contrast-multiple,6,24,NaN,elephant,elephant,0,6424_lp_dnn_0_elephant_10_n02504458_1661.png
sixteen07--grayscale-contrast-multiple,6,25,NaN,elephant,elephant,0,6425_lp_dnn_0_elephant_10_n02504013_295.png
sixteen07--grayscale-contrast-multiple,6,26,NaN,elephant,elephant,0,6426_lp_dnn_0_elephant_10_n02504013_8614.png
sixteen07--grayscale-contrast-multiple,6,27,NaN,elephant,elephant,0,6427_lp_dnn_0_elephant_10_n02504458_3114.png
sixteen07--grayscale-contrast-multiple,6,28,NaN,elephant,elephant,0,6428_lp_dnn_0_elephant_10_n02504013_522.png
sixteen07--grayscale-contrast-multiple,6,29,NaN,elephant,elephant,0,6429_lp_dnn_0_elephant_10_n02504013_4139.png
sixteen07--grayscale-contrast-multiple,6,30,NaN,elephant,elephant,0,6430_lp_dnn_0_elephant_10_n02504458_1863.png
sixteen07--grayscale-contrast-multiple,6,31,NaN,bicycle,bicycle,0,6431_lp_dnn_0_bicycle_10_n02835271_10754.png
sixteen07--grayscale-contrast-multiple,6,32,NaN,bicycle,bicycle,0,6432_lp_dnn_0_bicycle_10_n02835271_8017.png
sixteen07--grayscale-contrast-multiple,6,33,NaN,bicycle,bicycle,0,6433_lp_dnn_0_bicycle_10_n03792782_126.png
sixteen07--grayscale-contrast-multiple,6,34,NaN,bicycle,bicycle,0,6434_lp_dnn_0_bicycle_10_n02835271_19552.png
sixteen07--grayscale-contrast-multiple,6,35,NaN,bicycle,bicycle,0,6435_lp_dnn_0_bicycle_10_n03792782_5102.png
sixteen07--grayscale-contrast-multiple,6,36,NaN,bicycle,bicycle,0,6436_lp_dnn_0_bicycle_10_n02835271_8975.png
sixteen07--grayscale-contrast-multiple,6,37,NaN,bicycle,bicycle,0,6437_lp_dnn_0_bicycle_10_n03792782_25701.png
sixteen07--grayscale-contrast-multiple,6,38,NaN,bicycle,bicycle,0,6438_lp_dnn_0_bicycle_10_n03792782_76556.png
sixteen07--grayscale-contrast-multiple,6,39,NaN,bicycle,bicycle,0,6439_lp_dnn_0_bicycle_10_n02835271_3812.png
sixteen07--grayscale-contrast-multiple,6,40,NaN,bicycle,bicycle,0,6440_lp_dnn_0_bicycle_10_n02835271_25109.png
sixteen07--grayscale-contrast-multiple,6,41,NaN,airplane,airplane,0,6441_lp_dnn_0_airplane_10_n02690373_6988.png
sixteen07--grayscale-contrast-multiple,6,42,NaN,airplane,airplane,0,6442_lp_dnn_0_airplane_10_n02690373_166.png
sixteen07--grayscale-contrast-multiple,6,43,NaN,airplane,airplane,0,6443_lp_dnn_0_airplane_10_n02690373_19749.png
sixteen07--grayscale-contrast-multiple,6,44,NaN,airplane,airplane,0,6444_lp_dnn_0_airplane_10_n02690373_5277.png
sixteen07--grayscale-contrast-multiple,6,45,NaN,airplane,airplane,0,6445_lp_dnn_0_airplane_10_n02690373_9720.png
sixteen07--grayscale-contrast-multiple,6,46,NaN,airplane,airplane,0,6446_lp_dnn_0_airplane_10_n02690373_8666.png
sixteen07--grayscale-contrast-multiple,6,47,NaN,airplane,airplane,0,6447_lp_dnn_0_airplane_10_n02690373_2800.png
sixteen07--grayscale-contrast-multiple,6,48,NaN,airplane,airplane,0,6448_lp_dnn_0_airplane_10_n02690373_2095.png
sixteen07--grayscale-contrast-multiple,6,49,NaN,airplane,airplane,0,6449_lp_dnn_0_airplane_10_n02690373_599.png
sixteen07--grayscale-contrast-multiple,6,50,NaN,airplane,airplane,0,6450_lp_dnn_0_airplane_10_n02690373_5164.png
sixteen07--grayscale-contrast-multiple,6,51,NaN,clock,clock,0,6451_lp_dnn_0_clock_10_n02708093_6558.png
sixteen07--grayscale-contrast-multiple,6,52,NaN,clock,clock,0,6452_lp_dnn_0_clock_10_n03196217_2575.png
sixteen07--grayscale-contrast-multiple,6,53,NaN,clock,clock,0,6453_lp_dnn_0_clock_10_n03196217_6026.png
sixteen07--grayscale-contrast-multiple,6,54,NaN,clock,clock,0,6454_lp_dnn_0_clock_10_n03196217_6083.png
sixteen07--grayscale-contrast-multiple,6,55,NaN,clock,clock,0,6455_lp_dnn_0_clock_10_n02708093_2318.png
sixteen07--grayscale-contrast-multiple,6,56,NaN,clock,clock,0,6456_lp_dnn_0_clock_10_n02708093_3062.png
sixteen07--grayscale-contrast-multiple,6,57,NaN,clock,clock,0,6457_lp_dnn_0_clock_10_n02708093_1673.png
sixteen07--grayscale-contrast-multiple,6,58,NaN,clock,clock,0,6458_lp_dnn_0_clock_10_n04548280_199.png
sixteen07--grayscale-contrast-multiple,6,59,NaN,clock,clock,0,6459_lp_dnn_0_clock_10_n03196217_3333.png
sixteen07--grayscale-contrast-multiple,6,60,NaN,clock,clock,0,6460_lp_dnn_0_clock_10_n04548280_3799.png
