subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,3,1,NaN,chair,knife,0,2561_lp_dnn_0_knife_10_n03041632_22214.png
sixteen09--rotation-multiple,3,2,NaN,dog,knife,0,2562_lp_dnn_0_knife_10_n03041632_13465.png
sixteen09--rotation-multiple,3,3,NaN,knife,knife,0,2563_lp_dnn_0_knife_10_n03041632_11495.png
sixteen09--rotation-multiple,3,4,NaN,chair,knife,0,2564_lp_dnn_0_knife_10_n03041632_29285.png
sixteen09--rotation-multiple,3,5,NaN,elephant,knife,0,2565_lp_dnn_0_knife_10_n03041632_36247.png
sixteen09--rotation-multiple,3,6,NaN,knife,knife,0,2566_lp_dnn_0_knife_10_n03041632_45775.png
sixteen09--rotation-multiple,3,7,NaN,bicycle,knife,0,2567_lp_dnn_0_knife_10_n03041632_25498.png
sixteen09--rotation-multiple,3,8,NaN,knife,knife,0,2568_lp_dnn_0_knife_10_n03041632_31849.png
sixteen09--rotation-multiple,3,9,NaN,knife,knife,0,2569_lp_dnn_0_knife_10_n03041632_44019.png
sixteen09--rotation-multiple,3,10,NaN,knife,knife,0,2570_lp_dnn_0_knife_10_n03041632_17859.png
sixteen09--rotation-multiple,3,11,NaN,keyboard,keyboard,0,2571_lp_dnn_0_keyboard_10_n03085013_4281.png
sixteen09--rotation-multiple,3,12,NaN,keyboard,keyboard,0,2572_lp_dnn_0_keyboard_10_n03085013_20906.png
sixteen09--rotation-multiple,3,13,NaN,keyboard,keyboard,0,2573_lp_dnn_0_keyboard_10_n03085013_23144.png
sixteen09--rotation-multiple,3,14,NaN,keyboard,keyboard,0,2574_lp_dnn_0_keyboard_10_n03085013_22585.png
sixteen09--rotation-multiple,3,15,NaN,keyboard,keyboard,0,2575_lp_dnn_0_keyboard_10_n04505470_4554.png
sixteen09--rotation-multiple,3,16,NaN,keyboard,keyboard,0,2576_lp_dnn_0_keyboard_10_n03085013_21082.png
sixteen09--rotation-multiple,3,17,NaN,keyboard,keyboard,0,2577_lp_dnn_0_keyboard_10_n04505470_4887.png
sixteen09--rotation-multiple,3,18,NaN,keyboard,keyboard,0,2578_lp_dnn_0_keyboard_10_n03085013_24963.png
sixteen09--rotation-multiple,3,19,NaN,keyboard,keyboard,0,2579_lp_dnn_0_keyboard_10_n03085013_23546.png
sixteen09--rotation-multiple,3,20,NaN,keyboard,keyboard,0,2580_lp_dnn_0_keyboard_10_n03085013_24510.png
sixteen09--rotation-multiple,3,21,NaN,elephant,elephant,0,2581_lp_dnn_0_elephant_10_n02504458_1512.png
sixteen09--rotation-multiple,3,22,NaN,elephant,elephant,0,2582_lp_dnn_0_elephant_10_n02504013_173.png
sixteen09--rotation-multiple,3,23,NaN,elephant,elephant,0,2583_lp_dnn_0_elephant_10_n02504458_488.png
sixteen09--rotation-multiple,3,24,NaN,elephant,elephant,0,2584_lp_dnn_0_elephant_10_n02504013_11223.png
sixteen09--rotation-multiple,3,25,NaN,elephant,elephant,0,2585_lp_dnn_0_elephant_10_n02504013_4062.png
sixteen09--rotation-multiple,3,26,NaN,elephant,elephant,0,2586_lp_dnn_0_elephant_10_n02504013_3264.png
sixteen09--rotation-multiple,3,27,NaN,elephant,elephant,0,2587_lp_dnn_0_elephant_10_n02504458_5619.png
sixteen09--rotation-multiple,3,28,NaN,elephant,elephant,0,2588_lp_dnn_0_elephant_10_n02504458_10088.png
