subj,session,trial,rt,object_response,category,condition,imagename
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,1,NaN,chair,knife,0,5121_lp_dnn_0_knife_10_n03041632_102887.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,2,NaN,knife,knife,0,5122_lp_dnn_0_knife_10_n03041632_4305.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,3,NaN,knife,knife,0,5123_lp_dnn_0_knife_10_n03041632_18766.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,4,NaN,knife,knife,0,5124_lp_dnn_0_knife_10_n03041632_36277.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,5,NaN,chair,knife,0,5125_lp_dnn_0_knife_10_n03041632_26236.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,6,NaN,knife,knife,0,5126_lp_dnn_0_knife_10_n03041632_1143.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,7,NaN,knife,knife,0,5127_lp_dnn_0_knife_10_n03041632_105080.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,8,NaN,knife,knife,0,5128_lp_dnn_0_knife_10_n03041632_2630.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,9,NaN,knife,knife,0,5129_lp_dnn_0_knife_10_n03041632_131.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,10,NaN,knife,knife,0,5130_lp_dnn_0_knife_10_n03041632_8321.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,11,NaN,keyboard,keyboard,0,5131_lp_dnn_0_keyboard_10_n04505470_326.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,12,NaN,keyboard,keyboard,0,5132_lp_dnn_0_keyboard_10_n04505470_3391.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,13,NaN,keyboard,keyboard,0,5133_lp_dnn_0_keyboard_10_n03085013_14279.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,5,14,NaN,keyboard,keyboard,0,5134_lp_dnn_0_keyboard_10_n04505470_3234.png
