subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,1,NaN,knife,knife,0,6401_lp_dnn_0_knife_10_n03041632_7279.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,2,NaN,clock,knife,0,6402_lp_dnn_0_knife_10_n03041632_5640.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,3,NaN,clock,knife,0,6403_lp_dnn_0_knife_10_n03041632_2386.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,4,NaN,bottle,knife,0,6404_lp_dnn_0_knife_10_n03041632_28202.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,5,NaN,clock,knife,0,6405_lp_dnn_0_knife_10_n03041632_6309.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,6,NaN,knife,knife,0,6406_lp_dnn_0_knife_10_n03041632_49163.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,7,NaN,knife,knife,0,6407_lp_dnn_0_knife_10_n03041632_2058.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,8,NaN,clock,knife,0,6408_lp_dnn_0_knife_10_n03041632_5820.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,9,NaN,clock,knife,0,6409_lp_dnn_0_knife_10_n03041632_50034.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,10,NaN,clock,knife,0,6410_lp_dnn_0_knife_10_n03041632_2973.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,11,NaN,clock,keyboard,0,6411_lp_dnn_0_keyboard_10_n03085013_26164.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,12,NaN,clock,keyboard,0,6412_lp_dnn_0_keyboard_10_n04505470_5057.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,13,NaN,knife,keyboard,0,6413_lp_dnn_0_keyboard_10_n03085013_5738.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,14,NaN,clock,keyboard,0,6414_lp_dnn_0_keyboard_10_n03085013_20388.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,15,NaN,clock,keyboard,0,6415_lp_dnn_0_keyboard_10_n03085013_2362.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,16,NaN,clock,keyboard,0,6416_lp_dnn_0_keyboard_10_n03085013_19065.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,17,NaN,clock,keyboard,0,6417_lp_dnn_0_keyboard_10_n03085013_18830.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,18,NaN,clock,keyboard,0,6418_lp_dnn_0_keyboard_10_n04505470_5152.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,19,NaN,clock,keyboard,0,6419_lp_dnn_0_keyboard_10_n03085013_5819.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,20,NaN,clock,keyboard,0,6420_lp_dnn_0_keyboard_10_n04505470_4366.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,21,NaN,clock,elephant,0,6421_lp_dnn_0_elephant_10_n02504458_3228.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,22,NaN,clock,elephant,0,6422_lp_dnn_0_elephant_10_n02504458_3777.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,23,NaN,clock,elephant,0,6423_lp_dnn_0_elephant_10_n02504013_1187.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,24,NaN,knife,elephant,0,6424_lp_dnn_0_elephant_10_n02504458_1661.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,25,NaN,clock,elephant,0,6425_lp_dnn_0_elephant_10_n02504013_295.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,26,NaN,clock,elephant,0,6426_lp_dnn_0_elephant_10_n02504013_8614.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,27,NaN,knife,elephant,0,6427_lp_dnn_0_elephant_10_n02504458_3114.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,28,NaN,clock,elephant,0,6428_lp_dnn_0_elephant_10_n02504013_522.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,29,NaN,knife,elephant,0,6429_lp_dnn_0_elephant_10_n02504013_4139.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,30,NaN,clock,elephant,0,6430_lp_dnn_0_elephant_10_n02504458_1863.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,6,31,NaN,knife,bicycle,0,6431_lp_dnn_0_bicycle_10_n02835271_10754.png
