subj,session,trial,rt,object_response,category,condition,imagename
all-noise,3,1,,knife,knife,0.0,2561_nsp_dnn_0.00_knife_10_n03041632_36215.png
all-noise,3,2,,knife,knife,0.0,2562_nsp_dnn_0.00_knife_10_n03041632_27022.png
all-noise,3,3,,knife,knife,0.0,2563_nsp_dnn_0.00_knife_10_n03041632_44738.png
all-noise,3,4,,elephant,knife,0.0,2564_nsp_dnn_0.00_knife_10_n03041632_32785.png
all-noise,3,5,,knife,knife,0.0,2565_nsp_dnn_0.00_knife_10_n03041632_965.png
all-noise,3,6,,knife,knife,0.0,2566_nsp_dnn_0.00_knife_10_n03041632_96345.png
all-noise,3,7,,knife,knife,0.0,2567_nsp_dnn_0.00_knife_10_n03041632_4714.png
all-noise,3,8,,knife,knife,0.0,2568_nsp_dnn_0.00_knife_10_n03041632_19866.png
all-noise,3,9,,knife,knife,0.0,2569_nsp_dnn_0.00_knife_10_n03041632_27832.png
all-noise,3,10,,knife,knife,0.0,2570_nsp_dnn_0.00_knife_10_n03041632_3926.png
all-noise,3,11,,keyboard,keyboard,0.0,2571_nsp_dnn_0.00_keyboard_10_n03085013_20302.png
all-noise,3,12,,keyboard,keyboard,0.0,2572_nsp_dnn_0.00_keyboard_10_n03085013_7152.png
all-noise,3,13,,keyboard,keyboard,0.0,2573_nsp_dnn_0.00_keyboard_10_n03085013_3980.png
all-noise,3,14,,keyboard,keyboard,0.0,2574_nsp_dnn_0.00_keyboard_10_n04505470_1342.png
all-noise,3,15,,keyboard,keyboard,0.0,2575_nsp_dnn_0.00_keyboard_10_n04505470_4440.png
all-noise,3,16,,keyboard,keyboard,0.0,2576_nsp_dnn_0.00_keyboard_10_n04505470_1648.png
all-noise,3,17,,keyboard,keyboard,0.0,2577_nsp_dnn_0.00_keyboard_10_n03085013_5738.png
all-noise,3,18,,keyboard,keyboard,0.0,2578_nsp_dnn_0.00_keyboard_10_n04505470_4966.png
all-noise,3,19,,cat,keyboard,0.0,2579_nsp_dnn_0.00_keyboard_10_n03085013_24316.png
all-noise,3,20,,keyboard,keyboard,0.0,2580_nsp_dnn_0.00_keyboard_10_n03085013_7879.png
all-noise,3,21,,elephant,elephant,0.0,2581_nsp_dnn_0.00_elephant_10_n02504013_9401.png
all-noise,3,22,,elephant,elephant,0.0,2582_nsp_dnn_0.00_elephant_10_n02504013_7351.png
all-noise,3,23,,elephant,elephant,0.0,2583_nsp_dnn_0.00_elephant_10_n02504458_6792.png
all-noise,3,24,,elephant,elephant,0.0,2584_nsp_dnn_0.00_elephant_10_n02504458_7621.png
all-noise,3,25,,elephant,elephant,0.0,2585_nsp_dnn_0.00_elephant_10_n02504458_4248.png
all-noise,3,26,,elephant,elephant,0.0,2586_nsp_dnn_0.00_elephant_10_n02504458_8414.png
all-noise,3,27,,elephant,elephant,0.0,2587_nsp_dnn_0.00_elephant_10_n02504458_2272.png
all-noise,3,28,,elephant,elephant,0.0,2588_nsp_dnn_0.00_elephant_10_n02504458_4036.png
all-noise,3,29,,elephant,elephant,0.0,2589_nsp_dnn_0.00_elephant_10_n02504458_6109.png
all-noise,3,30,,elephant,elephant,0.0,2590_nsp_dnn_0.00_elephant_10_n02504458_2977.png
all-noise,3,31,,chair,bicycle,0.0,2591_nsp_dnn_0.00_bicycle_10_n02835271_4334.png
all-noise,3,32,,bicycle,bicycle,0.0,2592_nsp_dnn_0.00_bicycle_10_n02835271_9286.png
all-noise,3,33,,bicycle,bicycle,0.0,2593_nsp_dnn_0.00_bicycle_10_n03792782_15435.png
all-noise,3,34,,bicycle,bicycle,0.0,2594_nsp_dnn_0.00_bicycle_10_n03792782_2024.png
all-noise,3,35,,bicycle,bicycle,0.0,2595_nsp_dnn_0.00_bicycle_10_n02835271_21371.png
all-noise,3,36,,bicycle,bicycle,0.0,2596_nsp_dnn_0.00_bicycle_10_n02835271_9860.png
all-noise,3,37,,bicycle,bicycle,0.0,2597_nsp_dnn_0.00_bicycle_10_n02835271_7597.png
all-noise,3,38,,bicycle,bicycle,0.0,2598_nsp_dnn_0.00_bicycle_10_n02835271_24847.png
all-noise,3,39,,bicycle,bicycle,0.0,2599_nsp_dnn_0.00_bicycle_10_n02835271_5986.png
all-noise,3,40,,bicycle,bicycle,0.0,2600_nsp_dnn_0.00_bicycle_10_n03792782_3357.png
all-noise,3,41,,airplane,airplane,0.0,2601_nsp_dnn_0.00_airplane_10_n02690373_1310.png
all-noise,3,42,,airplane,airplane,0.0,2602_nsp_dnn_0.00_airplane_10_n02690373_10657.png
all-noise,3,43,,airplane,airplane,0.0,2603_nsp_dnn_0.00_airplane_10_n02690373_7408.png
all-noise,3,44,,airplane,airplane,0.0,2604_nsp_dnn_0.00_airplane_10_n02690373_4495.png
all-noise,3,45,,airplane,airplane,0.0,2605_nsp_dnn_0.00_airplane_10_n02690373_3362.png
all-noise,3,46,,airplane,airplane,0.0,2606_nsp_dnn_0.00_airplane_10_n02690373_7473.png
all-noise,3,47,,airplane,airplane,0.0,2607_nsp_dnn_0.00_airplane_10_n02690373_1983.png
all-noise,3,48,,airplane,airplane,0.0,2608_nsp_dnn_0.00_airplane_10_n02690373_1083.png
all-noise,3,49,,airplane,airplane,0.0,2609_nsp_dnn_0.00_airplane_10_n02690373_8123.png
all-noise,3,50,,airplane,airplane,0.0,2610_nsp_dnn_0.00_airplane_10_n02690373_919.png
all-noise,3,51,,clock,clock,0.0,2611_nsp_dnn_0.00_clock_10_n02708093_6628.png
all-noise,3,52,,clock,clock,0.0,2612_nsp_dnn_0.00_clock_10_n04548280_5545.png
all-noise,3,53,,clock,clock,0.0,2613_nsp_dnn_0.00_clock_10_n03196217_1687.png
all-noise,3,54,,clock,clock,0.0,2614_nsp_dnn_0.00_clock_10_n02708093_5158.png
all-noise,3,55,,clock,clock,0.0,2615_nsp_dnn_0.00_clock_10_n04548280_6235.png
all-noise,3,56,,clock,clock,0.0,2616_nsp_dnn_0.00_clock_10_n04548280_360.png
all-noise,3,57,,clock,clock,0.0,2617_nsp_dnn_0.00_clock_10_n04548280_17194.png
all-noise,3,58,,clock,clock,0.0,2618_nsp_dnn_0.00_clock_10_n04548280_4783.png
all-noise,3,59,,clock,clock,0.0,2619_nsp_dnn_0.00_clock_10_n03196217_7431.png
all-noise,3,60,,clock,clock,0.0,2620_nsp_dnn_0.00_clock_10_n02708093_275.png
all-noise,3,61,,oven,oven,0.0,2621_nsp_dnn_0.00_oven_10_n04111531_13128.png
all-noise,3,62,,oven,oven,0.0,2622_nsp_dnn_0.00_oven_10_n04111531_5940.png
all-noise,3,63,,oven,oven,0.0,2623_nsp_dnn_0.00_oven_10_n04111531_22020.png
all-noise,3,64,,oven,oven,0.0,2624_nsp_dnn_0.00_oven_10_n04111531_6080.png
all-noise,3,65,,oven,oven,0.0,2625_nsp_dnn_0.00_oven_10_n04111531_9779.png
all-noise,3,66,,oven,oven,0.0,2626_nsp_dnn_0.00_oven_10_n04111531_9805.png
all-noise,3,67,,oven,oven,0.0,2627_nsp_dnn_0.00_oven_10_n04111531_8537.png
all-noise,3,68,,oven,oven,0.0,2628_nsp_dnn_0.00_oven_10_n04111531_10064.png
all-noise,3,69,,oven,oven,0.0,2629_nsp_dnn_0.00_oven_10_n04111531_9178.png
all-noise,3,70,,oven,oven,0.0,2630_nsp_dnn_0.00_oven_10_n04111531_4826.png
all-noise,3,71,,chair,chair,0.0,2631_nsp_dnn_0.00_chair_10_n04099969_39368.png
all-noise,3,72,,chair,chair,0.0,2632_nsp_dnn_0.00_chair_10_n03376595_3968.png
all-noise,3,73,,chair,chair,0.0,2633_nsp_dnn_0.00_chair_10_n04099969_7153.png
all-noise,3,74,,chair,chair,0.0,2634_nsp_dnn_0.00_chair_10_n03376595_15191.png
all-noise,3,75,,chair,chair,0.0,2635_nsp_dnn_0.00_chair_10_n04429376_19319.png
all-noise,3,76,,chair,chair,0.0,2636_nsp_dnn_0.00_chair_10_n03376595_1712.png
all-noise,3,77,,chair,chair,0.0,2637_nsp_dnn_0.00_chair_10_n02791124_5410.png
all-noise,3,78,,chair,chair,0.0,2638_nsp_dnn_0.00_chair_10_n02791124_14.png
all-noise,3,79,,chair,chair,0.0,2639_nsp_dnn_0.00_chair_10_n04099969_5524.png
all-noise,3,80,,chair,chair,0.0,2640_nsp_dnn_0.00_chair_10_n03376595_4234.png
all-noise,3,81,,bear,bear,0.0,2641_nsp_dnn_0.00_bear_10_n02132136_12198.png
all-noise,3,82,,bear,bear,0.0,2642_nsp_dnn_0.00_bear_10_n02134084_1022.png
all-noise,3,83,,bear,bear,0.0,2643_nsp_dnn_0.00_bear_10_n02132136_3981.png
all-noise,3,84,,bear,bear,0.0,2644_nsp_dnn_0.00_bear_10_n02133161_4617.png
all-noise,3,85,,bear,bear,0.0,2645_nsp_dnn_0.00_bear_10_n02134418_2660.png
all-noise,3,86,,bear,bear,0.0,2646_nsp_dnn_0.00_bear_10_n02133161_1222.png
all-noise,3,87,,bear,bear,0.0,2647_nsp_dnn_0.00_bear_10_n02134084_2953.png
all-noise,3,88,,bear,bear,0.0,2648_nsp_dnn_0.00_bear_10_n02134084_2516.png
all-noise,3,89,,bird,bear,0.0,2649_nsp_dnn_0.00_bear_10_n02134418_5231.png
all-noise,3,90,,bear,bear,0.0,2650_nsp_dnn_0.00_bear_10_n02134418_5219.png
all-noise,3,91,,boat,boat,0.0,2651_nsp_dnn_0.00_boat_10_n02951358_29325.png
all-noise,3,92,,boat,boat,0.0,2652_nsp_dnn_0.00_boat_10_n04612504_37165.png
all-noise,3,93,,boat,boat,0.0,2653_nsp_dnn_0.00_boat_10_n04612504_3327.png
all-noise,3,94,,boat,boat,0.0,2654_nsp_dnn_0.00_boat_10_n04273569_1728.png
all-noise,3,95,,boat,boat,0.0,2655_nsp_dnn_0.00_boat_10_n04612504_15562.png
all-noise,3,96,,boat,boat,0.0,2656_nsp_dnn_0.00_boat_10_n04612504_22588.png
all-noise,3,97,,boat,boat,0.0,2657_nsp_dnn_0.00_boat_10_n02951358_15422.png
all-noise,3,98,,boat,boat,0.0,2658_nsp_dnn_0.00_boat_10_n02951358_12147.png
all-noise,3,99,,boat,boat,0.0,2659_nsp_dnn_0.00_boat_10_n04273569_4324.png
all-noise,3,100,,boat,boat,0.0,2660_nsp_dnn_0.00_boat_10_n03662601_20110.png
all-noise,3,101,,cat,cat,0.0,2661_nsp_dnn_0.00_cat_10_n02125311_14922.png
