subj,session,trial,rt,object_response,category,condition,imagename
sixteen03--uniform-noise-multiple,1,1,NaN,oven,knife,0.00,0001_nsp_dnn_0.00_knife_10_n03041632_8618.png
sixteen03--uniform-noise-multiple,1,2,NaN,knife,knife,0.00,0002_nsp_dnn_0.00_knife_10_n03041632_51256.png
sixteen03--uniform-noise-multiple,1,3,NaN,elephant,knife,0.00,0003_nsp_dnn_0.00_knife_10_n03041632_27898.png
sixteen03--uniform-noise-multiple,1,4,NaN,knife,knife,0.00,0004_nsp_dnn_0.00_knife_10_n03041632_32177.png
sixteen03--uniform-noise-multiple,1,5,NaN,knife,knife,0.00,0005_nsp_dnn_0.00_knife_10_n03041632_23548.png
sixteen03--uniform-noise-multiple,1,6,NaN,knife,knife,0.00,0006_nsp_dnn_0.00_knife_10_n03041632_41381.png
sixteen03--uniform-noise-multiple,1,7,NaN,knife,knife,0.00,0007_nsp_dnn_0.00_knife_10_n03041632_24264.png
sixteen03--uniform-noise-multiple,1,8,NaN,knife,knife,0.00,0008_nsp_dnn_0.00_knife_10_n03041632_45090.png
sixteen03--uniform-noise-multiple,1,9,NaN,knife,knife,0.00,0009_nsp_dnn_0.00_knife_10_n03041632_87339.png
sixteen03--uniform-noise-multiple,1,10,NaN,knife,knife,0.00,0010_nsp_dnn_0.00_knife_10_n03041632_96361.png
sixteen03--uniform-noise-multiple,1,11,NaN,keyboard,keyboard,0.00,0011_nsp_dnn_0.00_keyboard_10_n03085013_29396.png
sixteen03--uniform-noise-multiple,1,12,NaN,keyboard,keyboard,0.00,0012_nsp_dnn_0.00_keyboard_10_n04505470_1719.png
sixteen03--uniform-noise-multiple,1,13,NaN,keyboard,keyboard,0.00,0013_nsp_dnn_0.00_keyboard_10_n04505470_10668.png
sixteen03--uniform-noise-multiple,1,14,NaN,keyboard,keyboard,0.00,0014_nsp_dnn_0.00_keyboard_10_n03085013_20267.png
sixteen03--uniform-noise-multiple,1,15,NaN,keyboard,keyboard,0.00,0015_nsp_dnn_0.00_keyboard_10_n03085013_23706.png
sixteen03--uniform-noise-multiple,1,16,NaN,keyboard,keyboard,0.00,0016_nsp_dnn_0.00_keyboard_10_n03085013_7440.png
sixteen03--uniform-noise-multiple,1,17,NaN,keyboard,keyboard,0.00,0017_nsp_dnn_0.00_keyboard_10_n03085013_7511.png
sixteen03--uniform-noise-multiple,1,18,NaN,keyboard,keyboard,0.00,0018_nsp_dnn_0.00_keyboard_10_n04505470_5161.png
sixteen03--uniform-noise-multiple,1,19,NaN,keyboard,keyboard,0.00,0019_nsp_dnn_0.00_keyboard_10_n04505470_1393.png
sixteen03--uniform-noise-multiple,1,20,NaN,keyboard,keyboard,0.00,0020_nsp_dnn_0.00_keyboard_10_n04505470_4535.png
sixteen03--uniform-noise-multiple,1,21,NaN,elephant,elephant,0.00,0021_nsp_dnn_0.00_elephant_10_n02504013_579.png
sixteen03--uniform-noise-multiple,1,22,NaN,elephant,elephant,0.00,0022_nsp_dnn_0.00_elephant_10_n02504013_23660.png
