subj,session,trial,rt,object_response,category,condition,imagename
sixteen07--grayscale-contrast-multiple,4,1,NaN,knife,knife,0.00,3841_nsp_dnn_0.00_knife_10_n03041632_46185.png
sixteen07--grayscale-contrast-multiple,4,2,NaN,knife,knife,0.00,3842_nsp_dnn_0.00_knife_10_n03041632_87380.png
sixteen07--grayscale-contrast-multiple,4,3,NaN,knife,knife,0.00,3843_nsp_dnn_0.00_knife_10_n03041632_11613.png
sixteen07--grayscale-contrast-multiple,4,4,NaN,knife,knife,0.00,3844_nsp_dnn_0.00_knife_10_n03041632_43634.png
sixteen07--grayscale-contrast-multiple,4,5,NaN,knife,knife,0.00,3845_nsp_dnn_0.00_knife_10_n03041632_29276.png
sixteen07--grayscale-contrast-multiple,4,6,NaN,knife,knife,0.00,3846_nsp_dnn_0.00_knife_10_n03041632_2438.png
sixteen07--grayscale-contrast-multiple,4,7,NaN,knife,knife,0.00,3847_nsp_dnn_0.00_knife_10_n03041632_20770.png
sixteen07--grayscale-contrast-multiple,4,8,NaN,knife,knife,0.00,3848_nsp_dnn_0.00_knife_10_n03041632_31301.png
sixteen07--grayscale-contrast-multiple,4,9,NaN,knife,knife,0.00,3849_nsp_dnn_0.00_knife_10_n03041632_16606.png
sixteen07--grayscale-contrast-multiple,4,10,NaN,knife,knife,0.00,3850_nsp_dnn_0.00_knife_10_n03041632_14224.png
sixteen07--grayscale-contrast-multiple,4,11,NaN,keyboard,keyboard,0.00,3851_nsp_dnn_0.00_keyboard_10_n04505470_6421.png
sixteen07--grayscale-contrast-multiple,4,12,NaN,keyboard,keyboard,0.00,3852_nsp_dnn_0.00_keyboard_10_n04505470_9476.png
sixteen07--grayscale-contrast-multiple,4,13,NaN,keyboard,keyboard,0.00,3853_nsp_dnn_0.00_keyboard_10_n04505470_2055.png
sixteen07--grayscale-contrast-multiple,4,14,NaN,keyboard,keyboard,0.00,3854_nsp_dnn_0.00_keyboard_10_n03085013_19687.png
sixteen07--grayscale-contrast-multiple,4,15,NaN,keyboard,keyboard,0.00,3855_nsp_dnn_0.00_keyboard_10_n04505470_4974.png
sixteen07--grayscale-contrast-multiple,4,16,NaN,keyboard,keyboard,0.00,3856_nsp_dnn_0.00_keyboard_10_n03085013_22928.png
sixteen07--grayscale-contrast-multiple,4,17,NaN,keyboard,keyboard,0.00,3857_nsp_dnn_0.00_keyboard_10_n03085013_23115.png
sixteen07--grayscale-contrast-multiple,4,18,NaN,keyboard,keyboard,0.00,3858_nsp_dnn_0.00_keyboard_10_n03085013_7892.png
sixteen07--grayscale-contrast-multiple,4,19,NaN,keyboard,keyboard,0.00,3859_nsp_dnn_0.00_keyboard_10_n04505470_206.png
sixteen07--grayscale-contrast-multiple,4,20,NaN,keyboard,keyboard,0.00,3860_nsp_dnn_0.00_keyboard_10_n04505470_1040.png
sixteen07--grayscale-contrast-multiple,4,21,NaN,elephant,elephant,0.00,3861_nsp_dnn_0.00_elephant_10_n02504013_4229.png
sixteen07--grayscale-contrast-multiple,4,22,NaN,elephant,elephant,0.00,3862_nsp_dnn_0.00_elephant_10_n02504458_6412.png
