subj,session,trial,rt,object_response,category,condition,imagename
sixteen08--low-pass-multiple,7,1,NaN,chair,knife,0.00,7681_nsp_dnn_0.00_knife_10_n03041632_24541.png
sixteen08--low-pass-multiple,7,2,NaN,knife,knife,0.00,7682_nsp_dnn_0.00_knife_10_n03041632_44269.png
sixteen08--low-pass-multiple,7,3,NaN,airplane,knife,0.00,7683_nsp_dnn_0.00_knife_10_n03041632_31849.png
sixteen08--low-pass-multiple,7,4,NaN,bottle,knife,0.00,7684_nsp_dnn_0.00_knife_10_n03041632_16932.png
sixteen08--low-pass-multiple,7,5,NaN,knife,knife,0.00,7685_nsp_dnn_0.00_knife_10_n03041632_11969.png
sixteen08--low-pass-multiple,7,6,NaN,chair,knife,0.00,7686_nsp_dnn_0.00_knife_10_n03041632_3516.png
sixteen08--low-pass-multiple,7,7,NaN,knife,knife,0.00,7687_nsp_dnn_0.00_knife_10_n03041632_48675.png
sixteen08--low-pass-multiple,7,8,NaN,bottle,knife,0.00,7688_nsp_dnn_0.00_knife_10_n03041632_33488.png
sixteen08--low-pass-multiple,7,9,NaN,chair,knife,0.00,7689_nsp_dnn_0.00_knife_10_n03041632_14442.png
sixteen08--low-pass-multiple,7,10,NaN,knife,knife,0.00,7690_nsp_dnn_0.00_knife_10_n03041632_21034.png
sixteen08--low-pass-multiple,7,11,NaN,car,keyboard,0.00,7691_nsp_dnn_0.00_keyboard_10_n03085013_20379.png
sixteen08--low-pass-multiple,7,12,NaN,keyboard,keyboard,0.00,7692_nsp_dnn_0.00_keyboard_10_n03085013_1812.png
sixteen08--low-pass-multiple,7,13,NaN,keyboard,keyboard,0.00,7693_nsp_dnn_0.00_keyboard_10_n04505470_4540.png
sixteen08--low-pass-multiple,7,14,NaN,keyboard,keyboard,0.00,7694_nsp_dnn_0.00_keyboard_10_n04505470_5062.png
sixteen08--low-pass-multiple,7,15,NaN,keyboard,keyboard,0.00,7695_nsp_dnn_0.00_keyboard_10_n04505470_2599.png
sixteen08--low-pass-multiple,7,16,NaN,keyboard,keyboard,0.00,7696_nsp_dnn_0.00_keyboard_10_n04505470_470.png
sixteen08--low-pass-multiple,7,17,NaN,bottle,keyboard,0.00,7697_nsp_dnn_0.00_keyboard_10_n04505470_2250.png
sixteen08--low-pass-multiple,7,18,NaN,keyboard,keyboard,0.00,7698_nsp_dnn_0.00_keyboard_10_n04505470_9156.png
sixteen08--low-pass-multiple,7,19,NaN,keyboard,keyboard,0.00,7699_nsp_dnn_0.00_keyboard_10_n03085013_22013.png
sixteen08--low-pass-multiple,7,20,NaN,chair,keyboard,0.00,7700_nsp_dnn_0.00_keyboard_10_n04505470_2623.png
sixteen08--low-pass-multiple,7,21,NaN,boat,elephant,0.00,7701_nsp_dnn_0.00_elephant_10_n02504458_6830.png
sixteen08--low-pass-multiple,7,22,NaN,elephant,elephant,0.00,7702_nsp_dnn_0.00_elephant_10_n02504013_3809.png
sixteen08--low-pass-multiple,7,23,NaN,chair,elephant,0.00,7703_nsp_dnn_0.00_elephant_10_n02504458_7827.png
sixteen08--low-pass-multiple,7,24,NaN,elephant,elephant,0.00,7704_nsp_dnn_0.00_elephant_10_n02504458_3616.png
sixteen08--low-pass-multiple,7,25,NaN,bear,elephant,0.00,7705_nsp_dnn_0.00_elephant_10_n02504458_1056.png
sixteen08--low-pass-multiple,7,26,NaN,elephant,elephant,0.00,7706_nsp_dnn_0.00_elephant_10_n02504458_4579.png
sixteen08--low-pass-multiple,7,27,NaN,elephant,elephant,0.00,7707_nsp_dnn_0.00_elephant_10_n02504458_4841.png
sixteen08--low-pass-multiple,7,28,NaN,elephant,elephant,0.00,7708_nsp_dnn_0.00_elephant_10_n02504458_6799.png
sixteen08--low-pass-multiple,7,29,NaN,bottle,elephant,0.00,7709_nsp_dnn_0.00_elephant_10_n02504013_2369.png
sixteen08--low-pass-multiple,7,30,NaN,truck,elephant,0.00,7710_nsp_dnn_0.00_elephant_10_n02504458_4325.png
sixteen08--low-pass-multiple,7,31,NaN,boat,bicycle,0.00,7711_nsp_dnn_0.00_bicycle_10_n03792782_19774.png
sixteen08--low-pass-multiple,7,32,NaN,bicycle,bicycle,0.00,7712_nsp_dnn_0.00_bicycle_10_n03792782_7426.png
sixteen08--low-pass-multiple,7,33,NaN,bottle,bicycle,0.00,7713_nsp_dnn_0.00_bicycle_10_n02835271_8672.png
sixteen08--low-pass-multiple,7,34,NaN,chair,bicycle,0.00,7714_nsp_dnn_0.00_bicycle_10_n02835271_3565.png
sixteen08--low-pass-multiple,7,35,NaN,bicycle,bicycle,0.00,7715_nsp_dnn_0.00_bicycle_10_n02835271_7256.png
sixteen08--low-pass-multiple,7,36,NaN,bear,bicycle,0.00,7716_nsp_dnn_0.00_bicycle_10_n03792782_14258.png
sixteen08--low-pass-multiple,7,37,NaN,bicycle,bicycle,0.00,7717_nsp_dnn_0.00_bicycle_10_n03792782_42780.png
sixteen08--low-pass-multiple,7,38,NaN,chair,bicycle,0.00,7718_nsp_dnn_0.00_bicycle_10_n02835271_10556.png
sixteen08--low-pass-multiple,7,39,NaN,bicycle,bicycle,0.00,7719_nsp_dnn_0.00_bicycle_10_n02835271_1530.png
sixteen08--low-pass-multiple,7,40,NaN,bicycle,bicycle,0.00,7720_nsp_dnn_0.00_bicycle_10_n02835271_4961.png
sixteen08--low-pass-multiple,7,41,NaN,airplane,airplane,0.00,7721_nsp_dnn_0.00_airplane_10_n02690373_4175.png
sixteen08--low-pass-multiple,7,42,NaN,bear,airplane,0.00,7722_nsp_dnn_0.00_airplane_10_n02690373_807.png
sixteen08--low-pass-multiple,7,43,NaN,airplane,airplane,0.00,7723_nsp_dnn_0.00_airplane_10_n02690373_1296.png
sixteen08--low-pass-multiple,7,44,NaN,airplane,airplane,0.00,7724_nsp_dnn_0.00_airplane_10_n02690373_7210.png
sixteen08--low-pass-multiple,7,45,NaN,airplane,airplane,0.00,7725_nsp_dnn_0.00_airplane_10_n02690373_3272.png
sixteen08--low-pass-multiple,7,46,NaN,airplane,airplane,0.00,7726_nsp_dnn_0.00_airplane_10_n02690373_20326.png
sixteen08--low-pass-multiple,7,47,NaN,airplane,airplane,0.00,7727_nsp_dnn_0.00_airplane_10_n02690373_798.png
sixteen08--low-pass-multiple,7,48,NaN,airplane,airplane,0.00,7728_nsp_dnn_0.00_airplane_10_n02690373_16986.png
sixteen08--low-pass-multiple,7,49,NaN,airplane,airplane,0.00,7729_nsp_dnn_0.00_airplane_10_n02690373_5565.png
sixteen08--low-pass-multiple,7,50,NaN,airplane,airplane,0.00,7730_nsp_dnn_0.00_airplane_10_n02690373_4335.png
sixteen08--low-pass-multiple,7,51,NaN,bird,clock,0.00,7731_nsp_dnn_0.00_clock_10_n04548280_1305.png
sixteen08--low-pass-multiple,7,52,NaN,bottle,clock,0.00,7732_nsp_dnn_0.00_clock_10_n04548280_8266.png
sixteen08--low-pass-multiple,7,53,NaN,clock,clock,0.00,7733_nsp_dnn_0.00_clock_10_n04548280_7539.png
sixteen08--low-pass-multiple,7,54,NaN,clock,clock,0.00,7734_nsp_dnn_0.00_clock_10_n03196217_1510.png
sixteen08--low-pass-multiple,7,55,NaN,clock,clock,0.00,7735_nsp_dnn_0.00_clock_10_n04548280_1036.png
sixteen08--low-pass-multiple,7,56,NaN,clock,clock,0.00,7736_nsp_dnn_0.00_clock_10_n04548280_7808.png
sixteen08--low-pass-multiple,7,57,NaN,clock,clock,0.00,7737_nsp_dnn_0.00_clock_10_n04548280_7303.png
sixteen08--low-pass-multiple,7,58,NaN,clock,clock,0.00,7738_nsp_dnn_0.00_clock_10_n02708093_864.png
sixteen08--low-pass-multiple,7,59,NaN,clock,clock,0.00,7739_nsp_dnn_0.00_clock_10_n02708093_6430.png
sixteen08--low-pass-multiple,7,60,NaN,clock,clock,0.00,7740_nsp_dnn_0.00_clock_10_n04548280_7839.png
sixteen08--low-pass-multiple,7,61,NaN,bottle,oven,0.00,7741_nsp_dnn_0.00_oven_10_n04111531_8305.png
sixteen08--low-pass-multiple,7,62,NaN,oven,oven,0.00,7742_nsp_dnn_0.00_oven_10_n04111531_13560.png
sixteen08--low-pass-multiple,7,63,NaN,oven,oven,0.00,7743_nsp_dnn_0.00_oven_10_n04111531_9688.png
sixteen08--low-pass-multiple,7,64,NaN,bottle,oven,0.00,7744_nsp_dnn_0.00_oven_10_n04111531_4421.png
sixteen08--low-pass-multiple,7,65,NaN,knife,oven,0.00,7745_nsp_dnn_0.00_oven_10_n04111531_4148.png
sixteen08--low-pass-multiple,7,66,NaN,airplane,oven,0.00,7746_nsp_dnn_0.00_oven_10_n04111531_467.png
sixteen08--low-pass-multiple,7,67,NaN,bottle,oven,0.00,7747_nsp_dnn_0.00_oven_10_n04111531_9881.png
sixteen08--low-pass-multiple,7,68,NaN,bottle,oven,0.00,7748_nsp_dnn_0.00_oven_10_n04111531_1723.png
sixteen08--low-pass-multiple,7,69,NaN,oven,oven,0.00,7749_nsp_dnn_0.00_oven_10_n04111531_1165.png
