subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,3,1,NaN,chair,knife,0.00,2561_nsp_dnn_0.00_knife_10_n03041632_36215.png
sixteen09--rotation-multiple,3,2,NaN,chair,knife,0.00,2562_nsp_dnn_0.00_knife_10_n03041632_27022.png
sixteen09--rotation-multiple,3,3,NaN,knife,knife,0.00,2563_nsp_dnn_0.00_knife_10_n03041632_44738.png
sixteen09--rotation-multiple,3,4,NaN,knife,knife,0.00,2564_nsp_dnn_0.00_knife_10_n03041632_32785.png
sixteen09--rotation-multiple,3,5,NaN,knife,knife,0.00,2565_nsp_dnn_0.00_knife_10_n03041632_965.png
sixteen09--rotation-multiple,3,6,NaN,bottle,knife,0.00,2566_nsp_dnn_0.00_knife_10_n03041632_96345.png
sixteen09--rotation-multiple,3,7,NaN,knife,knife,0.00,2567_nsp_dnn_0.00_knife_10_n03041632_4714.png
sixteen09--rotation-multiple,3,8,NaN,knife,knife,0.00,2568_nsp_dnn_0.00_knife_10_n03041632_19866.png
sixteen09--rotation-multiple,3,9,NaN,knife,knife,0.00,2569_nsp_dnn_0.00_knife_10_n03041632_27832.png
sixteen09--rotation-multiple,3,10,NaN,chair,knife,0.00,2570_nsp_dnn_0.00_knife_10_n03041632_3926.png
sixteen09--rotation-multiple,3,11,NaN,keyboard,keyboard,0.00,2571_nsp_dnn_0.00_keyboard_10_n03085013_20302.png
sixteen09--rotation-multiple,3,12,NaN,keyboard,keyboard,0.00,2572_nsp_dnn_0.00_keyboard_10_n03085013_7152.png
sixteen09--rotation-multiple,3,13,NaN,chair,keyboard,0.00,2573_nsp_dnn_0.00_keyboard_10_n03085013_3980.png
sixteen09--rotation-multiple,3,14,NaN,keyboard,keyboard,0.00,2574_nsp_dnn_0.00_keyboard_10_n04505470_1342.png
sixteen09--rotation-multiple,3,15,NaN,keyboard,keyboard,0.00,2575_nsp_dnn_0.00_keyboard_10_n04505470_4440.png
sixteen09--rotation-multiple,3,16,NaN,keyboard,keyboard,0.00,2576_nsp_dnn_0.00_keyboard_10_n04505470_1648.png
sixteen09--rotation-multiple,3,17,NaN,keyboard,keyboard,0.00,2577_nsp_dnn_0.00_keyboard_10_n03085013_5738.png
sixteen09--rotation-multiple,3,18,NaN,keyboard,keyboard,0.00,2578_nsp_dnn_0.00_keyboard_10_n04505470_4966.png
sixteen09--rotation-multiple,3,19,NaN,cat,keyboard,0.00,2579_nsp_dnn_0.00_keyboard_10_n03085013_24316.png
sixteen09--rotation-multiple,3,20,NaN,keyboard,keyboard,0.00,2580_nsp_dnn_0.00_keyboard_10_n03085013_7879.png
