subj,session,trial,rt,object_response,category,condition,imagename
sixteen11--high-pass-multiple,5,1,NaN,chair,knife,0.00,5121_nsp_dnn_0.00_knife_10_n03041632_14546.png
sixteen11--high-pass-multiple,5,2,NaN,knife,knife,0.00,5122_nsp_dnn_0.00_knife_10_n03041632_51339.png
sixteen11--high-pass-multiple,5,3,NaN,knife,knife,0.00,5123_nsp_dnn_0.00_knife_10_n03041632_13225.png
sixteen11--high-pass-multiple,5,4,NaN,knife,knife,0.00,5124_nsp_dnn_0.00_knife_10_n03041632_31271.png
sixteen11--high-pass-multiple,5,5,NaN,knife,knife,0.00,5125_nsp_dnn_0.00_knife_10_n03041632_30196.png
sixteen11--high-pass-multiple,5,6,NaN,bird,knife,0.00,5126_nsp_dnn_0.00_knife_10_n03041632_10999.png
sixteen11--high-pass-multiple,5,7,NaN,knife,knife,0.00,5127_nsp_dnn_0.00_knife_10_n03041632_20595.png
sixteen11--high-pass-multiple,5,8,NaN,knife,knife,0.00,5128_nsp_dnn_0.00_knife_10_n03041632_8321.png
sixteen11--high-pass-multiple,5,9,NaN,knife,knife,0.00,5129_nsp_dnn_0.00_knife_10_n03041632_36247.png
sixteen11--high-pass-multiple,5,10,NaN,knife,knife,0.00,5130_nsp_dnn_0.00_knife_10_n03041632_28443.png
sixteen11--high-pass-multiple,5,11,NaN,keyboard,keyboard,0.00,5131_nsp_dnn_0.00_keyboard_10_n03085013_22417.png
sixteen11--high-pass-multiple,5,12,NaN,keyboard,keyboard,0.00,5132_nsp_dnn_0.00_keyboard_10_n03085013_23571.png
sixteen11--high-pass-multiple,5,13,NaN,keyboard,keyboard,0.00,5133_nsp_dnn_0.00_keyboard_10_n03085013_22870.png
sixteen11--high-pass-multiple,5,14,NaN,keyboard,keyboard,0.00,5134_nsp_dnn_0.00_keyboard_10_n04505470_4417.png
sixteen11--high-pass-multiple,5,15,NaN,keyboard,keyboard,0.00,5135_nsp_dnn_0.00_keyboard_10_n04505470_4732.png
sixteen11--high-pass-multiple,5,16,NaN,keyboard,keyboard,0.00,5136_nsp_dnn_0.00_keyboard_10_n03085013_18854.png
sixteen11--high-pass-multiple,5,17,NaN,keyboard,keyboard,0.00,5137_nsp_dnn_0.00_keyboard_10_n03085013_23705.png
sixteen11--high-pass-multiple,5,18,NaN,keyboard,keyboard,0.00,5138_nsp_dnn_0.00_keyboard_10_n04505470_10055.png
sixteen11--high-pass-multiple,5,19,NaN,keyboard,keyboard,0.00,5139_nsp_dnn_0.00_keyboard_10_n04505470_2038.png
sixteen11--high-pass-multiple,5,20,NaN,keyboard,keyboard,0.00,5140_nsp_dnn_0.00_keyboard_10_n03085013_22069.png
sixteen11--high-pass-multiple,5,21,NaN,elephant,elephant,0.00,5141_nsp_dnn_0.00_elephant_10_n02504013_5833.png
sixteen11--high-pass-multiple,5,22,NaN,elephant,elephant,0.00,5142_nsp_dnn_0.00_elephant_10_n02504013_3081.png
sixteen11--high-pass-multiple,5,23,NaN,elephant,elephant,0.00,5143_nsp_dnn_0.00_elephant_10_n02504013_8385.png
sixteen11--high-pass-multiple,5,24,NaN,elephant,elephant,0.00,5144_nsp_dnn_0.00_elephant_10_n02504458_736.png
sixteen11--high-pass-multiple,5,25,NaN,elephant,elephant,0.00,5145_nsp_dnn_0.00_elephant_10_n02504013_4424.png
sixteen11--high-pass-multiple,5,26,NaN,elephant,elephant,0.00,5146_nsp_dnn_0.00_elephant_10_n02504458_847.png
sixteen11--high-pass-multiple,5,27,NaN,elephant,elephant,0.00,5147_nsp_dnn_0.00_elephant_10_n02504013_23912.png
sixteen11--high-pass-multiple,5,28,NaN,elephant,elephant,0.00,5148_nsp_dnn_0.00_elephant_10_n02504458_2471.png
sixteen11--high-pass-multiple,5,29,NaN,elephant,elephant,0.00,5149_nsp_dnn_0.00_elephant_10_n02504458_11345.png
sixteen11--high-pass-multiple,5,30,NaN,elephant,elephant,0.00,5150_nsp_dnn_0.00_elephant_10_n02504458_5869.png
sixteen11--high-pass-multiple,5,31,NaN,bicycle,bicycle,0.00,5151_nsp_dnn_0.00_bicycle_10_n02835271_9661.png
sixteen11--high-pass-multiple,5,32,NaN,truck,bicycle,0.00,5152_nsp_dnn_0.00_bicycle_10_n03792782_7477.png
sixteen11--high-pass-multiple,5,33,NaN,bicycle,bicycle,0.00,5153_nsp_dnn_0.00_bicycle_10_n03792782_34681.png
sixteen11--high-pass-multiple,5,34,NaN,bicycle,bicycle,0.00,5154_nsp_dnn_0.00_bicycle_10_n03792782_4207.png
sixteen11--high-pass-multiple,5,35,NaN,bicycle,bicycle,0.00,5155_nsp_dnn_0.00_bicycle_10_n03792782_10179.png
sixteen11--high-pass-multiple,5,36,NaN,bicycle,bicycle,0.00,5156_nsp_dnn_0.00_bicycle_10_n03792782_7578.png
sixteen11--high-pass-multiple,5,37,NaN,truck,bicycle,0.00,5157_nsp_dnn_0.00_bicycle_10_n02835271_1221.png
sixteen11--high-pass-multiple,5,38,NaN,bicycle,bicycle,0.00,5158_nsp_dnn_0.00_bicycle_10_n03792782_10437.png
sixteen11--high-pass-multiple,5,39,NaN,bicycle,bicycle,0.00,5159_nsp_dnn_0.00_bicycle_10_n02835271_1486.png
sixteen11--high-pass-multiple,5,40,NaN,bicycle,bicycle,0.00,5160_nsp_dnn_0.00_bicycle_10_n02835271_1345.png
sixteen11--high-pass-multiple,5,41,NaN,airplane,airplane,0.00,5161_nsp_dnn_0.00_airplane_10_n02690373_7036.png
sixteen11--high-pass-multiple,5,42,NaN,airplane,airplane,0.00,5162_nsp_dnn_0.00_airplane_10_n02690373_15097.png
sixteen11--high-pass-multiple,5,43,NaN,airplane,airplane,0.00,5163_nsp_dnn_0.00_airplane_10_n02690373_9165.png
sixteen11--high-pass-multiple,5,44,NaN,airplane,airplane,0.00,5164_nsp_dnn_0.00_airplane_10_n02690373_7499.png
sixteen11--high-pass-multiple,5,45,NaN,airplane,airplane,0.00,5165_nsp_dnn_0.00_airplane_10_n02690373_9605.png
sixteen11--high-pass-multiple,5,46,NaN,airplane,airplane,0.00,5166_nsp_dnn_0.00_airplane_10_n02690373_2217.png
sixteen11--high-pass-multiple,5,47,NaN,airplane,airplane,0.00,5167_nsp_dnn_0.00_airplane_10_n02690373_980.png
sixteen11--high-pass-multiple,5,48,NaN,airplane,airplane,0.00,5168_nsp_dnn_0.00_airplane_10_n02690373_3065.png
sixteen11--high-pass-multiple,5,49,NaN,airplane,airplane,0.00,5169_nsp_dnn_0.00_airplane_10_n02690373_9309.png
sixteen11--high-pass-multiple,5,50,NaN,airplane,airplane,0.00,5170_nsp_dnn_0.00_airplane_10_n02690373_5277.png
sixteen11--high-pass-multiple,5,51,NaN,clock,clock,0.00,5171_nsp_dnn_0.00_clock_10_n02708093_2283.png
sixteen11--high-pass-multiple,5,52,NaN,clock,clock,0.00,5172_nsp_dnn_0.00_clock_10_n04548280_2650.png
sixteen11--high-pass-multiple,5,53,NaN,clock,clock,0.00,5173_nsp_dnn_0.00_clock_10_n02708093_3496.png
sixteen11--high-pass-multiple,5,54,NaN,chair,clock,0.00,5174_nsp_dnn_0.00_clock_10_n04548280_5295.png
sixteen11--high-pass-multiple,5,55,NaN,clock,clock,0.00,5175_nsp_dnn_0.00_clock_10_n04548280_5120.png
sixteen11--high-pass-multiple,5,56,NaN,clock,clock,0.00,5176_nsp_dnn_0.00_clock_10_n04548280_8748.png
sixteen11--high-pass-multiple,5,57,NaN,clock,clock,0.00,5177_nsp_dnn_0.00_clock_10_n04548280_5327.png
sixteen11--high-pass-multiple,5,58,NaN,clock,clock,0.00,5178_nsp_dnn_0.00_clock_10_n04548280_119.png
sixteen11--high-pass-multiple,5,59,NaN,clock,clock,0.00,5179_nsp_dnn_0.00_clock_10_n04548280_1474.png
sixteen11--high-pass-multiple,5,60,NaN,clock,clock,0.00,5180_nsp_dnn_0.00_clock_10_n03196217_9065.png
sixteen11--high-pass-multiple,5,61,NaN,oven,oven,0.00,5181_nsp_dnn_0.00_oven_10_n04111531_15296.png
sixteen11--high-pass-multiple,5,62,NaN,oven,oven,0.00,5182_nsp_dnn_0.00_oven_10_n04111531_6485.png
sixteen11--high-pass-multiple,5,63,NaN,oven,oven,0.00,5183_nsp_dnn_0.00_oven_10_n04111531_5950.png
sixteen11--high-pass-multiple,5,64,NaN,oven,oven,0.00,5184_nsp_dnn_0.00_oven_10_n04111531_2662.png
sixteen11--high-pass-multiple,5,65,NaN,oven,oven,0.00,5185_nsp_dnn_0.00_oven_10_n04111531_17045.png
sixteen11--high-pass-multiple,5,66,NaN,oven,oven,0.00,5186_nsp_dnn_0.00_oven_10_n04111531_11993.png
sixteen11--high-pass-multiple,5,67,NaN,oven,oven,0.00,5187_nsp_dnn_0.00_oven_10_n04111531_6801.png
sixteen11--high-pass-multiple,5,68,NaN,oven,oven,0.00,5188_nsp_dnn_0.00_oven_10_n04111531_6933.png
sixteen11--high-pass-multiple,5,69,NaN,oven,oven,0.00,5189_nsp_dnn_0.00_oven_10_n04111531_22445.png
sixteen11--high-pass-multiple,5,70,NaN,oven,oven,0.00,5190_nsp_dnn_0.00_oven_10_n04111531_10102.png
sixteen11--high-pass-multiple,5,71,NaN,chair,chair,0.00,5191_nsp_dnn_0.00_chair_10_n03376595_17859.png
sixteen11--high-pass-multiple,5,72,NaN,chair,chair,0.00,5192_nsp_dnn_0.00_chair_10_n04099969_8946.png
sixteen11--high-pass-multiple,5,73,NaN,chair,chair,0.00,5193_nsp_dnn_0.00_chair_10_n02791124_7630.png
sixteen11--high-pass-multiple,5,74,NaN,chair,chair,0.00,5194_nsp_dnn_0.00_chair_10_n02791124_958.png
sixteen11--high-pass-multiple,5,75,NaN,chair,chair,0.00,5195_nsp_dnn_0.00_chair_10_n02791124_9595.png
sixteen11--high-pass-multiple,5,76,NaN,chair,chair,0.00,5196_nsp_dnn_0.00_chair_10_n03376595_6837.png
sixteen11--high-pass-multiple,5,77,NaN,chair,chair,0.00,5197_nsp_dnn_0.00_chair_10_n02791124_10784.png
sixteen11--high-pass-multiple,5,78,NaN,chair,chair,0.00,5198_nsp_dnn_0.00_chair_10_n02791124_8335.png
sixteen11--high-pass-multiple,5,79,NaN,chair,chair,0.00,5199_nsp_dnn_0.00_chair_10_n04429376_3940.png
sixteen11--high-pass-multiple,5,80,NaN,chair,chair,0.00,5200_nsp_dnn_0.00_chair_10_n04429376_31962.png
sixteen11--high-pass-multiple,5,81,NaN,bear,bear,0.00,5201_nsp_dnn_0.00_bear_10_n02132136_4771.png
sixteen11--high-pass-multiple,5,82,NaN,bear,bear,0.00,5202_nsp_dnn_0.00_bear_10_n02134084_5027.png
sixteen11--high-pass-multiple,5,83,NaN,bear,bear,0.00,5203_nsp_dnn_0.00_bear_10_n02133161_499.png
sixteen11--high-pass-multiple,5,84,NaN,dog,bear,0.00,5204_nsp_dnn_0.00_bear_10_n02133161_12745.png
sixteen11--high-pass-multiple,5,85,NaN,bear,bear,0.00,5205_nsp_dnn_0.00_bear_10_n02132136_5429.png
sixteen11--high-pass-multiple,5,86,NaN,bear,bear,0.00,5206_nsp_dnn_0.00_bear_10_n02134418_1566.png
sixteen11--high-pass-multiple,5,87,NaN,bear,bear,0.00,5207_nsp_dnn_0.00_bear_10_n02133161_19677.png
sixteen11--high-pass-multiple,5,88,NaN,bear,bear,0.00,5208_nsp_dnn_0.00_bear_10_n02133161_12349.png
sixteen11--high-pass-multiple,5,89,NaN,bear,bear,0.00,5209_nsp_dnn_0.00_bear_10_n02134418_4180.png
sixteen11--high-pass-multiple,5,90,NaN,bear,bear,0.00,5210_nsp_dnn_0.00_bear_10_n02134084_13162.png
sixteen11--high-pass-multiple,5,91,NaN,boat,boat,0.00,5211_nsp_dnn_0.00_boat_10_n03662601_24452.png
sixteen11--high-pass-multiple,5,92,NaN,boat,boat,0.00,5212_nsp_dnn_0.00_boat_10_n04273569_14012.png
sixteen11--high-pass-multiple,5,93,NaN,boat,boat,0.00,5213_nsp_dnn_0.00_boat_10_n04273569_1482.png
sixteen11--high-pass-multiple,5,94,NaN,boat,boat,0.00,5214_nsp_dnn_0.00_boat_10_n03662601_17630.png
sixteen11--high-pass-multiple,5,95,NaN,boat,boat,0.00,5215_nsp_dnn_0.00_boat_10_n04612504_10128.png
sixteen11--high-pass-multiple,5,96,NaN,boat,boat,0.00,5216_nsp_dnn_0.00_boat_10_n03344393_4783.png
sixteen11--high-pass-multiple,5,97,NaN,boat,boat,0.00,5217_nsp_dnn_0.00_boat_10_n03344393_6449.png
sixteen11--high-pass-multiple,5,98,NaN,boat,boat,0.00,5218_nsp_dnn_0.00_boat_10_n03662601_22553.png
sixteen11--high-pass-multiple,5,99,NaN,boat,boat,0.00,5219_nsp_dnn_0.00_boat_10_n03344393_10245.png
sixteen11--high-pass-multiple,5,100,NaN,boat,boat,0.00,5220_nsp_dnn_0.00_boat_10_n03662601_16297.png
sixteen11--high-pass-multiple,5,101,NaN,cat,cat,0.00,5221_nsp_dnn_0.00_cat_10_n02123394_2076.png
sixteen11--high-pass-multiple,5,102,NaN,cat,cat,0.00,5222_nsp_dnn_0.00_cat_10_n02125311_4805.png
sixteen11--high-pass-multiple,5,103,NaN,bear,cat,0.00,5223_nsp_dnn_0.00_cat_10_n02123045_5049.png
sixteen11--high-pass-multiple,5,104,NaN,dog,cat,0.00,5224_nsp_dnn_0.00_cat_10_n02123597_2393.png
sixteen11--high-pass-multiple,5,105,NaN,dog,cat,0.00,5225_nsp_dnn_0.00_cat_10_n02123597_11650.png
sixteen11--high-pass-multiple,5,106,NaN,cat,cat,0.00,5226_nsp_dnn_0.00_cat_10_n02124075_7230.png
sixteen11--high-pass-multiple,5,107,NaN,bear,cat,0.00,5227_nsp_dnn_0.00_cat_10_n02125311_30685.png
sixteen11--high-pass-multiple,5,108,NaN,cat,cat,0.00,5228_nsp_dnn_0.00_cat_10_n02123159_3880.png
sixteen11--high-pass-multiple,5,109,NaN,cat,cat,0.00,5229_nsp_dnn_0.00_cat_10_n02123597_28555.png
sixteen11--high-pass-multiple,5,110,NaN,cat,cat,0.00,5230_nsp_dnn_0.00_cat_10_n02125311_34464.png
sixteen11--high-pass-multiple,5,111,NaN,bottle,bottle,0.00,5231_nsp_dnn_0.00_bottle_10_n04557648_4428.png
sixteen11--high-pass-multiple,5,112,NaN,bottle,bottle,0.00,5232_nsp_dnn_0.00_bottle_10_n04557648_590.png
sixteen11--high-pass-multiple,5,113,NaN,bottle,bottle,0.00,5233_nsp_dnn_0.00_bottle_10_n04591713_6794.png
sixteen11--high-pass-multiple,5,114,NaN,bottle,bottle,0.00,5234_nsp_dnn_0.00_bottle_10_n04557648_3679.png
sixteen11--high-pass-multiple,5,115,NaN,bottle,bottle,0.00,5235_nsp_dnn_0.00_bottle_10_n02823428_5798.png
sixteen11--high-pass-multiple,5,116,NaN,chair,bottle,0.00,5236_nsp_dnn_0.00_bottle_10_n04560804_432.png
sixteen11--high-pass-multiple,5,117,NaN,bottle,bottle,0.00,5237_nsp_dnn_0.00_bottle_10_n04557648_2371.png
sixteen11--high-pass-multiple,5,118,NaN,bottle,bottle,0.00,5238_nsp_dnn_0.00_bottle_10_n02823428_2311.png
sixteen11--high-pass-multiple,5,119,NaN,bottle,bottle,0.00,5239_nsp_dnn_0.00_bottle_10_n03937543_5328.png
sixteen11--high-pass-multiple,5,120,NaN,bottle,bottle,0.00,5240_nsp_dnn_0.00_bottle_10_n04557648_20773.png
sixteen11--high-pass-multiple,5,121,NaN,truck,truck,0.00,5241_nsp_dnn_0.00_truck_10_n03417042_9601.png
sixteen11--high-pass-multiple,5,122,NaN,truck,truck,0.00,5242_nsp_dnn_0.00_truck_10_n04467665_79452.png
sixteen11--high-pass-multiple,5,123,NaN,truck,truck,0.00,5243_nsp_dnn_0.00_truck_10_n03417042_8654.png
sixteen11--high-pass-multiple,5,124,NaN,truck,truck,0.00,5244_nsp_dnn_0.00_truck_10_n03796401_28465.png
sixteen11--high-pass-multiple,5,125,NaN,truck,truck,0.00,5245_nsp_dnn_0.00_truck_10_n04467665_27873.png
sixteen11--high-pass-multiple,5,126,NaN,truck,truck,0.00,5246_nsp_dnn_0.00_truck_10_n03417042_1631.png
sixteen11--high-pass-multiple,5,127,NaN,boat,truck,0.00,5247_nsp_dnn_0.00_truck_10_n04467665_45983.png
sixteen11--high-pass-multiple,5,128,NaN,truck,truck,0.00,5248_nsp_dnn_0.00_truck_10_n03796401_26284.png
sixteen11--high-pass-multiple,5,129,NaN,truck,truck,0.00,5249_nsp_dnn_0.00_truck_10_n03796401_5963.png
sixteen11--high-pass-multiple,5,130,NaN,truck,truck,0.00,5250_nsp_dnn_0.00_truck_10_n03417042_12297.png
sixteen11--high-pass-multiple,5,131,NaN,car,car,0.00,5251_nsp_dnn_0.00_car_10_n04285008_514.png
sixteen11--high-pass-multiple,5,132,NaN,car,car,0.00,5252_nsp_dnn_0.00_car_10_n03100240_266.png
sixteen11--high-pass-multiple,5,133,NaN,car,car,0.00,5253_nsp_dnn_0.00_car_10_n03100240_8938.png
sixteen11--high-pass-multiple,5,134,NaN,car,car,0.00,5254_nsp_dnn_0.00_car_10_n04285008_14681.png
sixteen11--high-pass-multiple,5,135,NaN,car,car,0.00,5255_nsp_dnn_0.00_car_10_n04285008_13958.png
sixteen11--high-pass-multiple,5,136,NaN,car,car,0.00,5256_nsp_dnn_0.00_car_10_n04285008_2537.png
sixteen11--high-pass-multiple,5,137,NaN,car,car,0.00,5257_nsp_dnn_0.00_car_10_n02814533_84606.png
sixteen11--high-pass-multiple,5,138,NaN,car,car,0.00,5258_nsp_dnn_0.00_car_10_n04285008_2906.png
sixteen11--high-pass-multiple,5,139,NaN,car,car,0.00,5259_nsp_dnn_0.00_car_10_n04285008_9234.png
sixteen11--high-pass-multiple,5,140,NaN,car,car,0.00,5260_nsp_dnn_0.00_car_10_n02814533_73506.png
sixteen11--high-pass-multiple,5,141,NaN,bird,bird,0.00,5261_nsp_dnn_0.00_bird_10_n02009912_629.png
sixteen11--high-pass-multiple,5,142,NaN,bird,bird,0.00,5262_nsp_dnn_0.00_bird_10_n02002556_735.png
