subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,1,NaN,knife,knife,0.00,1281_nsp_dnn_0.00_knife_10_n03041632_1884.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,2,NaN,knife,knife,0.00,1282_nsp_dnn_0.00_knife_10_n03041632_21859.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,3,NaN,knife,knife,0.00,1283_nsp_dnn_0.00_knife_10_n03041632_44230.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,4,NaN,knife,knife,0.00,1284_nsp_dnn_0.00_knife_10_n03041632_29862.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,5,NaN,knife,knife,0.00,1285_nsp_dnn_0.00_knife_10_n03041632_95293.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,6,NaN,knife,knife,0.00,1286_nsp_dnn_0.00_knife_10_n03041632_29125.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,7,NaN,knife,knife,0.00,1287_nsp_dnn_0.00_knife_10_n03041632_45312.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,8,NaN,knife,knife,0.00,1288_nsp_dnn_0.00_knife_10_n03041632_24060.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,9,NaN,knife,knife,0.00,1289_nsp_dnn_0.00_knife_10_n03041632_5102.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,10,NaN,knife,knife,0.00,1290_nsp_dnn_0.00_knife_10_n03041632_29858.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,11,NaN,keyboard,keyboard,0.00,1291_nsp_dnn_0.00_keyboard_10_n04505470_8148.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,12,NaN,keyboard,keyboard,0.00,1292_nsp_dnn_0.00_keyboard_10_n03085013_24649.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,13,NaN,keyboard,keyboard,0.00,1293_nsp_dnn_0.00_keyboard_10_n03085013_23658.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,14,NaN,keyboard,keyboard,0.00,1294_nsp_dnn_0.00_keyboard_10_n03085013_24633.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,15,NaN,keyboard,keyboard,0.00,1295_nsp_dnn_0.00_keyboard_10_n04505470_4878.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,16,NaN,keyboard,keyboard,0.00,1296_nsp_dnn_0.00_keyboard_10_n03085013_6432.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,17,NaN,keyboard,keyboard,0.00,1297_nsp_dnn_0.00_keyboard_10_n03085013_5714.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,18,NaN,keyboard,keyboard,0.00,1298_nsp_dnn_0.00_keyboard_10_n03085013_23286.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,19,NaN,keyboard,keyboard,0.00,1299_nsp_dnn_0.00_keyboard_10_n04505470_2488.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,20,NaN,keyboard,keyboard,0.00,1300_nsp_dnn_0.00_keyboard_10_n03085013_11332.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,21,NaN,elephant,elephant,0.00,1301_nsp_dnn_0.00_elephant_10_n02504013_3634.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,22,NaN,elephant,elephant,0.00,1302_nsp_dnn_0.00_elephant_10_n02504013_16929.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,23,NaN,elephant,elephant,0.00,1303_nsp_dnn_0.00_elephant_10_n02504458_825.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,24,NaN,elephant,elephant,0.00,1304_nsp_dnn_0.00_elephant_10_n02504458_6202.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,25,NaN,elephant,elephant,0.00,1305_nsp_dnn_0.00_elephant_10_n02504458_4165.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,26,NaN,elephant,elephant,0.00,1306_nsp_dnn_0.00_elephant_10_n02504013_3569.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,27,NaN,elephant,elephant,0.00,1307_nsp_dnn_0.00_elephant_10_n02504458_5384.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,28,NaN,elephant,elephant,0.00,1308_nsp_dnn_0.00_elephant_10_n02504458_5436.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,29,NaN,elephant,elephant,0.00,1309_nsp_dnn_0.00_elephant_10_n02504013_1576.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,30,NaN,elephant,elephant,0.00,1310_nsp_dnn_0.00_elephant_10_n02504458_6618.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,31,NaN,bicycle,bicycle,0.00,1311_nsp_dnn_0.00_bicycle_10_n03792782_1802.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,32,NaN,bicycle,bicycle,0.00,1312_nsp_dnn_0.00_bicycle_10_n02835271_1691.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,33,NaN,bicycle,bicycle,0.00,1313_nsp_dnn_0.00_bicycle_10_n02835271_695.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,34,NaN,bicycle,bicycle,0.00,1314_nsp_dnn_0.00_bicycle_10_n03792782_59381.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,35,NaN,bicycle,bicycle,0.00,1315_nsp_dnn_0.00_bicycle_10_n03792782_12844.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,36,NaN,bicycle,bicycle,0.00,1316_nsp_dnn_0.00_bicycle_10_n02835271_8327.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,37,NaN,bicycle,bicycle,0.00,1317_nsp_dnn_0.00_bicycle_10_n02835271_8881.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,38,NaN,bicycle,bicycle,0.00,1318_nsp_dnn_0.00_bicycle_10_n03792782_1155.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,39,NaN,bicycle,bicycle,0.00,1319_nsp_dnn_0.00_bicycle_10_n02835271_6362.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,40,NaN,bicycle,bicycle,0.00,1320_nsp_dnn_0.00_bicycle_10_n03792782_15101.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,41,NaN,airplane,airplane,0.00,1321_nsp_dnn_0.00_airplane_10_n02690373_1815.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,42,NaN,airplane,airplane,0.00,1322_nsp_dnn_0.00_airplane_10_n02690373_16620.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,43,NaN,airplane,airplane,0.00,1323_nsp_dnn_0.00_airplane_10_n02690373_1295.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,44,NaN,airplane,airplane,0.00,1324_nsp_dnn_0.00_airplane_10_n02690373_6899.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,45,NaN,airplane,airplane,0.00,1325_nsp_dnn_0.00_airplane_10_n02690373_5712.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,46,NaN,airplane,airplane,0.00,1326_nsp_dnn_0.00_airplane_10_n02690373_8446.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,2,47,NaN,airplane,airplane,0.00,1327_nsp_dnn_0.00_airplane_10_n02690373_12964.png
