subj,session,trial,rt,object_response,category,condition,imagename
sixteen26--grayscale,1,1,NaN,knife,knife,0.00,0001_nsp_dnn_0.00_knife_10_n03041632_8618.png
sixteen26--grayscale,1,2,NaN,knife,knife,0.00,0002_nsp_dnn_0.00_knife_10_n03041632_51256.png
sixteen26--grayscale,1,3,NaN,chair,knife,0.00,0003_nsp_dnn_0.00_knife_10_n03041632_27898.png
sixteen26--grayscale,1,4,NaN,knife,knife,0.00,0004_nsp_dnn_0.00_knife_10_n03041632_32177.png
sixteen26--grayscale,1,5,NaN,knife,knife,0.00,0005_nsp_dnn_0.00_knife_10_n03041632_23548.png
sixteen26--grayscale,1,6,NaN,chair,knife,0.00,0006_nsp_dnn_0.00_knife_10_n03041632_41381.png
sixteen26--grayscale,1,7,NaN,knife,knife,0.00,0007_nsp_dnn_0.00_knife_10_n03041632_24264.png
sixteen26--grayscale,1,8,NaN,knife,knife,0.00,0008_nsp_dnn_0.00_knife_10_n03041632_45090.png
sixteen26--grayscale,1,9,NaN,bottle,knife,0.00,0009_nsp_dnn_0.00_knife_10_n03041632_87339.png
sixteen26--grayscale,1,10,NaN,chair,knife,0.00,0010_nsp_dnn_0.00_knife_10_n03041632_96361.png
sixteen26--grayscale,1,11,NaN,keyboard,keyboard,0.00,0011_nsp_dnn_0.00_keyboard_10_n03085013_29396.png
sixteen26--grayscale,1,12,NaN,keyboard,keyboard,0.00,0012_nsp_dnn_0.00_keyboard_10_n04505470_1719.png
sixteen26--grayscale,1,13,NaN,keyboard,keyboard,0.00,0013_nsp_dnn_0.00_keyboard_10_n04505470_10668.png
sixteen26--grayscale,1,14,NaN,chair,keyboard,0.00,0014_nsp_dnn_0.00_keyboard_10_n03085013_20267.png
sixteen26--grayscale,1,15,NaN,chair,keyboard,0.00,0015_nsp_dnn_0.00_keyboard_10_n03085013_23706.png
sixteen26--grayscale,1,16,NaN,keyboard,keyboard,0.00,0016_nsp_dnn_0.00_keyboard_10_n03085013_7440.png
sixteen26--grayscale,1,17,NaN,keyboard,keyboard,0.00,0017_nsp_dnn_0.00_keyboard_10_n03085013_7511.png
sixteen26--grayscale,1,18,NaN,oven,keyboard,0.00,0018_nsp_dnn_0.00_keyboard_10_n04505470_5161.png
sixteen26--grayscale,1,19,NaN,keyboard,keyboard,0.00,0019_nsp_dnn_0.00_keyboard_10_n04505470_1393.png
sixteen26--grayscale,1,20,NaN,bottle,keyboard,0.00,0020_nsp_dnn_0.00_keyboard_10_n04505470_4535.png
sixteen26--grayscale,1,21,NaN,elephant,elephant,0.00,0021_nsp_dnn_0.00_elephant_10_n02504013_579.png
sixteen26--grayscale,1,22,NaN,elephant,elephant,0.00,0022_nsp_dnn_0.00_elephant_10_n02504013_23660.png
sixteen26--grayscale,1,23,NaN,elephant,elephant,0.00,0023_nsp_dnn_0.00_elephant_10_n02504458_9876.png
sixteen26--grayscale,1,24,NaN,elephant,elephant,0.00,0024_nsp_dnn_0.00_elephant_10_n02504013_2672.png
sixteen26--grayscale,1,25,NaN,elephant,elephant,0.00,0025_nsp_dnn_0.00_elephant_10_n02504458_7331.png
sixteen26--grayscale,1,26,NaN,airplane,elephant,0.00,0026_nsp_dnn_0.00_elephant_10_n02504013_2498.png
sixteen26--grayscale,1,27,NaN,bear,elephant,0.00,0027_nsp_dnn_0.00_elephant_10_n02504013_993.png
sixteen26--grayscale,1,28,NaN,elephant,elephant,0.00,0028_nsp_dnn_0.00_elephant_10_n02504013_6933.png
sixteen26--grayscale,1,29,NaN,elephant,elephant,0.00,0029_nsp_dnn_0.00_elephant_10_n02504013_7391.png
sixteen26--grayscale,1,30,NaN,elephant,elephant,0.00,0030_nsp_dnn_0.00_elephant_10_n02504458_7973.png
sixteen26--grayscale,1,31,NaN,bicycle,bicycle,0.00,0031_nsp_dnn_0.00_bicycle_10_n03792782_16844.png
sixteen26--grayscale,1,32,NaN,bicycle,bicycle,0.00,0032_nsp_dnn_0.00_bicycle_10_n03792782_16383.png
sixteen26--grayscale,1,33,NaN,bicycle,bicycle,0.00,0033_nsp_dnn_0.00_bicycle_10_n03792782_5959.png
sixteen26--grayscale,1,34,NaN,bicycle,bicycle,0.00,0034_nsp_dnn_0.00_bicycle_10_n03792782_68259.png
sixteen26--grayscale,1,35,NaN,chair,bicycle,0.00,0035_nsp_dnn_0.00_bicycle_10_n03792782_3705.png
sixteen26--grayscale,1,36,NaN,bicycle,bicycle,0.00,0036_nsp_dnn_0.00_bicycle_10_n02835271_17950.png
sixteen26--grayscale,1,37,NaN,bicycle,bicycle,0.00,0037_nsp_dnn_0.00_bicycle_10_n02835271_10832.png
sixteen26--grayscale,1,38,NaN,chair,bicycle,0.00,0038_nsp_dnn_0.00_bicycle_10_n03792782_104.png
sixteen26--grayscale,1,39,NaN,bottle,bicycle,0.00,0039_nsp_dnn_0.00_bicycle_10_n02835271_17649.png
sixteen26--grayscale,1,40,NaN,bird,bicycle,0.00,0040_nsp_dnn_0.00_bicycle_10_n03792782_14216.png
sixteen26--grayscale,1,41,NaN,airplane,airplane,0.00,0041_nsp_dnn_0.00_airplane_10_n02690373_9529.png
sixteen26--grayscale,1,42,NaN,airplane,airplane,0.00,0042_nsp_dnn_0.00_airplane_10_n02690373_9622.png
sixteen26--grayscale,1,43,NaN,airplane,airplane,0.00,0043_nsp_dnn_0.00_airplane_10_n02690373_10354.png
sixteen26--grayscale,1,44,NaN,airplane,airplane,0.00,0044_nsp_dnn_0.00_airplane_10_n02690373_389.png
sixteen26--grayscale,1,45,NaN,airplane,airplane,0.00,0045_nsp_dnn_0.00_airplane_10_n02690373_1933.png
sixteen26--grayscale,1,46,NaN,airplane,airplane,0.00,0046_nsp_dnn_0.00_airplane_10_n02690373_9759.png
sixteen26--grayscale,1,47,NaN,airplane,airplane,0.00,0047_nsp_dnn_0.00_airplane_10_n02690373_17764.png
sixteen26--grayscale,1,48,NaN,airplane,airplane,0.00,0048_nsp_dnn_0.00_airplane_10_n02690373_9828.png
sixteen26--grayscale,1,49,NaN,airplane,airplane,0.00,0049_nsp_dnn_0.00_airplane_10_n02690373_8704.png
sixteen26--grayscale,1,50,NaN,airplane,airplane,0.00,0050_nsp_dnn_0.00_airplane_10_n02690373_4217.png
sixteen26--grayscale,1,51,NaN,clock,clock,0.00,0051_nsp_dnn_0.00_clock_10_n03196217_11054.png
