subj,session,trial,rt,object_response,category,condition,imagename
sixteen27--uniform-noise-multiple--200epochs,6,1,NaN,knife,knife,0.00,6401_nsp_dnn_0.00_knife_10_n03041632_383.png
sixteen27--uniform-noise-multiple--200epochs,6,2,NaN,knife,knife,0.00,6402_nsp_dnn_0.00_knife_10_n03041632_21425.png
sixteen27--uniform-noise-multiple--200epochs,6,3,NaN,knife,knife,0.00,6403_nsp_dnn_0.00_knife_10_n03041632_16826.png
sixteen27--uniform-noise-multiple--200epochs,6,4,NaN,knife,knife,0.00,6404_nsp_dnn_0.00_knife_10_n03041632_22472.png
sixteen27--uniform-noise-multiple--200epochs,6,5,NaN,knife,knife,0.00,6405_nsp_dnn_0.00_knife_10_n03041632_45326.png
sixteen27--uniform-noise-multiple--200epochs,6,6,NaN,knife,knife,0.00,6406_nsp_dnn_0.00_knife_10_n03041632_5162.png
sixteen27--uniform-noise-multiple--200epochs,6,7,NaN,knife,knife,0.00,6407_nsp_dnn_0.00_knife_10_n03041632_33739.png
sixteen27--uniform-noise-multiple--200epochs,6,8,NaN,knife,knife,0.00,6408_nsp_dnn_0.00_knife_10_n03041632_15444.png
sixteen27--uniform-noise-multiple--200epochs,6,9,NaN,knife,knife,0.00,6409_nsp_dnn_0.00_knife_10_n03041632_29037.png
sixteen27--uniform-noise-multiple--200epochs,6,10,NaN,knife,knife,0.00,6410_nsp_dnn_0.00_knife_10_n03041632_15174.png
sixteen27--uniform-noise-multiple--200epochs,6,11,NaN,keyboard,keyboard,0.00,6411_nsp_dnn_0.00_keyboard_10_n04505470_4789.png
sixteen27--uniform-noise-multiple--200epochs,6,12,NaN,keyboard,keyboard,0.00,6412_nsp_dnn_0.00_keyboard_10_n03085013_24294.png
sixteen27--uniform-noise-multiple--200epochs,6,13,NaN,keyboard,keyboard,0.00,6413_nsp_dnn_0.00_keyboard_10_n03085013_21241.png
sixteen27--uniform-noise-multiple--200epochs,6,14,NaN,keyboard,keyboard,0.00,6414_nsp_dnn_0.00_keyboard_10_n03085013_11110.png
