subj,session,trial,rt,object_response,category,condition,imagename
specialised,6,1,,knife,knife,0.0,6401_nsp_dnn_0.00_knife_10_n03041632_383.png
specialised,6,2,,knife,knife,0.0,6402_nsp_dnn_0.00_knife_10_n03041632_21425.png
specialised,6,3,,clock,knife,0.0,6403_nsp_dnn_0.00_knife_10_n03041632_16826.png
specialised,6,4,,knife,knife,0.0,6404_nsp_dnn_0.00_knife_10_n03041632_22472.png
specialised,6,5,,knife,knife,0.0,6405_nsp_dnn_0.00_knife_10_n03041632_45326.png
specialised,6,6,,knife,knife,0.0,6406_nsp_dnn_0.00_knife_10_n03041632_5162.png
specialised,6,7,,knife,knife,0.0,6407_nsp_dnn_0.00_knife_10_n03041632_33739.png
specialised,6,8,,knife,knife,0.0,6408_nsp_dnn_0.00_knife_10_n03041632_15444.png
specialised,6,9,,knife,knife,0.0,6409_nsp_dnn_0.00_knife_10_n03041632_29037.png
specialised,6,10,,car,knife,0.0,6410_nsp_dnn_0.00_knife_10_n03041632_15174.png
specialised,6,11,,keyboard,keyboard,0.0,6411_nsp_dnn_0.00_keyboard_10_n04505470_4789.png
specialised,6,12,,keyboard,keyboard,0.0,6412_nsp_dnn_0.00_keyboard_10_n03085013_24294.png
specialised,6,13,,keyboard,keyboard,0.0,6413_nsp_dnn_0.00_keyboard_10_n03085013_21241.png
specialised,6,14,,keyboard,keyboard,0.0,6414_nsp_dnn_0.00_keyboard_10_n03085013_11110.png
specialised,6,15,,keyboard,keyboard,0.0,6415_nsp_dnn_0.00_keyboard_10_n04505470_8512.png
specialised,6,16,,keyboard,keyboard,0.0,6416_nsp_dnn_0.00_keyboard_10_n03085013_20798.png
specialised,6,17,,keyboard,keyboard,0.0,6417_nsp_dnn_0.00_keyboard_10_n03085013_19439.png
specialised,6,18,,keyboard,keyboard,0.0,6418_nsp_dnn_0.00_keyboard_10_n04505470_159.png
specialised,6,19,,keyboard,keyboard,0.0,6419_nsp_dnn_0.00_keyboard_10_n04505470_867.png
specialised,6,20,,keyboard,keyboard,0.0,6420_nsp_dnn_0.00_keyboard_10_n03085013_25800.png
specialised,6,21,,elephant,elephant,0.0,6421_nsp_dnn_0.00_elephant_10_n02504458_3234.png
specialised,6,22,,elephant,elephant,0.0,6422_nsp_dnn_0.00_elephant_10_n02504458_6261.png
specialised,6,23,,elephant,elephant,0.0,6423_nsp_dnn_0.00_elephant_10_n02504013_5894.png
specialised,6,24,,elephant,elephant,0.0,6424_nsp_dnn_0.00_elephant_10_n02504458_6566.png
specialised,6,25,,elephant,elephant,0.0,6425_nsp_dnn_0.00_elephant_10_n02504458_277.png
specialised,6,26,,elephant,elephant,0.0,6426_nsp_dnn_0.00_elephant_10_n02504013_6376.png
specialised,6,27,,elephant,elephant,0.0,6427_nsp_dnn_0.00_elephant_10_n02504458_11289.png
