subj,session,trial,rt,object_response,category,condition,imagename
all-noise,4,1,,bottle,knife,0,3361_ps_dnn_0_knife_10_n03041632_5302.png
all-noise,4,2,,knife,knife,0,3362_ps_dnn_0_knife_10_n03041632_18863.png
all-noise,4,3,,knife,knife,0,3363_ps_dnn_0_knife_10_n03041632_27848.png
all-noise,4,4,,knife,knife,0,3364_ps_dnn_0_knife_10_n03041632_11700.png
all-noise,4,5,,knife,knife,0,3365_ps_dnn_0_knife_10_n03041632_98864.png
all-noise,4,6,,knife,knife,0,3366_ps_dnn_0_knife_10_n03041632_29684.png
all-noise,4,7,,chair,knife,0,3367_ps_dnn_0_knife_10_n03041632_9635.png
all-noise,4,8,,knife,knife,0,3368_ps_dnn_0_knife_10_n03041632_18468.png
all-noise,4,9,,knife,knife,0,3369_ps_dnn_0_knife_10_n03041632_927.png
all-noise,4,10,,knife,knife,0,3370_ps_dnn_0_knife_10_n03041632_1671.png
all-noise,4,11,,keyboard,keyboard,0,3371_ps_dnn_0_keyboard_10_n04505470_4575.png
all-noise,4,12,,keyboard,keyboard,0,3372_ps_dnn_0_keyboard_10_n04505470_1096.png
all-noise,4,13,,keyboard,keyboard,0,3373_ps_dnn_0_keyboard_10_n03085013_22744.png
all-noise,4,14,,keyboard,keyboard,0,3374_ps_dnn_0_keyboard_10_n04505470_3566.png
all-noise,4,15,,keyboard,keyboard,0,3375_ps_dnn_0_keyboard_10_n03085013_23268.png
all-noise,4,16,,keyboard,keyboard,0,3376_ps_dnn_0_keyboard_10_n04505470_10697.png
all-noise,4,17,,keyboard,keyboard,0,3377_ps_dnn_0_keyboard_10_n04505470_4362.png
all-noise,4,18,,keyboard,keyboard,0,3378_ps_dnn_0_keyboard_10_n04505470_147.png
all-noise,4,19,,keyboard,keyboard,0,3379_ps_dnn_0_keyboard_10_n03085013_3204.png
all-noise,4,20,,keyboard,keyboard,0,3380_ps_dnn_0_keyboard_10_n03085013_15825.png
all-noise,4,21,,elephant,elephant,0,3381_ps_dnn_0_elephant_10_n02504013_5615.png
all-noise,4,22,,elephant,elephant,0,3382_ps_dnn_0_elephant_10_n02504458_224.png
all-noise,4,23,,elephant,elephant,0,3383_ps_dnn_0_elephant_10_n02504013_6660.png
all-noise,4,24,,elephant,elephant,0,3384_ps_dnn_0_elephant_10_n02504013_9678.png
all-noise,4,25,,elephant,elephant,0,3385_ps_dnn_0_elephant_10_n02504458_7084.png
all-noise,4,26,,elephant,elephant,0,3386_ps_dnn_0_elephant_10_n02504013_3847.png
all-noise,4,27,,elephant,elephant,0,3387_ps_dnn_0_elephant_10_n02504013_2796.png
all-noise,4,28,,elephant,elephant,0,3388_ps_dnn_0_elephant_10_n02504013_3173.png
all-noise,4,29,,elephant,elephant,0,3389_ps_dnn_0_elephant_10_n02504458_3344.png
all-noise,4,30,,elephant,elephant,0,3390_ps_dnn_0_elephant_10_n02504458_7259.png
all-noise,4,31,,bicycle,bicycle,0,3391_ps_dnn_0_bicycle_10_n03792782_42131.png
all-noise,4,32,,bicycle,bicycle,0,3392_ps_dnn_0_bicycle_10_n02835271_4923.png
all-noise,4,33,,bicycle,bicycle,0,3393_ps_dnn_0_bicycle_10_n03792782_8271.png
all-noise,4,34,,bicycle,bicycle,0,3394_ps_dnn_0_bicycle_10_n03792782_5665.png
all-noise,4,35,,bicycle,bicycle,0,3395_ps_dnn_0_bicycle_10_n03792782_6512.png
all-noise,4,36,,bicycle,bicycle,0,3396_ps_dnn_0_bicycle_10_n03792782_49637.png
all-noise,4,37,,bicycle,bicycle,0,3397_ps_dnn_0_bicycle_10_n03792782_11023.png
all-noise,4,38,,bicycle,bicycle,0,3398_ps_dnn_0_bicycle_10_n02835271_507.png
all-noise,4,39,,bicycle,bicycle,0,3399_ps_dnn_0_bicycle_10_n02835271_8109.png
