subj,session,trial,rt,object_response,category,condition,imagename
sixteen03--uniform-noise-multiple,1,1,NaN,knife,knife,0,0001_ps_dnn_0_knife_10_n03041632_8618.png
sixteen03--uniform-noise-multiple,1,2,NaN,knife,knife,0,0002_ps_dnn_0_knife_10_n03041632_51256.png
sixteen03--uniform-noise-multiple,1,3,NaN,knife,knife,0,0003_ps_dnn_0_knife_10_n03041632_27898.png
sixteen03--uniform-noise-multiple,1,4,NaN,knife,knife,0,0004_ps_dnn_0_knife_10_n03041632_32177.png
sixteen03--uniform-noise-multiple,1,5,NaN,knife,knife,0,0005_ps_dnn_0_knife_10_n03041632_23548.png
sixteen03--uniform-noise-multiple,1,6,NaN,knife,knife,0,0006_ps_dnn_0_knife_10_n03041632_41381.png
sixteen03--uniform-noise-multiple,1,7,NaN,knife,knife,0,0007_ps_dnn_0_knife_10_n03041632_24264.png
sixteen03--uniform-noise-multiple,1,8,NaN,knife,knife,0,0008_ps_dnn_0_knife_10_n03041632_45090.png
sixteen03--uniform-noise-multiple,1,9,NaN,knife,knife,0,0009_ps_dnn_0_knife_10_n03041632_87339.png
sixteen03--uniform-noise-multiple,1,10,NaN,knife,knife,0,0010_ps_dnn_0_knife_10_n03041632_96361.png
sixteen03--uniform-noise-multiple,1,11,NaN,keyboard,keyboard,0,0011_ps_dnn_0_keyboard_10_n03085013_21070.png
sixteen03--uniform-noise-multiple,1,12,NaN,knife,keyboard,0,0012_ps_dnn_0_keyboard_10_n04505470_5009.png
sixteen03--uniform-noise-multiple,1,13,NaN,knife,keyboard,0,0013_ps_dnn_0_keyboard_10_n03085013_3098.png
sixteen03--uniform-noise-multiple,1,14,NaN,knife,keyboard,0,0014_ps_dnn_0_keyboard_10_n03085013_20594.png
sixteen03--uniform-noise-multiple,1,15,NaN,knife,keyboard,0,0015_ps_dnn_0_keyboard_10_n04505470_3261.png
sixteen03--uniform-noise-multiple,1,16,NaN,clock,keyboard,0,0016_ps_dnn_0_keyboard_10_n04505470_8121.png
sixteen03--uniform-noise-multiple,1,17,NaN,knife,keyboard,0,0017_ps_dnn_0_keyboard_10_n04505470_64.png
sixteen03--uniform-noise-multiple,1,18,NaN,knife,keyboard,0,0018_ps_dnn_0_keyboard_10_n03085013_19687.png
sixteen03--uniform-noise-multiple,1,19,NaN,knife,keyboard,0,0019_ps_dnn_0_keyboard_10_n04505470_241.png
sixteen03--uniform-noise-multiple,1,20,NaN,clock,keyboard,0,0020_ps_dnn_0_keyboard_10_n03085013_23763.png
sixteen03--uniform-noise-multiple,1,21,NaN,knife,elephant,0,0021_ps_dnn_0_elephant_10_n02504013_6171.png
sixteen03--uniform-noise-multiple,1,22,NaN,knife,elephant,0,0022_ps_dnn_0_elephant_10_n02504013_5918.png
sixteen03--uniform-noise-multiple,1,23,NaN,knife,elephant,0,0023_ps_dnn_0_elephant_10_n02504458_574.png
sixteen03--uniform-noise-multiple,1,24,NaN,knife,elephant,0,0024_ps_dnn_0_elephant_10_n02504458_804.png
sixteen03--uniform-noise-multiple,1,25,NaN,knife,elephant,0,0025_ps_dnn_0_elephant_10_n02504013_2787.png
sixteen03--uniform-noise-multiple,1,26,NaN,knife,elephant,0,0026_ps_dnn_0_elephant_10_n02504458_8126.png
sixteen03--uniform-noise-multiple,1,27,NaN,knife,elephant,0,0027_ps_dnn_0_elephant_10_n02504458_341.png
sixteen03--uniform-noise-multiple,1,28,NaN,knife,elephant,0,0028_ps_dnn_0_elephant_10_n02504458_5288.png
sixteen03--uniform-noise-multiple,1,29,NaN,knife,elephant,0,0029_ps_dnn_0_elephant_10_n02504013_6880.png
sixteen03--uniform-noise-multiple,1,30,NaN,knife,elephant,0,0030_ps_dnn_0_elephant_10_n02504458_4228.png
sixteen03--uniform-noise-multiple,1,31,NaN,knife,bicycle,0,0031_ps_dnn_0_bicycle_10_n02835271_17168.png
sixteen03--uniform-noise-multiple,1,32,NaN,knife,bicycle,0,0032_ps_dnn_0_bicycle_10_n03792782_15614.png
sixteen03--uniform-noise-multiple,1,33,NaN,knife,bicycle,0,0033_ps_dnn_0_bicycle_10_n03792782_67333.png
sixteen03--uniform-noise-multiple,1,34,NaN,knife,bicycle,0,0034_ps_dnn_0_bicycle_10_n02835271_9507.png
sixteen03--uniform-noise-multiple,1,35,NaN,knife,bicycle,0,0035_ps_dnn_0_bicycle_10_n03792782_6250.png
sixteen03--uniform-noise-multiple,1,36,NaN,knife,bicycle,0,0036_ps_dnn_0_bicycle_10_n03792782_15189.png
sixteen03--uniform-noise-multiple,1,37,NaN,knife,bicycle,0,0037_ps_dnn_0_bicycle_10_n02835271_6921.png
sixteen03--uniform-noise-multiple,1,38,NaN,knife,bicycle,0,0038_ps_dnn_0_bicycle_10_n02835271_12173.png
sixteen03--uniform-noise-multiple,1,39,NaN,knife,bicycle,0,0039_ps_dnn_0_bicycle_10_n03792782_17134.png
sixteen03--uniform-noise-multiple,1,40,NaN,knife,bicycle,0,0040_ps_dnn_0_bicycle_10_n02835271_2013.png
sixteen03--uniform-noise-multiple,1,41,NaN,knife,airplane,0,0041_ps_dnn_0_airplane_10_n02690373_20071.png
sixteen03--uniform-noise-multiple,1,42,NaN,knife,airplane,0,0042_ps_dnn_0_airplane_10_n02690373_8583.png
sixteen03--uniform-noise-multiple,1,43,NaN,knife,airplane,0,0043_ps_dnn_0_airplane_10_n02690373_5689.png
sixteen03--uniform-noise-multiple,1,44,NaN,knife,airplane,0,0044_ps_dnn_0_airplane_10_n02690373_1451.png
sixteen03--uniform-noise-multiple,1,45,NaN,knife,airplane,0,0045_ps_dnn_0_airplane_10_n02690373_1975.png
sixteen03--uniform-noise-multiple,1,46,NaN,knife,airplane,0,0046_ps_dnn_0_airplane_10_n02690373_2010.png
sixteen03--uniform-noise-multiple,1,47,NaN,knife,airplane,0,0047_ps_dnn_0_airplane_10_n02690373_3451.png
sixteen03--uniform-noise-multiple,1,48,NaN,knife,airplane,0,0048_ps_dnn_0_airplane_10_n02690373_10723.png
sixteen03--uniform-noise-multiple,1,49,NaN,knife,airplane,0,0049_ps_dnn_0_airplane_10_n02690373_7408.png
sixteen03--uniform-noise-multiple,1,50,NaN,knife,airplane,0,0050_ps_dnn_0_airplane_10_n02690373_5487.png
sixteen03--uniform-noise-multiple,1,51,NaN,clock,clock,0,0051_ps_dnn_0_clock_10_n04548280_7069.png
sixteen03--uniform-noise-multiple,1,52,NaN,knife,clock,0,0052_ps_dnn_0_clock_10_n02708093_1356.png
sixteen03--uniform-noise-multiple,1,53,NaN,knife,clock,0,0053_ps_dnn_0_clock_10_n04548280_4862.png
sixteen03--uniform-noise-multiple,1,54,NaN,clock,clock,0,0054_ps_dnn_0_clock_10_n04548280_8429.png
