subj,session,trial,rt,object_response,category,condition,imagename
sixteen08--low-pass-multiple,3,1,NaN,knife,knife,0,2241_ps_dnn_0_knife_10_n03041632_3717.png
sixteen08--low-pass-multiple,3,2,NaN,knife,knife,0,2242_ps_dnn_0_knife_10_n03041632_9406.png
sixteen08--low-pass-multiple,3,3,NaN,knife,knife,0,2243_ps_dnn_0_knife_10_n03041632_379.png
sixteen08--low-pass-multiple,3,4,NaN,knife,knife,0,2244_ps_dnn_0_knife_10_n03041632_30079.png
sixteen08--low-pass-multiple,3,5,NaN,boat,knife,0,2245_ps_dnn_0_knife_10_n03041632_10777.png
sixteen08--low-pass-multiple,3,6,NaN,knife,knife,0,2246_ps_dnn_0_knife_10_n03041632_31483.png
sixteen08--low-pass-multiple,3,7,NaN,knife,knife,0,2247_ps_dnn_0_knife_10_n03041632_36390.png
sixteen08--low-pass-multiple,3,8,NaN,bottle,knife,0,2248_ps_dnn_0_knife_10_n03041632_24060.png
sixteen08--low-pass-multiple,3,9,NaN,knife,knife,0,2249_ps_dnn_0_knife_10_n03041632_21345.png
sixteen08--low-pass-multiple,3,10,NaN,keyboard,knife,0,2250_ps_dnn_0_knife_10_n03041632_33268.png
sixteen08--low-pass-multiple,3,11,NaN,keyboard,keyboard,0,2251_ps_dnn_0_keyboard_10_n03085013_24455.png
sixteen08--low-pass-multiple,3,12,NaN,keyboard,keyboard,0,2252_ps_dnn_0_keyboard_10_n04505470_4173.png
sixteen08--low-pass-multiple,3,13,NaN,keyboard,keyboard,0,2253_ps_dnn_0_keyboard_10_n04505470_5050.png
sixteen08--low-pass-multiple,3,14,NaN,keyboard,keyboard,0,2254_ps_dnn_0_keyboard_10_n03085013_24206.png
sixteen08--low-pass-multiple,3,15,NaN,keyboard,keyboard,0,2255_ps_dnn_0_keyboard_10_n03085013_20330.png
sixteen08--low-pass-multiple,3,16,NaN,keyboard,keyboard,0,2256_ps_dnn_0_keyboard_10_n04505470_5171.png
sixteen08--low-pass-multiple,3,17,NaN,keyboard,keyboard,0,2257_ps_dnn_0_keyboard_10_n04505470_6884.png
sixteen08--low-pass-multiple,3,18,NaN,keyboard,keyboard,0,2258_ps_dnn_0_keyboard_10_n03085013_8364.png
sixteen08--low-pass-multiple,3,19,NaN,keyboard,keyboard,0,2259_ps_dnn_0_keyboard_10_n04505470_4603.png
sixteen08--low-pass-multiple,3,20,NaN,keyboard,keyboard,0,2260_ps_dnn_0_keyboard_10_n03085013_7858.png
sixteen08--low-pass-multiple,3,21,NaN,elephant,elephant,0,2261_ps_dnn_0_elephant_10_n02504458_6059.png
sixteen08--low-pass-multiple,3,22,NaN,elephant,elephant,0,2262_ps_dnn_0_elephant_10_n02504013_242.png
sixteen08--low-pass-multiple,3,23,NaN,bear,elephant,0,2263_ps_dnn_0_elephant_10_n02504013_11144.png
sixteen08--low-pass-multiple,3,24,NaN,elephant,elephant,0,2264_ps_dnn_0_elephant_10_n02504013_1214.png
sixteen08--low-pass-multiple,3,25,NaN,elephant,elephant,0,2265_ps_dnn_0_elephant_10_n02504013_14948.png
sixteen08--low-pass-multiple,3,26,NaN,elephant,elephant,0,2266_ps_dnn_0_elephant_10_n02504458_12303.png
sixteen08--low-pass-multiple,3,27,NaN,elephant,elephant,0,2267_ps_dnn_0_elephant_10_n02504013_2332.png
sixteen08--low-pass-multiple,3,28,NaN,elephant,elephant,0,2268_ps_dnn_0_elephant_10_n02504458_3762.png
sixteen08--low-pass-multiple,3,29,NaN,elephant,elephant,0,2269_ps_dnn_0_elephant_10_n02504458_1127.png
sixteen08--low-pass-multiple,3,30,NaN,elephant,elephant,0,2270_ps_dnn_0_elephant_10_n02504013_5837.png
sixteen08--low-pass-multiple,3,31,NaN,bicycle,bicycle,0,2271_ps_dnn_0_bicycle_10_n02835271_672.png
sixteen08--low-pass-multiple,3,32,NaN,bicycle,bicycle,0,2272_ps_dnn_0_bicycle_10_n03792782_20193.png
sixteen08--low-pass-multiple,3,33,NaN,bicycle,bicycle,0,2273_ps_dnn_0_bicycle_10_n02835271_16130.png
sixteen08--low-pass-multiple,3,34,NaN,bicycle,bicycle,0,2274_ps_dnn_0_bicycle_10_n02835271_7823.png
sixteen08--low-pass-multiple,3,35,NaN,bicycle,bicycle,0,2275_ps_dnn_0_bicycle_10_n02835271_13164.png
sixteen08--low-pass-multiple,3,36,NaN,bicycle,bicycle,0,2276_ps_dnn_0_bicycle_10_n02835271_18171.png
sixteen08--low-pass-multiple,3,37,NaN,bicycle,bicycle,0,2277_ps_dnn_0_bicycle_10_n03792782_17430.png
sixteen08--low-pass-multiple,3,38,NaN,bicycle,bicycle,0,2278_ps_dnn_0_bicycle_10_n02835271_23680.png
