subj,session,trial,rt,object_response,category,condition,imagename
sixteen09--rotation-multiple,2,1,NaN,chair,knife,0,1121_ps_dnn_0_knife_10_n03041632_14442.png
sixteen09--rotation-multiple,2,2,NaN,knife,knife,0,1122_ps_dnn_0_knife_10_n03041632_32208.png
sixteen09--rotation-multiple,2,3,NaN,knife,knife,0,1123_ps_dnn_0_knife_10_n03041632_28710.png
sixteen09--rotation-multiple,2,4,NaN,knife,knife,0,1124_ps_dnn_0_knife_10_n03041632_48816.png
sixteen09--rotation-multiple,2,5,NaN,knife,knife,0,1125_ps_dnn_0_knife_10_n03041632_18126.png
sixteen09--rotation-multiple,2,6,NaN,knife,knife,0,1126_ps_dnn_0_knife_10_n03041632_10000.png
sixteen09--rotation-multiple,2,7,NaN,bottle,knife,0,1127_ps_dnn_0_knife_10_n03041632_32979.png
sixteen09--rotation-multiple,2,8,NaN,oven,knife,0,1128_ps_dnn_0_knife_10_n03041632_49363.png
sixteen09--rotation-multiple,2,9,NaN,chair,knife,0,1129_ps_dnn_0_knife_10_n03041632_10796.png
sixteen09--rotation-multiple,2,10,NaN,knife,knife,0,1130_ps_dnn_0_knife_10_n03041632_2153.png
sixteen09--rotation-multiple,2,11,NaN,keyboard,keyboard,0,1131_ps_dnn_0_keyboard_10_n04505470_470.png
sixteen09--rotation-multiple,2,12,NaN,keyboard,keyboard,0,1132_ps_dnn_0_keyboard_10_n03085013_19630.png
sixteen09--rotation-multiple,2,13,NaN,keyboard,keyboard,0,1133_ps_dnn_0_keyboard_10_n03085013_21397.png
sixteen09--rotation-multiple,2,14,NaN,keyboard,keyboard,0,1134_ps_dnn_0_keyboard_10_n04505470_4723.png
sixteen09--rotation-multiple,2,15,NaN,keyboard,keyboard,0,1135_ps_dnn_0_keyboard_10_n04505470_9788.png
sixteen09--rotation-multiple,2,16,NaN,knife,keyboard,0,1136_ps_dnn_0_keyboard_10_n03085013_23213.png
sixteen09--rotation-multiple,2,17,NaN,keyboard,keyboard,0,1137_ps_dnn_0_keyboard_10_n03085013_24385.png
sixteen09--rotation-multiple,2,18,NaN,keyboard,keyboard,0,1138_ps_dnn_0_keyboard_10_n03085013_23658.png
sixteen09--rotation-multiple,2,19,NaN,chair,keyboard,0,1139_ps_dnn_0_keyboard_10_n03085013_18821.png
sixteen09--rotation-multiple,2,20,NaN,keyboard,keyboard,0,1140_ps_dnn_0_keyboard_10_n04505470_4753.png
sixteen09--rotation-multiple,2,21,NaN,elephant,elephant,0,1141_ps_dnn_0_elephant_10_n02504458_2013.png
sixteen09--rotation-multiple,2,22,NaN,elephant,elephant,0,1142_ps_dnn_0_elephant_10_n02504013_476.png
sixteen09--rotation-multiple,2,23,NaN,elephant,elephant,0,1143_ps_dnn_0_elephant_10_n02504458_5320.png
sixteen09--rotation-multiple,2,24,NaN,elephant,elephant,0,1144_ps_dnn_0_elephant_10_n02504013_17391.png
sixteen09--rotation-multiple,2,25,NaN,elephant,elephant,0,1145_ps_dnn_0_elephant_10_n02504458_5245.png
sixteen09--rotation-multiple,2,26,NaN,elephant,elephant,0,1146_ps_dnn_0_elephant_10_n02504458_4631.png
sixteen09--rotation-multiple,2,27,NaN,elephant,elephant,0,1147_ps_dnn_0_elephant_10_n02504013_784.png
sixteen09--rotation-multiple,2,28,NaN,elephant,elephant,0,1148_ps_dnn_0_elephant_10_n02504013_8780.png
sixteen09--rotation-multiple,2,29,NaN,elephant,elephant,0,1149_ps_dnn_0_elephant_10_n02504013_9012.png
sixteen09--rotation-multiple,2,30,NaN,elephant,elephant,0,1150_ps_dnn_0_elephant_10_n02504013_5165.png
sixteen09--rotation-multiple,2,31,NaN,bicycle,bicycle,0,1151_ps_dnn_0_bicycle_10_n03792782_48457.png
sixteen09--rotation-multiple,2,32,NaN,bicycle,bicycle,0,1152_ps_dnn_0_bicycle_10_n03792782_33450.png
sixteen09--rotation-multiple,2,33,NaN,bicycle,bicycle,0,1153_ps_dnn_0_bicycle_10_n03792782_19527.png
sixteen09--rotation-multiple,2,34,NaN,bicycle,bicycle,0,1154_ps_dnn_0_bicycle_10_n03792782_6839.png
sixteen09--rotation-multiple,2,35,NaN,bicycle,bicycle,0,1155_ps_dnn_0_bicycle_10_n03792782_442.png
sixteen09--rotation-multiple,2,36,NaN,bicycle,bicycle,0,1156_ps_dnn_0_bicycle_10_n02835271_12790.png
sixteen09--rotation-multiple,2,37,NaN,bicycle,bicycle,0,1157_ps_dnn_0_bicycle_10_n03792782_10395.png
sixteen09--rotation-multiple,2,38,NaN,bicycle,bicycle,0,1158_ps_dnn_0_bicycle_10_n03792782_3249.png
sixteen09--rotation-multiple,2,39,NaN,bicycle,bicycle,0,1159_ps_dnn_0_bicycle_10_n02835271_2525.png
sixteen09--rotation-multiple,2,40,NaN,bicycle,bicycle,0,1160_ps_dnn_0_bicycle_10_n02835271_845.png
sixteen09--rotation-multiple,2,41,NaN,airplane,airplane,0,1161_ps_dnn_0_airplane_10_n02690373_4943.png
sixteen09--rotation-multiple,2,42,NaN,airplane,airplane,0,1162_ps_dnn_0_airplane_10_n02690373_15097.png
sixteen09--rotation-multiple,2,43,NaN,airplane,airplane,0,1163_ps_dnn_0_airplane_10_n02690373_4107.png
sixteen09--rotation-multiple,2,44,NaN,airplane,airplane,0,1164_ps_dnn_0_airplane_10_n02690373_2324.png
sixteen09--rotation-multiple,2,45,NaN,airplane,airplane,0,1165_ps_dnn_0_airplane_10_n02690373_9001.png
sixteen09--rotation-multiple,2,46,NaN,airplane,airplane,0,1166_ps_dnn_0_airplane_10_n02690373_6116.png
sixteen09--rotation-multiple,2,47,NaN,airplane,airplane,0,1167_ps_dnn_0_airplane_10_n02690373_5160.png
sixteen09--rotation-multiple,2,48,NaN,airplane,airplane,0,1168_ps_dnn_0_airplane_10_n02690373_6914.png
sixteen09--rotation-multiple,2,49,NaN,airplane,airplane,0,1169_ps_dnn_0_airplane_10_n02690373_5422.png
sixteen09--rotation-multiple,2,50,NaN,airplane,airplane,0,1170_ps_dnn_0_airplane_10_n02690373_4429.png
sixteen09--rotation-multiple,2,51,NaN,clock,clock,0,1171_ps_dnn_0_clock_10_n04548280_9700.png
sixteen09--rotation-multiple,2,52,NaN,clock,clock,0,1172_ps_dnn_0_clock_10_n02708093_3114.png
sixteen09--rotation-multiple,2,53,NaN,chair,clock,0,1173_ps_dnn_0_clock_10_n03196217_1038.png
sixteen09--rotation-multiple,2,54,NaN,clock,clock,0,1174_ps_dnn_0_clock_10_n02708093_4893.png
sixteen09--rotation-multiple,2,55,NaN,clock,clock,0,1175_ps_dnn_0_clock_10_n02708093_2886.png
sixteen09--rotation-multiple,2,56,NaN,clock,clock,0,1176_ps_dnn_0_clock_10_n04548280_7886.png
sixteen09--rotation-multiple,2,57,NaN,clock,clock,0,1177_ps_dnn_0_clock_10_n02708093_7060.png
sixteen09--rotation-multiple,2,58,NaN,clock,clock,0,1178_ps_dnn_0_clock_10_n02708093_4498.png
sixteen09--rotation-multiple,2,59,NaN,clock,clock,0,1179_ps_dnn_0_clock_10_n04548280_494.png
sixteen09--rotation-multiple,2,60,NaN,clock,clock,0,1180_ps_dnn_0_clock_10_n02708093_6768.png
sixteen09--rotation-multiple,2,61,NaN,oven,oven,0,1181_ps_dnn_0_oven_10_n04111531_857.png
