subj,session,trial,rt,object_response,category,condition,imagename
sixteen11--high-pass-multiple,3,1,NaN,knife,knife,0,2241_ps_dnn_0_knife_10_n03041632_3717.png
sixteen11--high-pass-multiple,3,2,NaN,knife,knife,0,2242_ps_dnn_0_knife_10_n03041632_9406.png
sixteen11--high-pass-multiple,3,3,NaN,knife,knife,0,2243_ps_dnn_0_knife_10_n03041632_379.png
sixteen11--high-pass-multiple,3,4,NaN,knife,knife,0,2244_ps_dnn_0_knife_10_n03041632_30079.png
sixteen11--high-pass-multiple,3,5,NaN,knife,knife,0,2245_ps_dnn_0_knife_10_n03041632_10777.png
sixteen11--high-pass-multiple,3,6,NaN,knife,knife,0,2246_ps_dnn_0_knife_10_n03041632_31483.png
sixteen11--high-pass-multiple,3,7,NaN,knife,knife,0,2247_ps_dnn_0_knife_10_n03041632_36390.png
sixteen11--high-pass-multiple,3,8,NaN,bottle,knife,0,2248_ps_dnn_0_knife_10_n03041632_24060.png
sixteen11--high-pass-multiple,3,9,NaN,knife,knife,0,2249_ps_dnn_0_knife_10_n03041632_21345.png
sixteen11--high-pass-multiple,3,10,NaN,knife,knife,0,2250_ps_dnn_0_knife_10_n03041632_33268.png
sixteen11--high-pass-multiple,3,11,NaN,keyboard,keyboard,0,2251_ps_dnn_0_keyboard_10_n03085013_24455.png
sixteen11--high-pass-multiple,3,12,NaN,keyboard,keyboard,0,2252_ps_dnn_0_keyboard_10_n04505470_4173.png
sixteen11--high-pass-multiple,3,13,NaN,keyboard,keyboard,0,2253_ps_dnn_0_keyboard_10_n04505470_5050.png
sixteen11--high-pass-multiple,3,14,NaN,keyboard,keyboard,0,2254_ps_dnn_0_keyboard_10_n03085013_24206.png
sixteen11--high-pass-multiple,3,15,NaN,keyboard,keyboard,0,2255_ps_dnn_0_keyboard_10_n03085013_20330.png
sixteen11--high-pass-multiple,3,16,NaN,keyboard,keyboard,0,2256_ps_dnn_0_keyboard_10_n04505470_5171.png
sixteen11--high-pass-multiple,3,17,NaN,keyboard,keyboard,0,2257_ps_dnn_0_keyboard_10_n04505470_6884.png
sixteen11--high-pass-multiple,3,18,NaN,keyboard,keyboard,0,2258_ps_dnn_0_keyboard_10_n03085013_8364.png
sixteen11--high-pass-multiple,3,19,NaN,keyboard,keyboard,0,2259_ps_dnn_0_keyboard_10_n04505470_4603.png
sixteen11--high-pass-multiple,3,20,NaN,keyboard,keyboard,0,2260_ps_dnn_0_keyboard_10_n03085013_7858.png
sixteen11--high-pass-multiple,3,21,NaN,elephant,elephant,0,2261_ps_dnn_0_elephant_10_n02504458_6059.png
sixteen11--high-pass-multiple,3,22,NaN,elephant,elephant,0,2262_ps_dnn_0_elephant_10_n02504013_242.png
sixteen11--high-pass-multiple,3,23,NaN,elephant,elephant,0,2263_ps_dnn_0_elephant_10_n02504013_11144.png
sixteen11--high-pass-multiple,3,24,NaN,elephant,elephant,0,2264_ps_dnn_0_elephant_10_n02504013_1214.png
sixteen11--high-pass-multiple,3,25,NaN,elephant,elephant,0,2265_ps_dnn_0_elephant_10_n02504013_14948.png
sixteen11--high-pass-multiple,3,26,NaN,elephant,elephant,0,2266_ps_dnn_0_elephant_10_n02504458_12303.png
sixteen11--high-pass-multiple,3,27,NaN,elephant,elephant,0,2267_ps_dnn_0_elephant_10_n02504013_2332.png
sixteen11--high-pass-multiple,3,28,NaN,elephant,elephant,0,2268_ps_dnn_0_elephant_10_n02504458_3762.png
sixteen11--high-pass-multiple,3,29,NaN,elephant,elephant,0,2269_ps_dnn_0_elephant_10_n02504458_1127.png
sixteen11--high-pass-multiple,3,30,NaN,elephant,elephant,0,2270_ps_dnn_0_elephant_10_n02504013_5837.png
sixteen11--high-pass-multiple,3,31,NaN,bicycle,bicycle,0,2271_ps_dnn_0_bicycle_10_n02835271_672.png
sixteen11--high-pass-multiple,3,32,NaN,bicycle,bicycle,0,2272_ps_dnn_0_bicycle_10_n03792782_20193.png
sixteen11--high-pass-multiple,3,33,NaN,bicycle,bicycle,0,2273_ps_dnn_0_bicycle_10_n02835271_16130.png
sixteen11--high-pass-multiple,3,34,NaN,bicycle,bicycle,0,2274_ps_dnn_0_bicycle_10_n02835271_7823.png
sixteen11--high-pass-multiple,3,35,NaN,bicycle,bicycle,0,2275_ps_dnn_0_bicycle_10_n02835271_13164.png
sixteen11--high-pass-multiple,3,36,NaN,bicycle,bicycle,0,2276_ps_dnn_0_bicycle_10_n02835271_18171.png
sixteen11--high-pass-multiple,3,37,NaN,bicycle,bicycle,0,2277_ps_dnn_0_bicycle_10_n03792782_17430.png
sixteen11--high-pass-multiple,3,38,NaN,bicycle,bicycle,0,2278_ps_dnn_0_bicycle_10_n02835271_23680.png
sixteen11--high-pass-multiple,3,39,NaN,bicycle,bicycle,0,2279_ps_dnn_0_bicycle_10_n02835271_759.png
sixteen11--high-pass-multiple,3,40,NaN,bicycle,bicycle,0,2280_ps_dnn_0_bicycle_10_n02835271_840.png
sixteen11--high-pass-multiple,3,41,NaN,airplane,airplane,0,2281_ps_dnn_0_airplane_10_n02690373_7473.png
sixteen11--high-pass-multiple,3,42,NaN,airplane,airplane,0,2282_ps_dnn_0_airplane_10_n02690373_4119.png
sixteen11--high-pass-multiple,3,43,NaN,airplane,airplane,0,2283_ps_dnn_0_airplane_10_n02690373_1053.png
sixteen11--high-pass-multiple,3,44,NaN,airplane,airplane,0,2284_ps_dnn_0_airplane_10_n02690373_1983.png
sixteen11--high-pass-multiple,3,45,NaN,airplane,airplane,0,2285_ps_dnn_0_airplane_10_n02690373_4895.png
sixteen11--high-pass-multiple,3,46,NaN,airplane,airplane,0,2286_ps_dnn_0_airplane_10_n02690373_10278.png
sixteen11--high-pass-multiple,3,47,NaN,airplane,airplane,0,2287_ps_dnn_0_airplane_10_n02690373_17157.png
sixteen11--high-pass-multiple,3,48,NaN,airplane,airplane,0,2288_ps_dnn_0_airplane_10_n02690373_3400.png
sixteen11--high-pass-multiple,3,49,NaN,airplane,airplane,0,2289_ps_dnn_0_airplane_10_n02690373_7600.png
sixteen11--high-pass-multiple,3,50,NaN,airplane,airplane,0,2290_ps_dnn_0_airplane_10_n02690373_5342.png
sixteen11--high-pass-multiple,3,51,NaN,clock,clock,0,2291_ps_dnn_0_clock_10_n04548280_3080.png
sixteen11--high-pass-multiple,3,52,NaN,clock,clock,0,2292_ps_dnn_0_clock_10_n04548280_9743.png
sixteen11--high-pass-multiple,3,53,NaN,clock,clock,0,2293_ps_dnn_0_clock_10_n03196217_7741.png
sixteen11--high-pass-multiple,3,54,NaN,clock,clock,0,2294_ps_dnn_0_clock_10_n04548280_821.png
sixteen11--high-pass-multiple,3,55,NaN,clock,clock,0,2295_ps_dnn_0_clock_10_n04548280_9426.png
sixteen11--high-pass-multiple,3,56,NaN,clock,clock,0,2296_ps_dnn_0_clock_10_n04548280_9011.png
sixteen11--high-pass-multiple,3,57,NaN,clock,clock,0,2297_ps_dnn_0_clock_10_n02708093_1134.png
sixteen11--high-pass-multiple,3,58,NaN,clock,clock,0,2298_ps_dnn_0_clock_10_n03196217_3007.png
sixteen11--high-pass-multiple,3,59,NaN,clock,clock,0,2299_ps_dnn_0_clock_10_n04548280_2946.png
sixteen11--high-pass-multiple,3,60,NaN,clock,clock,0,2300_ps_dnn_0_clock_10_n04548280_3171.png
sixteen11--high-pass-multiple,3,61,NaN,oven,oven,0,2301_ps_dnn_0_oven_10_n04111531_5038.png
sixteen11--high-pass-multiple,3,62,NaN,oven,oven,0,2302_ps_dnn_0_oven_10_n04111531_17923.png
sixteen11--high-pass-multiple,3,63,NaN,oven,oven,0,2303_ps_dnn_0_oven_10_n04111531_4785.png
sixteen11--high-pass-multiple,3,64,NaN,oven,oven,0,2304_ps_dnn_0_oven_10_n04111531_1662.png
sixteen11--high-pass-multiple,3,65,NaN,oven,oven,0,2305_ps_dnn_0_oven_10_n04111531_9210.png
sixteen11--high-pass-multiple,3,66,NaN,oven,oven,0,2306_ps_dnn_0_oven_10_n04111531_6474.png
sixteen11--high-pass-multiple,3,67,NaN,oven,oven,0,2307_ps_dnn_0_oven_10_n04111531_13691.png
sixteen11--high-pass-multiple,3,68,NaN,oven,oven,0,2308_ps_dnn_0_oven_10_n04111531_10884.png
sixteen11--high-pass-multiple,3,69,NaN,oven,oven,0,2309_ps_dnn_0_oven_10_n04111531_3204.png
sixteen11--high-pass-multiple,3,70,NaN,oven,oven,0,2310_ps_dnn_0_oven_10_n04111531_1439.png
sixteen11--high-pass-multiple,3,71,NaN,chair,chair,0,2311_ps_dnn_0_chair_10_n04429376_1326.png
sixteen11--high-pass-multiple,3,72,NaN,chair,chair,0,2312_ps_dnn_0_chair_10_n02791124_1737.png
