subj,session,trial,rt,object_response,category,condition,imagename
sixteen21--salt-and-pepper-noise-multiple,4,1,NaN,clock,knife,0,3361_ps_dnn_0_knife_10_n03041632_5302.png
sixteen21--salt-and-pepper-noise-multiple,4,2,NaN,clock,knife,0,3362_ps_dnn_0_knife_10_n03041632_18863.png
sixteen21--salt-and-pepper-noise-multiple,4,3,NaN,clock,knife,0,3363_ps_dnn_0_knife_10_n03041632_27848.png
sixteen21--salt-and-pepper-noise-multiple,4,4,NaN,knife,knife,0,3364_ps_dnn_0_knife_10_n03041632_11700.png
sixteen21--salt-and-pepper-noise-multiple,4,5,NaN,clock,knife,0,3365_ps_dnn_0_knife_10_n03041632_98864.png
sixteen21--salt-and-pepper-noise-multiple,4,6,NaN,clock,knife,0,3366_ps_dnn_0_knife_10_n03041632_29684.png
sixteen21--salt-and-pepper-noise-multiple,4,7,NaN,clock,knife,0,3367_ps_dnn_0_knife_10_n03041632_9635.png
sixteen21--salt-and-pepper-noise-multiple,4,8,NaN,clock,knife,0,3368_ps_dnn_0_knife_10_n03041632_18468.png
sixteen21--salt-and-pepper-noise-multiple,4,9,NaN,knife,knife,0,3369_ps_dnn_0_knife_10_n03041632_927.png
sixteen21--salt-and-pepper-noise-multiple,4,10,NaN,knife,knife,0,3370_ps_dnn_0_knife_10_n03041632_1671.png
sixteen21--salt-and-pepper-noise-multiple,4,11,NaN,clock,keyboard,0,3371_ps_dnn_0_keyboard_10_n04505470_4575.png
sixteen21--salt-and-pepper-noise-multiple,4,12,NaN,knife,keyboard,0,3372_ps_dnn_0_keyboard_10_n04505470_1096.png
sixteen21--salt-and-pepper-noise-multiple,4,13,NaN,clock,keyboard,0,3373_ps_dnn_0_keyboard_10_n03085013_22744.png
sixteen21--salt-and-pepper-noise-multiple,4,14,NaN,clock,keyboard,0,3374_ps_dnn_0_keyboard_10_n04505470_3566.png
sixteen21--salt-and-pepper-noise-multiple,4,15,NaN,clock,keyboard,0,3375_ps_dnn_0_keyboard_10_n03085013_23268.png
sixteen21--salt-and-pepper-noise-multiple,4,16,NaN,clock,keyboard,0,3376_ps_dnn_0_keyboard_10_n04505470_10697.png
sixteen21--salt-and-pepper-noise-multiple,4,17,NaN,clock,keyboard,0,3377_ps_dnn_0_keyboard_10_n04505470_4362.png
sixteen21--salt-and-pepper-noise-multiple,4,18,NaN,clock,keyboard,0,3378_ps_dnn_0_keyboard_10_n04505470_147.png
sixteen21--salt-and-pepper-noise-multiple,4,19,NaN,clock,keyboard,0,3379_ps_dnn_0_keyboard_10_n03085013_3204.png
sixteen21--salt-and-pepper-noise-multiple,4,20,NaN,clock,keyboard,0,3380_ps_dnn_0_keyboard_10_n03085013_15825.png
sixteen21--salt-and-pepper-noise-multiple,4,21,NaN,clock,elephant,0,3381_ps_dnn_0_elephant_10_n02504013_5615.png
sixteen21--salt-and-pepper-noise-multiple,4,22,NaN,clock,elephant,0,3382_ps_dnn_0_elephant_10_n02504458_224.png
sixteen21--salt-and-pepper-noise-multiple,4,23,NaN,clock,elephant,0,3383_ps_dnn_0_elephant_10_n02504013_6660.png
sixteen21--salt-and-pepper-noise-multiple,4,24,NaN,clock,elephant,0,3384_ps_dnn_0_elephant_10_n02504013_9678.png
sixteen21--salt-and-pepper-noise-multiple,4,25,NaN,clock,elephant,0,3385_ps_dnn_0_elephant_10_n02504458_7084.png
sixteen21--salt-and-pepper-noise-multiple,4,26,NaN,clock,elephant,0,3386_ps_dnn_0_elephant_10_n02504013_3847.png
sixteen21--salt-and-pepper-noise-multiple,4,27,NaN,knife,elephant,0,3387_ps_dnn_0_elephant_10_n02504013_2796.png
sixteen21--salt-and-pepper-noise-multiple,4,28,NaN,knife,elephant,0,3388_ps_dnn_0_elephant_10_n02504013_3173.png
sixteen21--salt-and-pepper-noise-multiple,4,29,NaN,clock,elephant,0,3389_ps_dnn_0_elephant_10_n02504458_3344.png
sixteen21--salt-and-pepper-noise-multiple,4,30,NaN,clock,elephant,0,3390_ps_dnn_0_elephant_10_n02504458_7259.png
sixteen21--salt-and-pepper-noise-multiple,4,31,NaN,knife,bicycle,0,3391_ps_dnn_0_bicycle_10_n03792782_42131.png
sixteen21--salt-and-pepper-noise-multiple,4,32,NaN,knife,bicycle,0,3392_ps_dnn_0_bicycle_10_n02835271_4923.png
sixteen21--salt-and-pepper-noise-multiple,4,33,NaN,clock,bicycle,0,3393_ps_dnn_0_bicycle_10_n03792782_8271.png
sixteen21--salt-and-pepper-noise-multiple,4,34,NaN,clock,bicycle,0,3394_ps_dnn_0_bicycle_10_n03792782_5665.png
sixteen21--salt-and-pepper-noise-multiple,4,35,NaN,clock,bicycle,0,3395_ps_dnn_0_bicycle_10_n03792782_6512.png
sixteen21--salt-and-pepper-noise-multiple,4,36,NaN,clock,bicycle,0,3396_ps_dnn_0_bicycle_10_n03792782_49637.png
sixteen21--salt-and-pepper-noise-multiple,4,37,NaN,clock,bicycle,0,3397_ps_dnn_0_bicycle_10_n03792782_11023.png
sixteen21--salt-and-pepper-noise-multiple,4,38,NaN,clock,bicycle,0,3398_ps_dnn_0_bicycle_10_n02835271_507.png
sixteen21--salt-and-pepper-noise-multiple,4,39,NaN,clock,bicycle,0,3399_ps_dnn_0_bicycle_10_n02835271_8109.png
