subj,session,trial,rt,object_response,category,condition,imagename
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,1,NaN,clock,knife,0,4481_ps_dnn_0_knife_10_n03041632_18141.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,2,NaN,clock,knife,0,4482_ps_dnn_0_knife_10_n03041632_126.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,3,NaN,knife,knife,0,4483_ps_dnn_0_knife_10_n03041632_51581.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,4,NaN,clock,knife,0,4484_ps_dnn_0_knife_10_n03041632_18236.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,5,NaN,clock,knife,0,4485_ps_dnn_0_knife_10_n03041632_42472.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,6,NaN,knife,knife,0,4486_ps_dnn_0_knife_10_n03041632_40887.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,7,NaN,clock,knife,0,4487_ps_dnn_0_knife_10_n03041632_6557.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,8,NaN,clock,knife,0,4488_ps_dnn_0_knife_10_n03041632_27879.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,9,NaN,clock,knife,0,4489_ps_dnn_0_knife_10_n03041632_10136.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,10,NaN,clock,knife,0,4490_ps_dnn_0_knife_10_n03041632_84012.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,11,NaN,clock,keyboard,0,4491_ps_dnn_0_keyboard_10_n03085013_14079.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,12,NaN,clock,keyboard,0,4492_ps_dnn_0_keyboard_10_n04505470_3068.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,13,NaN,clock,keyboard,0,4493_ps_dnn_0_keyboard_10_n04505470_2488.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,14,NaN,clock,keyboard,0,4494_ps_dnn_0_keyboard_10_n04505470_4795.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,15,NaN,bottle,keyboard,0,4495_ps_dnn_0_keyboard_10_n03085013_8157.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,16,NaN,clock,keyboard,0,4496_ps_dnn_0_keyboard_10_n04505470_4535.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,17,NaN,knife,keyboard,0,4497_ps_dnn_0_keyboard_10_n04505470_8822.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,18,NaN,clock,keyboard,0,4498_ps_dnn_0_keyboard_10_n03085013_20727.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,19,NaN,clock,keyboard,0,4499_ps_dnn_0_keyboard_10_n03085013_23790.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,20,NaN,clock,keyboard,0,4500_ps_dnn_0_keyboard_10_n03085013_20515.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,21,NaN,clock,elephant,0,4501_ps_dnn_0_elephant_10_n02504013_8572.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,22,NaN,clock,elephant,0,4502_ps_dnn_0_elephant_10_n02504458_7845.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,23,NaN,clock,elephant,0,4503_ps_dnn_0_elephant_10_n02504013_3172.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,24,NaN,clock,elephant,0,4504_ps_dnn_0_elephant_10_n02504013_10097.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,25,NaN,clock,elephant,0,4505_ps_dnn_0_elephant_10_n02504458_6437.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,26,NaN,knife,elephant,0,4506_ps_dnn_0_elephant_10_n02504013_344.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,27,NaN,clock,elephant,0,4507_ps_dnn_0_elephant_10_n02504013_22099.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,28,NaN,clock,elephant,0,4508_ps_dnn_0_elephant_10_n02504013_3969.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,29,NaN,clock,elephant,0,4509_ps_dnn_0_elephant_10_n02504458_146.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,30,NaN,clock,elephant,0,4510_ps_dnn_0_elephant_10_n02504458_3437.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,31,NaN,clock,bicycle,0,4511_ps_dnn_0_bicycle_10_n03792782_24756.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,32,NaN,knife,bicycle,0,4512_ps_dnn_0_bicycle_10_n03792782_4447.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,33,NaN,knife,bicycle,0,4513_ps_dnn_0_bicycle_10_n02835271_5986.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,34,NaN,clock,bicycle,0,4514_ps_dnn_0_bicycle_10_n03792782_20190.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,35,NaN,clock,bicycle,0,4515_ps_dnn_0_bicycle_10_n02835271_21043.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,36,NaN,knife,bicycle,0,4516_ps_dnn_0_bicycle_10_n03792782_5532.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,37,NaN,clock,bicycle,0,4517_ps_dnn_0_bicycle_10_n03792782_15427.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,38,NaN,clock,bicycle,0,4518_ps_dnn_0_bicycle_10_n03792782_5232.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,39,NaN,clock,bicycle,0,4519_ps_dnn_0_bicycle_10_n03792782_42780.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,40,NaN,knife,bicycle,0,4520_ps_dnn_0_bicycle_10_n03792782_242.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,41,NaN,clock,airplane,0,4521_ps_dnn_0_airplane_10_n02690373_4507.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,42,NaN,clock,airplane,0,4522_ps_dnn_0_airplane_10_n02690373_4921.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,43,NaN,clock,airplane,0,4523_ps_dnn_0_airplane_10_n02690373_5587.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,44,NaN,clock,airplane,0,4524_ps_dnn_0_airplane_10_n02690373_2561.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,45,NaN,clock,airplane,0,4525_ps_dnn_0_airplane_10_n02690373_8711.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,46,NaN,clock,airplane,0,4526_ps_dnn_0_airplane_10_n02690373_1416.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,47,NaN,clock,airplane,0,4527_ps_dnn_0_airplane_10_n02690373_20074.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,48,NaN,clock,airplane,0,4528_ps_dnn_0_airplane_10_n02690373_13617.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,49,NaN,clock,airplane,0,4529_ps_dnn_0_airplane_10_n02690373_8789.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,50,NaN,bird,airplane,0,4530_ps_dnn_0_airplane_10_n02690373_8872.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,51,NaN,clock,clock,0,4531_ps_dnn_0_clock_10_n02708093_623.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,52,NaN,clock,clock,0,4532_ps_dnn_0_clock_10_n03196217_5618.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,53,NaN,clock,clock,0,4533_ps_dnn_0_clock_10_n02708093_4255.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,54,NaN,clock,clock,0,4534_ps_dnn_0_clock_10_n03196217_4834.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,55,NaN,clock,clock,0,4535_ps_dnn_0_clock_10_n03196217_1430.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,56,NaN,clock,clock,0,4536_ps_dnn_0_clock_10_n04548280_2045.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,57,NaN,clock,clock,0,4537_ps_dnn_0_clock_10_n04548280_4441.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,58,NaN,clock,clock,0,4538_ps_dnn_0_clock_10_n04548280_5798.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,59,NaN,clock,clock,0,4539_ps_dnn_0_clock_10_n04548280_2455.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,60,NaN,clock,clock,0,4540_ps_dnn_0_clock_10_n04548280_2937.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,61,NaN,clock,oven,0,4541_ps_dnn_0_oven_10_n04111531_7625.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,62,NaN,clock,oven,0,4542_ps_dnn_0_oven_10_n04111531_2456.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,63,NaN,clock,oven,0,4543_ps_dnn_0_oven_10_n04111531_7664.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,64,NaN,knife,oven,0,4544_ps_dnn_0_oven_10_n04111531_8077.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,65,NaN,clock,oven,0,4545_ps_dnn_0_oven_10_n04111531_7050.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,66,NaN,clock,oven,0,4546_ps_dnn_0_oven_10_n04111531_1723.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,67,NaN,clock,oven,0,4547_ps_dnn_0_oven_10_n04111531_12408.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,68,NaN,clock,oven,0,4548_ps_dnn_0_oven_10_n04111531_6704.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,69,NaN,clock,oven,0,4549_ps_dnn_0_oven_10_n04111531_13354.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,70,NaN,clock,oven,0,4550_ps_dnn_0_oven_10_n04111531_3580.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,71,NaN,clock,chair,0,4551_ps_dnn_0_chair_10_n02791124_2606.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,72,NaN,clock,chair,0,4552_ps_dnn_0_chair_10_n02791124_9918.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,73,NaN,clock,chair,0,4553_ps_dnn_0_chair_10_n04429376_4254.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,74,NaN,clock,chair,0,4554_ps_dnn_0_chair_10_n04429376_5067.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,75,NaN,clock,chair,0,4555_ps_dnn_0_chair_10_n04429376_3620.png
sixteen22--salt-and-pepper-noise-multiple--uniform-noise-multiple--200epochs,5,76,NaN,clock,chair,0,4556_ps_dnn_0_chair_10_n02791124_1463.png
