subj,session,trial,rt,object_response,category,condition,imagename
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,1,NaN,knife,knife,0,3361_ps_dnn_0_knife_10_n03041632_5302.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,2,NaN,knife,knife,0,3362_ps_dnn_0_knife_10_n03041632_18863.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,3,NaN,knife,knife,0,3363_ps_dnn_0_knife_10_n03041632_27848.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,4,NaN,knife,knife,0,3364_ps_dnn_0_knife_10_n03041632_11700.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,5,NaN,knife,knife,0,3365_ps_dnn_0_knife_10_n03041632_98864.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,6,NaN,knife,knife,0,3366_ps_dnn_0_knife_10_n03041632_29684.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,7,NaN,airplane,knife,0,3367_ps_dnn_0_knife_10_n03041632_9635.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,8,NaN,knife,knife,0,3368_ps_dnn_0_knife_10_n03041632_18468.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,9,NaN,knife,knife,0,3369_ps_dnn_0_knife_10_n03041632_927.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,10,NaN,knife,knife,0,3370_ps_dnn_0_knife_10_n03041632_1671.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,11,NaN,keyboard,keyboard,0,3371_ps_dnn_0_keyboard_10_n04505470_4575.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,12,NaN,keyboard,keyboard,0,3372_ps_dnn_0_keyboard_10_n04505470_1096.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,13,NaN,keyboard,keyboard,0,3373_ps_dnn_0_keyboard_10_n03085013_22744.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,14,NaN,keyboard,keyboard,0,3374_ps_dnn_0_keyboard_10_n04505470_3566.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,15,NaN,keyboard,keyboard,0,3375_ps_dnn_0_keyboard_10_n03085013_23268.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,16,NaN,keyboard,keyboard,0,3376_ps_dnn_0_keyboard_10_n04505470_10697.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,17,NaN,keyboard,keyboard,0,3377_ps_dnn_0_keyboard_10_n04505470_4362.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,18,NaN,keyboard,keyboard,0,3378_ps_dnn_0_keyboard_10_n04505470_147.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,19,NaN,keyboard,keyboard,0,3379_ps_dnn_0_keyboard_10_n03085013_3204.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,20,NaN,keyboard,keyboard,0,3380_ps_dnn_0_keyboard_10_n03085013_15825.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,21,NaN,elephant,elephant,0,3381_ps_dnn_0_elephant_10_n02504013_5615.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,22,NaN,elephant,elephant,0,3382_ps_dnn_0_elephant_10_n02504458_224.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,23,NaN,elephant,elephant,0,3383_ps_dnn_0_elephant_10_n02504013_6660.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,24,NaN,elephant,elephant,0,3384_ps_dnn_0_elephant_10_n02504013_9678.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,25,NaN,elephant,elephant,0,3385_ps_dnn_0_elephant_10_n02504458_7084.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,26,NaN,elephant,elephant,0,3386_ps_dnn_0_elephant_10_n02504013_3847.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,4,27,NaN,elephant,elephant,0,3387_ps_dnn_0_elephant_10_n02504013_2796.png
