subj,session,trial,rt,object_response,category,condition,imagename
specialised,3,1,,knife,knife,0,2241_ps_dnn_0_knife_10_n03041632_3717.png
specialised,3,2,,knife,knife,0,2242_ps_dnn_0_knife_10_n03041632_9406.png
specialised,3,3,,knife,knife,0,2243_ps_dnn_0_knife_10_n03041632_379.png
specialised,3,4,,knife,knife,0,2244_ps_dnn_0_knife_10_n03041632_30079.png
specialised,3,5,,knife,knife,0,2245_ps_dnn_0_knife_10_n03041632_10777.png
specialised,3,6,,clock,knife,0,2246_ps_dnn_0_knife_10_n03041632_31483.png
specialised,3,7,,knife,knife,0,2247_ps_dnn_0_knife_10_n03041632_36390.png
specialised,3,8,,bottle,knife,0,2248_ps_dnn_0_knife_10_n03041632_24060.png
specialised,3,9,,knife,knife,0,2249_ps_dnn_0_knife_10_n03041632_21345.png
specialised,3,10,,knife,knife,0,2250_ps_dnn_0_knife_10_n03041632_33268.png
specialised,3,11,,keyboard,keyboard,0,2251_ps_dnn_0_keyboard_10_n03085013_24455.png
specialised,3,12,,keyboard,keyboard,0,2252_ps_dnn_0_keyboard_10_n04505470_4173.png
specialised,3,13,,keyboard,keyboard,0,2253_ps_dnn_0_keyboard_10_n04505470_5050.png
specialised,3,14,,keyboard,keyboard,0,2254_ps_dnn_0_keyboard_10_n03085013_24206.png
specialised,3,15,,keyboard,keyboard,0,2255_ps_dnn_0_keyboard_10_n03085013_20330.png
specialised,3,16,,keyboard,keyboard,0,2256_ps_dnn_0_keyboard_10_n04505470_5171.png
specialised,3,17,,keyboard,keyboard,0,2257_ps_dnn_0_keyboard_10_n04505470_6884.png
specialised,3,18,,keyboard,keyboard,0,2258_ps_dnn_0_keyboard_10_n03085013_8364.png
specialised,3,19,,keyboard,keyboard,0,2259_ps_dnn_0_keyboard_10_n04505470_4603.png
specialised,3,20,,keyboard,keyboard,0,2260_ps_dnn_0_keyboard_10_n03085013_7858.png
specialised,3,21,,elephant,elephant,0,2261_ps_dnn_0_elephant_10_n02504458_6059.png
specialised,3,22,,elephant,elephant,0,2262_ps_dnn_0_elephant_10_n02504013_242.png
specialised,3,23,,elephant,elephant,0,2263_ps_dnn_0_elephant_10_n02504013_11144.png
specialised,3,24,,elephant,elephant,0,2264_ps_dnn_0_elephant_10_n02504013_1214.png
specialised,3,25,,elephant,elephant,0,2265_ps_dnn_0_elephant_10_n02504013_14948.png
specialised,3,26,,elephant,elephant,0,2266_ps_dnn_0_elephant_10_n02504458_12303.png
specialised,3,27,,elephant,elephant,0,2267_ps_dnn_0_elephant_10_n02504013_2332.png
specialised,3,28,,oven,elephant,0,2268_ps_dnn_0_elephant_10_n02504458_3762.png
specialised,3,29,,elephant,elephant,0,2269_ps_dnn_0_elephant_10_n02504458_1127.png
specialised,3,30,,elephant,elephant,0,2270_ps_dnn_0_elephant_10_n02504013_5837.png
specialised,3,31,,bicycle,bicycle,0,2271_ps_dnn_0_bicycle_10_n02835271_672.png
specialised,3,32,,bicycle,bicycle,0,2272_ps_dnn_0_bicycle_10_n03792782_20193.png
specialised,3,33,,bicycle,bicycle,0,2273_ps_dnn_0_bicycle_10_n02835271_16130.png
specialised,3,34,,bicycle,bicycle,0,2274_ps_dnn_0_bicycle_10_n02835271_7823.png
specialised,3,35,,bicycle,bicycle,0,2275_ps_dnn_0_bicycle_10_n02835271_13164.png
specialised,3,36,,bicycle,bicycle,0,2276_ps_dnn_0_bicycle_10_n02835271_18171.png
specialised,3,37,,bicycle,bicycle,0,2277_ps_dnn_0_bicycle_10_n03792782_17430.png
specialised,3,38,,bicycle,bicycle,0,2278_ps_dnn_0_bicycle_10_n02835271_23680.png
specialised,3,39,,bicycle,bicycle,0,2279_ps_dnn_0_bicycle_10_n02835271_759.png
specialised,3,40,,bicycle,bicycle,0,2280_ps_dnn_0_bicycle_10_n02835271_840.png
specialised,3,41,,airplane,airplane,0,2281_ps_dnn_0_airplane_10_n02690373_7473.png
specialised,3,42,,airplane,airplane,0,2282_ps_dnn_0_airplane_10_n02690373_4119.png
specialised,3,43,,airplane,airplane,0,2283_ps_dnn_0_airplane_10_n02690373_1053.png
specialised,3,44,,airplane,airplane,0,2284_ps_dnn_0_airplane_10_n02690373_1983.png
specialised,3,45,,airplane,airplane,0,2285_ps_dnn_0_airplane_10_n02690373_4895.png
specialised,3,46,,airplane,airplane,0,2286_ps_dnn_0_airplane_10_n02690373_10278.png
specialised,3,47,,airplane,airplane,0,2287_ps_dnn_0_airplane_10_n02690373_17157.png
specialised,3,48,,airplane,airplane,0,2288_ps_dnn_0_airplane_10_n02690373_3400.png
specialised,3,49,,airplane,airplane,0,2289_ps_dnn_0_airplane_10_n02690373_7600.png
specialised,3,50,,airplane,airplane,0,2290_ps_dnn_0_airplane_10_n02690373_5342.png
specialised,3,51,,clock,clock,0,2291_ps_dnn_0_clock_10_n04548280_3080.png
specialised,3,52,,clock,clock,0,2292_ps_dnn_0_clock_10_n04548280_9743.png
specialised,3,53,,clock,clock,0,2293_ps_dnn_0_clock_10_n03196217_7741.png
specialised,3,54,,clock,clock,0,2294_ps_dnn_0_clock_10_n04548280_821.png
specialised,3,55,,clock,clock,0,2295_ps_dnn_0_clock_10_n04548280_9426.png
specialised,3,56,,cat,clock,0,2296_ps_dnn_0_clock_10_n04548280_9011.png
specialised,3,57,,clock,clock,0,2297_ps_dnn_0_clock_10_n02708093_1134.png
specialised,3,58,,clock,clock,0,2298_ps_dnn_0_clock_10_n03196217_3007.png
specialised,3,59,,clock,clock,0,2299_ps_dnn_0_clock_10_n04548280_2946.png
specialised,3,60,,clock,clock,0,2300_ps_dnn_0_clock_10_n04548280_3171.png
specialised,3,61,,oven,oven,0,2301_ps_dnn_0_oven_10_n04111531_5038.png
specialised,3,62,,oven,oven,0,2302_ps_dnn_0_oven_10_n04111531_17923.png
specialised,3,63,,oven,oven,0,2303_ps_dnn_0_oven_10_n04111531_4785.png
specialised,3,64,,oven,oven,0,2304_ps_dnn_0_oven_10_n04111531_1662.png
specialised,3,65,,oven,oven,0,2305_ps_dnn_0_oven_10_n04111531_9210.png
specialised,3,66,,oven,oven,0,2306_ps_dnn_0_oven_10_n04111531_6474.png
specialised,3,67,,oven,oven,0,2307_ps_dnn_0_oven_10_n04111531_13691.png
specialised,3,68,,oven,oven,0,2308_ps_dnn_0_oven_10_n04111531_10884.png
specialised,3,69,,oven,oven,0,2309_ps_dnn_0_oven_10_n04111531_3204.png
specialised,3,70,,oven,oven,0,2310_ps_dnn_0_oven_10_n04111531_1439.png
specialised,3,71,,chair,chair,0,2311_ps_dnn_0_chair_10_n04429376_1326.png
specialised,3,72,,chair,chair,0,2312_ps_dnn_0_chair_10_n02791124_1737.png
specialised,3,73,,chair,chair,0,2313_ps_dnn_0_chair_10_n02791124_15902.png
specialised,3,74,,chair,chair,0,2314_ps_dnn_0_chair_10_n03376595_369.png
specialised,3,75,,chair,chair,0,2315_ps_dnn_0_chair_10_n03376595_9007.png
