subj,session,trial,rt,object_response,category,condition,imagename
all-noise,6,1,,knife,knife,0,6401_rot_dnn_0_knife_20_n03041632_33326.png
all-noise,6,2,,knife,knife,0,6402_rot_dnn_0_knife_20_n03041632_13612.png
all-noise,6,3,,knife,knife,0,6403_rot_dnn_0_knife_20_n03041632_21859.png
all-noise,6,4,,knife,knife,0,6404_rot_dnn_0_knife_20_n03041632_22734.png
all-noise,6,5,,knife,knife,0,6405_rot_dnn_0_knife_20_n03041632_93026.png
all-noise,6,6,,knife,knife,0,6406_rot_dnn_0_knife_20_n03041632_19620.png
all-noise,6,7,,knife,knife,0,6407_rot_dnn_0_knife_20_n03041632_10109.png
all-noise,6,8,,knife,knife,0,6408_rot_dnn_0_knife_20_n03041632_27929.png
all-noise,6,9,,knife,knife,0,6409_rot_dnn_0_knife_20_n03041632_42162.png
all-noise,6,10,,knife,knife,0,6410_rot_dnn_0_knife_20_n03041632_25512.png
all-noise,6,11,,knife,knife,0,6411_rot_dnn_0_knife_20_n03041632_5801.png
all-noise,6,12,,knife,knife,0,6412_rot_dnn_0_knife_20_n03041632_39883.png
all-noise,6,13,,knife,knife,0,6413_rot_dnn_0_knife_20_n03041632_47743.png
all-noise,6,14,,knife,knife,0,6414_rot_dnn_0_knife_20_n03041632_84012.png
all-noise,6,15,,knife,knife,0,6415_rot_dnn_0_knife_20_n03041632_12707.png
all-noise,6,16,,knife,knife,0,6416_rot_dnn_0_knife_20_n03041632_3005.png
all-noise,6,17,,knife,knife,0,6417_rot_dnn_0_knife_20_n03041632_19571.png
all-noise,6,18,,knife,knife,0,6418_rot_dnn_0_knife_20_n03041632_11816.png
all-noise,6,19,,knife,knife,0,6419_rot_dnn_0_knife_20_n03041632_6446.png
all-noise,6,20,,knife,knife,0,6420_rot_dnn_0_knife_20_n03041632_26405.png
all-noise,6,21,,keyboard,keyboard,0,6421_rot_dnn_0_keyboard_20_n03085013_14764.png
all-noise,6,22,,keyboard,keyboard,0,6422_rot_dnn_0_keyboard_20_n03085013_15785.png
all-noise,6,23,,keyboard,keyboard,0,6423_rot_dnn_0_keyboard_20_n03085013_24653.png
all-noise,6,24,,keyboard,keyboard,0,6424_rot_dnn_0_keyboard_20_n03085013_1824.png
all-noise,6,25,,keyboard,keyboard,0,6425_rot_dnn_0_keyboard_20_n03085013_22260.png
all-noise,6,26,,keyboard,keyboard,0,6426_rot_dnn_0_keyboard_20_n04505470_3675.png
all-noise,6,27,,keyboard,keyboard,0,6427_rot_dnn_0_keyboard_20_n03085013_4156.png
all-noise,6,28,,keyboard,keyboard,0,6428_rot_dnn_0_keyboard_20_n03085013_24284.png
all-noise,6,29,,keyboard,keyboard,0,6429_rot_dnn_0_keyboard_20_n03085013_24462.png
all-noise,6,30,,keyboard,keyboard,0,6430_rot_dnn_0_keyboard_20_n04505470_1649.png
all-noise,6,31,,keyboard,keyboard,0,6431_rot_dnn_0_keyboard_20_n04505470_4764.png
all-noise,6,32,,keyboard,keyboard,0,6432_rot_dnn_0_keyboard_20_n04505470_550.png
all-noise,6,33,,keyboard,keyboard,0,6433_rot_dnn_0_keyboard_20_n03085013_11399.png
all-noise,6,34,,keyboard,keyboard,0,6434_rot_dnn_0_keyboard_20_n03085013_24295.png
all-noise,6,35,,keyboard,keyboard,0,6435_rot_dnn_0_keyboard_20_n04505470_4454.png
all-noise,6,36,,keyboard,keyboard,0,6436_rot_dnn_0_keyboard_20_n03085013_21507.png
all-noise,6,37,,keyboard,keyboard,0,6437_rot_dnn_0_keyboard_20_n03085013_20462.png
all-noise,6,38,,keyboard,keyboard,0,6438_rot_dnn_0_keyboard_20_n03085013_11854.png
all-noise,6,39,,keyboard,keyboard,0,6439_rot_dnn_0_keyboard_20_n03085013_23187.png
all-noise,6,40,,keyboard,keyboard,0,6440_rot_dnn_0_keyboard_20_n03085013_19096.png
all-noise,6,41,,elephant,elephant,0,6441_rot_dnn_0_elephant_20_n02504458_6348.png
all-noise,6,42,,elephant,elephant,0,6442_rot_dnn_0_elephant_20_n02504013_1382.png
all-noise,6,43,,elephant,elephant,0,6443_rot_dnn_0_elephant_20_n02504013_1921.png
all-noise,6,44,,elephant,elephant,0,6444_rot_dnn_0_elephant_20_n02504458_1304.png
all-noise,6,45,,elephant,elephant,0,6445_rot_dnn_0_elephant_20_n02504013_3511.png
all-noise,6,46,,elephant,elephant,0,6446_rot_dnn_0_elephant_20_n02504013_24217.png
all-noise,6,47,,elephant,elephant,0,6447_rot_dnn_0_elephant_20_n02504458_5875.png
all-noise,6,48,,elephant,elephant,0,6448_rot_dnn_0_elephant_20_n02504013_8162.png
all-noise,6,49,,elephant,elephant,0,6449_rot_dnn_0_elephant_20_n02504013_2856.png
all-noise,6,50,,elephant,elephant,0,6450_rot_dnn_0_elephant_20_n02504458_1705.png
all-noise,6,51,,elephant,elephant,0,6451_rot_dnn_0_elephant_20_n02504013_23660.png
all-noise,6,52,,elephant,elephant,0,6452_rot_dnn_0_elephant_20_n02504013_2095.png
all-noise,6,53,,boat,elephant,0,6453_rot_dnn_0_elephant_20_n02504458_5882.png
all-noise,6,54,,elephant,elephant,0,6454_rot_dnn_0_elephant_20_n02504458_13352.png
all-noise,6,55,,elephant,elephant,0,6455_rot_dnn_0_elephant_20_n02504458_1190.png
all-noise,6,56,,elephant,elephant,0,6456_rot_dnn_0_elephant_20_n02504458_1179.png
all-noise,6,57,,elephant,elephant,0,6457_rot_dnn_0_elephant_20_n02504013_1669.png
all-noise,6,58,,bottle,elephant,0,6458_rot_dnn_0_elephant_20_n02504458_1351.png
all-noise,6,59,,elephant,elephant,0,6459_rot_dnn_0_elephant_20_n02504013_1364.png
all-noise,6,60,,elephant,elephant,0,6460_rot_dnn_0_elephant_20_n02504458_1644.png
all-noise,6,61,,bicycle,bicycle,0,6461_rot_dnn_0_bicycle_20_n02835271_5373.png
all-noise,6,62,,bicycle,bicycle,0,6462_rot_dnn_0_bicycle_20_n02835271_29266.png
all-noise,6,63,,bicycle,bicycle,0,6463_rot_dnn_0_bicycle_20_n02835271_7685.png
all-noise,6,64,,bicycle,bicycle,0,6464_rot_dnn_0_bicycle_20_n02835271_7129.png
all-noise,6,65,,bicycle,bicycle,0,6465_rot_dnn_0_bicycle_20_n03792782_4516.png
all-noise,6,66,,bicycle,bicycle,0,6466_rot_dnn_0_bicycle_20_n03792782_59381.png
all-noise,6,67,,bicycle,bicycle,0,6467_rot_dnn_0_bicycle_20_n03792782_3754.png
all-noise,6,68,,bicycle,bicycle,0,6468_rot_dnn_0_bicycle_20_n03792782_8184.png
all-noise,6,69,,bicycle,bicycle,0,6469_rot_dnn_0_bicycle_20_n02835271_3383.png
all-noise,6,70,,bicycle,bicycle,0,6470_rot_dnn_0_bicycle_20_n03792782_4207.png
all-noise,6,71,,bicycle,bicycle,0,6471_rot_dnn_0_bicycle_20_n03792782_7426.png
all-noise,6,72,,bicycle,bicycle,0,6472_rot_dnn_0_bicycle_20_n03792782_5405.png
all-noise,6,73,,bicycle,bicycle,0,6473_rot_dnn_0_bicycle_20_n02835271_12039.png
all-noise,6,74,,bicycle,bicycle,0,6474_rot_dnn_0_bicycle_20_n03792782_6192.png
all-noise,6,75,,bicycle,bicycle,0,6475_rot_dnn_0_bicycle_20_n03792782_5012.png
all-noise,6,76,,bicycle,bicycle,0,6476_rot_dnn_0_bicycle_20_n03792782_15101.png
all-noise,6,77,,bicycle,bicycle,0,6477_rot_dnn_0_bicycle_20_n03792782_37236.png
all-noise,6,78,,bicycle,bicycle,0,6478_rot_dnn_0_bicycle_20_n02835271_9055.png
all-noise,6,79,,bicycle,bicycle,0,6479_rot_dnn_0_bicycle_20_n02835271_12025.png
all-noise,6,80,,bicycle,bicycle,0,6480_rot_dnn_0_bicycle_20_n02835271_14361.png
all-noise,6,81,,airplane,airplane,0,6481_rot_dnn_0_airplane_20_n02690373_6147.png
all-noise,6,82,,airplane,airplane,0,6482_rot_dnn_0_airplane_20_n02690373_7053.png
all-noise,6,83,,airplane,airplane,0,6483_rot_dnn_0_airplane_20_n02690373_4784.png
all-noise,6,84,,airplane,airplane,0,6484_rot_dnn_0_airplane_20_n02690373_3362.png
all-noise,6,85,,airplane,airplane,0,6485_rot_dnn_0_airplane_20_n02690373_10181.png
