subj,session,trial,rt,object_response,category,condition,imagename
sixteen03--uniform-noise-multiple,3,1,NaN,knife,knife,0,2561_rot_dnn_0_knife_20_n03041632_17100.png
sixteen03--uniform-noise-multiple,3,2,NaN,knife,knife,0,2562_rot_dnn_0_knife_20_n03041632_25022.png
sixteen03--uniform-noise-multiple,3,3,NaN,keyboard,knife,0,2563_rot_dnn_0_knife_20_n03041632_99799.png
sixteen03--uniform-noise-multiple,3,4,NaN,knife,knife,0,2564_rot_dnn_0_knife_20_n03041632_3159.png
sixteen03--uniform-noise-multiple,3,5,NaN,knife,knife,0,2565_rot_dnn_0_knife_20_n03041632_4975.png
sixteen03--uniform-noise-multiple,3,6,NaN,knife,knife,0,2566_rot_dnn_0_knife_20_n03041632_42156.png
sixteen03--uniform-noise-multiple,3,7,NaN,knife,knife,0,2567_rot_dnn_0_knife_20_n03041632_23968.png
sixteen03--uniform-noise-multiple,3,8,NaN,knife,knife,0,2568_rot_dnn_0_knife_20_n03041632_22286.png
sixteen03--uniform-noise-multiple,3,9,NaN,knife,knife,0,2569_rot_dnn_0_knife_20_n03041632_89391.png
sixteen03--uniform-noise-multiple,3,10,NaN,knife,knife,0,2570_rot_dnn_0_knife_20_n03041632_26933.png
sixteen03--uniform-noise-multiple,3,11,NaN,knife,knife,0,2571_rot_dnn_0_knife_20_n03041632_4806.png
sixteen03--uniform-noise-multiple,3,12,NaN,clock,knife,0,2572_rot_dnn_0_knife_20_n03041632_17338.png
sixteen03--uniform-noise-multiple,3,13,NaN,knife,knife,0,2573_rot_dnn_0_knife_20_n03041632_29355.png
sixteen03--uniform-noise-multiple,3,14,NaN,knife,knife,0,2574_rot_dnn_0_knife_20_n03041632_94995.png
sixteen03--uniform-noise-multiple,3,15,NaN,knife,knife,0,2575_rot_dnn_0_knife_20_n03041632_737.png
sixteen03--uniform-noise-multiple,3,16,NaN,knife,knife,0,2576_rot_dnn_0_knife_20_n03041632_13518.png
sixteen03--uniform-noise-multiple,3,17,NaN,knife,knife,0,2577_rot_dnn_0_knife_20_n03041632_30565.png
sixteen03--uniform-noise-multiple,3,18,NaN,knife,knife,0,2578_rot_dnn_0_knife_20_n03041632_50332.png
sixteen03--uniform-noise-multiple,3,19,NaN,knife,knife,0,2579_rot_dnn_0_knife_20_n03041632_84048.png
sixteen03--uniform-noise-multiple,3,20,NaN,oven,knife,0,2580_rot_dnn_0_knife_20_n03041632_8151.png
sixteen03--uniform-noise-multiple,3,21,NaN,knife,keyboard,0,2581_rot_dnn_0_keyboard_20_n04505470_5021.png
sixteen03--uniform-noise-multiple,3,22,NaN,knife,keyboard,0,2582_rot_dnn_0_keyboard_20_n03085013_5568.png
sixteen03--uniform-noise-multiple,3,23,NaN,knife,keyboard,0,2583_rot_dnn_0_keyboard_20_n03085013_4053.png
sixteen03--uniform-noise-multiple,3,24,NaN,knife,keyboard,0,2584_rot_dnn_0_keyboard_20_n03085013_21231.png
sixteen03--uniform-noise-multiple,3,25,NaN,knife,keyboard,0,2585_rot_dnn_0_keyboard_20_n03085013_30166.png
sixteen03--uniform-noise-multiple,3,26,NaN,clock,keyboard,0,2586_rot_dnn_0_keyboard_20_n03085013_30660.png
sixteen03--uniform-noise-multiple,3,27,NaN,knife,keyboard,0,2587_rot_dnn_0_keyboard_20_n03085013_21973.png
sixteen03--uniform-noise-multiple,3,28,NaN,knife,keyboard,0,2588_rot_dnn_0_keyboard_20_n04505470_10722.png
sixteen03--uniform-noise-multiple,3,29,NaN,knife,keyboard,0,2589_rot_dnn_0_keyboard_20_n03085013_1984.png
sixteen03--uniform-noise-multiple,3,30,NaN,knife,keyboard,0,2590_rot_dnn_0_keyboard_20_n03085013_23800.png
sixteen03--uniform-noise-multiple,3,31,NaN,knife,keyboard,0,2591_rot_dnn_0_keyboard_20_n04505470_6601.png
sixteen03--uniform-noise-multiple,3,32,NaN,knife,keyboard,0,2592_rot_dnn_0_keyboard_20_n03085013_21488.png
sixteen03--uniform-noise-multiple,3,33,NaN,chair,keyboard,0,2593_rot_dnn_0_keyboard_20_n04505470_850.png
sixteen03--uniform-noise-multiple,3,34,NaN,knife,keyboard,0,2594_rot_dnn_0_keyboard_20_n04505470_3929.png
sixteen03--uniform-noise-multiple,3,35,NaN,knife,keyboard,0,2595_rot_dnn_0_keyboard_20_n04505470_788.png
sixteen03--uniform-noise-multiple,3,36,NaN,knife,keyboard,0,2596_rot_dnn_0_keyboard_20_n04505470_207.png
sixteen03--uniform-noise-multiple,3,37,NaN,knife,keyboard,0,2597_rot_dnn_0_keyboard_20_n04505470_6864.png
sixteen03--uniform-noise-multiple,3,38,NaN,knife,keyboard,0,2598_rot_dnn_0_keyboard_20_n04505470_8244.png
sixteen03--uniform-noise-multiple,3,39,NaN,knife,keyboard,0,2599_rot_dnn_0_keyboard_20_n04505470_1435.png
sixteen03--uniform-noise-multiple,3,40,NaN,knife,keyboard,0,2600_rot_dnn_0_keyboard_20_n03085013_23693.png
sixteen03--uniform-noise-multiple,3,41,NaN,knife,elephant,0,2601_rot_dnn_0_elephant_20_n02504458_2946.png
sixteen03--uniform-noise-multiple,3,42,NaN,knife,elephant,0,2602_rot_dnn_0_elephant_20_n02504013_4762.png
sixteen03--uniform-noise-multiple,3,43,NaN,knife,elephant,0,2603_rot_dnn_0_elephant_20_n02504458_2794.png
sixteen03--uniform-noise-multiple,3,44,NaN,knife,elephant,0,2604_rot_dnn_0_elephant_20_n02504013_2316.png
sixteen03--uniform-noise-multiple,3,45,NaN,knife,elephant,0,2605_rot_dnn_0_elephant_20_n02504013_10410.png
sixteen03--uniform-noise-multiple,3,46,NaN,knife,elephant,0,2606_rot_dnn_0_elephant_20_n02504013_4023.png
sixteen03--uniform-noise-multiple,3,47,NaN,knife,elephant,0,2607_rot_dnn_0_elephant_20_n02504458_2613.png
sixteen03--uniform-noise-multiple,3,48,NaN,knife,elephant,0,2608_rot_dnn_0_elephant_20_n02504458_8084.png
sixteen03--uniform-noise-multiple,3,49,NaN,knife,elephant,0,2609_rot_dnn_0_elephant_20_n02504013_8418.png
sixteen03--uniform-noise-multiple,3,50,NaN,knife,elephant,0,2610_rot_dnn_0_elephant_20_n02504458_4811.png
sixteen03--uniform-noise-multiple,3,51,NaN,knife,elephant,0,2611_rot_dnn_0_elephant_20_n02504013_645.png
sixteen03--uniform-noise-multiple,3,52,NaN,knife,elephant,0,2612_rot_dnn_0_elephant_20_n02504458_5598.png
sixteen03--uniform-noise-multiple,3,53,NaN,clock,elephant,0,2613_rot_dnn_0_elephant_20_n02504458_361.png
sixteen03--uniform-noise-multiple,3,54,NaN,knife,elephant,0,2614_rot_dnn_0_elephant_20_n02504013_16513.png
sixteen03--uniform-noise-multiple,3,55,NaN,knife,elephant,0,2615_rot_dnn_0_elephant_20_n02504458_11130.png
sixteen03--uniform-noise-multiple,3,56,NaN,knife,elephant,0,2616_rot_dnn_0_elephant_20_n02504013_4153.png
sixteen03--uniform-noise-multiple,3,57,NaN,knife,elephant,0,2617_rot_dnn_0_elephant_20_n02504458_7966.png
sixteen03--uniform-noise-multiple,3,58,NaN,knife,elephant,0,2618_rot_dnn_0_elephant_20_n02504013_5948.png
sixteen03--uniform-noise-multiple,3,59,NaN,knife,elephant,0,2619_rot_dnn_0_elephant_20_n02504013_10311.png
sixteen03--uniform-noise-multiple,3,60,NaN,knife,elephant,0,2620_rot_dnn_0_elephant_20_n02504013_6780.png
sixteen03--uniform-noise-multiple,3,61,NaN,knife,bicycle,0,2621_rot_dnn_0_bicycle_20_n02835271_4963.png
sixteen03--uniform-noise-multiple,3,62,NaN,clock,bicycle,0,2622_rot_dnn_0_bicycle_20_n03792782_17018.png
sixteen03--uniform-noise-multiple,3,63,NaN,knife,bicycle,0,2623_rot_dnn_0_bicycle_20_n02835271_950.png
sixteen03--uniform-noise-multiple,3,64,NaN,knife,bicycle,0,2624_rot_dnn_0_bicycle_20_n02835271_1897.png
sixteen03--uniform-noise-multiple,3,65,NaN,knife,bicycle,0,2625_rot_dnn_0_bicycle_20_n03792782_380.png
sixteen03--uniform-noise-multiple,3,66,NaN,knife,bicycle,0,2626_rot_dnn_0_bicycle_20_n03792782_68417.png
sixteen03--uniform-noise-multiple,3,67,NaN,knife,bicycle,0,2627_rot_dnn_0_bicycle_20_n03792782_40754.png
sixteen03--uniform-noise-multiple,3,68,NaN,knife,bicycle,0,2628_rot_dnn_0_bicycle_20_n02835271_25123.png
sixteen03--uniform-noise-multiple,3,69,NaN,knife,bicycle,0,2629_rot_dnn_0_bicycle_20_n03792782_347.png
sixteen03--uniform-noise-multiple,3,70,NaN,knife,bicycle,0,2630_rot_dnn_0_bicycle_20_n03792782_9156.png
sixteen03--uniform-noise-multiple,3,71,NaN,knife,bicycle,0,2631_rot_dnn_0_bicycle_20_n02835271_6930.png
sixteen03--uniform-noise-multiple,3,72,NaN,clock,bicycle,0,2632_rot_dnn_0_bicycle_20_n02835271_9097.png
sixteen03--uniform-noise-multiple,3,73,NaN,knife,bicycle,0,2633_rot_dnn_0_bicycle_20_n02835271_8287.png
sixteen03--uniform-noise-multiple,3,74,NaN,knife,bicycle,0,2634_rot_dnn_0_bicycle_20_n02835271_14324.png
sixteen03--uniform-noise-multiple,3,75,NaN,knife,bicycle,0,2635_rot_dnn_0_bicycle_20_n03792782_1778.png
sixteen03--uniform-noise-multiple,3,76,NaN,clock,bicycle,0,2636_rot_dnn_0_bicycle_20_n03792782_7578.png
sixteen03--uniform-noise-multiple,3,77,NaN,knife,bicycle,0,2637_rot_dnn_0_bicycle_20_n02835271_9410.png
sixteen03--uniform-noise-multiple,3,78,NaN,knife,bicycle,0,2638_rot_dnn_0_bicycle_20_n02835271_9670.png
sixteen03--uniform-noise-multiple,3,79,NaN,knife,bicycle,0,2639_rot_dnn_0_bicycle_20_n02835271_1284.png
sixteen03--uniform-noise-multiple,3,80,NaN,knife,bicycle,0,2640_rot_dnn_0_bicycle_20_n03792782_9782.png
sixteen03--uniform-noise-multiple,3,81,NaN,knife,airplane,0,2641_rot_dnn_0_airplane_20_n02690373_2619.png
sixteen03--uniform-noise-multiple,3,82,NaN,clock,airplane,0,2642_rot_dnn_0_airplane_20_n02690373_6929.png
sixteen03--uniform-noise-multiple,3,83,NaN,knife,airplane,0,2643_rot_dnn_0_airplane_20_n02690373_1229.png
sixteen03--uniform-noise-multiple,3,84,NaN,clock,airplane,0,2644_rot_dnn_0_airplane_20_n02690373_3874.png
sixteen03--uniform-noise-multiple,3,85,NaN,clock,airplane,0,2645_rot_dnn_0_airplane_20_n02690373_18845.png
sixteen03--uniform-noise-multiple,3,86,NaN,knife,airplane,0,2646_rot_dnn_0_airplane_20_n02690373_4793.png
sixteen03--uniform-noise-multiple,3,87,NaN,knife,airplane,0,2647_rot_dnn_0_airplane_20_n02690373_4320.png
sixteen03--uniform-noise-multiple,3,88,NaN,knife,airplane,0,2648_rot_dnn_0_airplane_20_n02690373_18234.png
sixteen03--uniform-noise-multiple,3,89,NaN,knife,airplane,0,2649_rot_dnn_0_airplane_20_n02690373_2923.png
sixteen03--uniform-noise-multiple,3,90,NaN,knife,airplane,0,2650_rot_dnn_0_airplane_20_n02690373_2498.png
sixteen03--uniform-noise-multiple,3,91,NaN,clock,airplane,0,2651_rot_dnn_0_airplane_20_n02690373_3736.png
sixteen03--uniform-noise-multiple,3,92,NaN,clock,airplane,0,2652_rot_dnn_0_airplane_20_n02690373_4617.png
sixteen03--uniform-noise-multiple,3,93,NaN,knife,airplane,0,2653_rot_dnn_0_airplane_20_n02690373_3821.png
sixteen03--uniform-noise-multiple,3,94,NaN,knife,airplane,0,2654_rot_dnn_0_airplane_20_n02690373_5992.png
sixteen03--uniform-noise-multiple,3,95,NaN,knife,airplane,0,2655_rot_dnn_0_airplane_20_n02690373_4818.png
sixteen03--uniform-noise-multiple,3,96,NaN,knife,airplane,0,2656_rot_dnn_0_airplane_20_n02690373_7409.png
sixteen03--uniform-noise-multiple,3,97,NaN,knife,airplane,0,2657_rot_dnn_0_airplane_20_n02690373_1434.png
sixteen03--uniform-noise-multiple,3,98,NaN,knife,airplane,0,2658_rot_dnn_0_airplane_20_n02690373_9317.png
sixteen03--uniform-noise-multiple,3,99,NaN,clock,airplane,0,2659_rot_dnn_0_airplane_20_n02690373_10481.png
sixteen03--uniform-noise-multiple,3,100,NaN,knife,airplane,0,2660_rot_dnn_0_airplane_20_n02690373_4714.png
sixteen03--uniform-noise-multiple,3,101,NaN,clock,clock,0,2661_rot_dnn_0_clock_20_n02708093_2806.png
sixteen03--uniform-noise-multiple,3,102,NaN,knife,clock,0,2662_rot_dnn_0_clock_20_n04548280_1325.png
sixteen03--uniform-noise-multiple,3,103,NaN,knife,clock,0,2663_rot_dnn_0_clock_20_n03196217_6203.png
sixteen03--uniform-noise-multiple,3,104,NaN,knife,clock,0,2664_rot_dnn_0_clock_20_n03196217_7957.png
sixteen03--uniform-noise-multiple,3,105,NaN,knife,clock,0,2665_rot_dnn_0_clock_20_n04548280_117.png
sixteen03--uniform-noise-multiple,3,106,NaN,knife,clock,0,2666_rot_dnn_0_clock_20_n03196217_3862.png
sixteen03--uniform-noise-multiple,3,107,NaN,knife,clock,0,2667_rot_dnn_0_clock_20_n04548280_499.png
sixteen03--uniform-noise-multiple,3,108,NaN,knife,clock,0,2668_rot_dnn_0_clock_20_n04548280_5414.png
sixteen03--uniform-noise-multiple,3,109,NaN,knife,clock,0,2669_rot_dnn_0_clock_20_n04548280_6296.png
sixteen03--uniform-noise-multiple,3,110,NaN,knife,clock,0,2670_rot_dnn_0_clock_20_n03196217_599.png
