subj,session,trial,rt,object_response,category,condition,imagename
sixteen07--grayscale-contrast-multiple,1,1,NaN,oven,knife,0,0001_rot_dnn_0_knife_20_n03041632_8618.png
sixteen07--grayscale-contrast-multiple,1,2,NaN,knife,knife,0,0002_rot_dnn_0_knife_20_n03041632_51256.png
sixteen07--grayscale-contrast-multiple,1,3,NaN,knife,knife,0,0003_rot_dnn_0_knife_20_n03041632_27898.png
sixteen07--grayscale-contrast-multiple,1,4,NaN,knife,knife,0,0004_rot_dnn_0_knife_20_n03041632_32177.png
sixteen07--grayscale-contrast-multiple,1,5,NaN,knife,knife,0,0005_rot_dnn_0_knife_20_n03041632_23548.png
sixteen07--grayscale-contrast-multiple,1,6,NaN,knife,knife,0,0006_rot_dnn_0_knife_20_n03041632_41381.png
sixteen07--grayscale-contrast-multiple,1,7,NaN,knife,knife,0,0007_rot_dnn_0_knife_20_n03041632_24264.png
sixteen07--grayscale-contrast-multiple,1,8,NaN,knife,knife,0,0008_rot_dnn_0_knife_20_n03041632_45090.png
sixteen07--grayscale-contrast-multiple,1,9,NaN,knife,knife,0,0009_rot_dnn_0_knife_20_n03041632_87339.png
sixteen07--grayscale-contrast-multiple,1,10,NaN,knife,knife,0,0010_rot_dnn_0_knife_20_n03041632_96361.png
sixteen07--grayscale-contrast-multiple,1,11,NaN,knife,knife,0,0011_rot_dnn_0_knife_20_n03041632_7279.png
sixteen07--grayscale-contrast-multiple,1,12,NaN,knife,knife,0,0012_rot_dnn_0_knife_20_n03041632_44133.png
sixteen07--grayscale-contrast-multiple,1,13,NaN,knife,knife,0,0013_rot_dnn_0_knife_20_n03041632_49163.png
sixteen07--grayscale-contrast-multiple,1,14,NaN,knife,knife,0,0014_rot_dnn_0_knife_20_n03041632_18601.png
sixteen07--grayscale-contrast-multiple,1,15,NaN,knife,knife,0,0015_rot_dnn_0_knife_20_n03041632_99460.png
sixteen07--grayscale-contrast-multiple,1,16,NaN,knife,knife,0,0016_rot_dnn_0_knife_20_n03041632_30801.png
sixteen07--grayscale-contrast-multiple,1,17,NaN,knife,knife,0,0017_rot_dnn_0_knife_20_n03041632_9963.png
sixteen07--grayscale-contrast-multiple,1,18,NaN,knife,knife,0,0018_rot_dnn_0_knife_20_n03041632_11495.png
