subj,session,trial,rt,object_response,category,condition,imagename
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,1,NaN,oven,knife,0,3841_rot_dnn_0_knife_20_n03041632_43506.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,2,NaN,bottle,knife,0,3842_rot_dnn_0_knife_20_n03041632_2468.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,3,NaN,knife,knife,0,3843_rot_dnn_0_knife_20_n03041632_85488.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,4,NaN,knife,knife,0,3844_rot_dnn_0_knife_20_n03041632_90125.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,5,NaN,boat,knife,0,3845_rot_dnn_0_knife_20_n03041632_49570.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,6,NaN,knife,knife,0,3846_rot_dnn_0_knife_20_n03041632_30553.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,7,NaN,knife,knife,0,3847_rot_dnn_0_knife_20_n03041632_30196.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,8,NaN,knife,knife,0,3848_rot_dnn_0_knife_20_n03041632_21477.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,9,NaN,bicycle,knife,0,3849_rot_dnn_0_knife_20_n03041632_28201.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,10,NaN,knife,knife,0,3850_rot_dnn_0_knife_20_n03041632_40508.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,11,NaN,knife,knife,0,3851_rot_dnn_0_knife_20_n03041632_38540.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,12,NaN,knife,knife,0,3852_rot_dnn_0_knife_20_n03041632_28443.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,13,NaN,knife,knife,0,3853_rot_dnn_0_knife_20_n03041632_10540.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,14,NaN,knife,knife,0,3854_rot_dnn_0_knife_20_n03041632_54603.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,15,NaN,knife,knife,0,3855_rot_dnn_0_knife_20_n03041632_36814.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,16,NaN,knife,knife,0,3856_rot_dnn_0_knife_20_n03041632_7832.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,17,NaN,knife,knife,0,3857_rot_dnn_0_knife_20_n03041632_22472.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,18,NaN,knife,knife,0,3858_rot_dnn_0_knife_20_n03041632_52702.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,19,NaN,knife,knife,0,3859_rot_dnn_0_knife_20_n03041632_50034.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,20,NaN,knife,knife,0,3860_rot_dnn_0_knife_20_n03041632_19614.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,21,NaN,keyboard,keyboard,0,3861_rot_dnn_0_keyboard_20_n03085013_21025.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,22,NaN,keyboard,keyboard,0,3862_rot_dnn_0_keyboard_20_n03085013_7477.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,23,NaN,cat,keyboard,0,3863_rot_dnn_0_keyboard_20_n03085013_24316.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,24,NaN,keyboard,keyboard,0,3864_rot_dnn_0_keyboard_20_n04505470_6361.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,25,NaN,keyboard,keyboard,0,3865_rot_dnn_0_keyboard_20_n04505470_3551.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,26,NaN,keyboard,keyboard,0,3866_rot_dnn_0_keyboard_20_n04505470_665.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,27,NaN,keyboard,keyboard,0,3867_rot_dnn_0_keyboard_20_n03085013_23776.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,28,NaN,keyboard,keyboard,0,3868_rot_dnn_0_keyboard_20_n04505470_4547.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,29,NaN,keyboard,keyboard,0,3869_rot_dnn_0_keyboard_20_n03085013_24192.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,30,NaN,keyboard,keyboard,0,3870_rot_dnn_0_keyboard_20_n03085013_3439.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,31,NaN,keyboard,keyboard,0,3871_rot_dnn_0_keyboard_20_n04505470_9446.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,32,NaN,keyboard,keyboard,0,3872_rot_dnn_0_keyboard_20_n04505470_361.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,33,NaN,keyboard,keyboard,0,3873_rot_dnn_0_keyboard_20_n03085013_21049.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,34,NaN,keyboard,keyboard,0,3874_rot_dnn_0_keyboard_20_n04505470_5145.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,35,NaN,keyboard,keyboard,0,3875_rot_dnn_0_keyboard_20_n04505470_2141.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,36,NaN,keyboard,keyboard,0,3876_rot_dnn_0_keyboard_20_n03085013_21707.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,37,NaN,keyboard,keyboard,0,3877_rot_dnn_0_keyboard_20_n03085013_18968.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,38,NaN,keyboard,keyboard,0,3878_rot_dnn_0_keyboard_20_n03085013_21615.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,39,NaN,keyboard,keyboard,0,3879_rot_dnn_0_keyboard_20_n04505470_7686.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,40,NaN,keyboard,keyboard,0,3880_rot_dnn_0_keyboard_20_n04505470_1687.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,41,NaN,elephant,elephant,0,3881_rot_dnn_0_elephant_20_n02504458_3599.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,42,NaN,elephant,elephant,0,3882_rot_dnn_0_elephant_20_n02504458_5008.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,43,NaN,elephant,elephant,0,3883_rot_dnn_0_elephant_20_n02504458_1998.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,44,NaN,elephant,elephant,0,3884_rot_dnn_0_elephant_20_n02504013_2399.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,45,NaN,elephant,elephant,0,3885_rot_dnn_0_elephant_20_n02504013_8563.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,46,NaN,elephant,elephant,0,3886_rot_dnn_0_elephant_20_n02504013_2358.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,47,NaN,elephant,elephant,0,3887_rot_dnn_0_elephant_20_n02504458_12578.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,48,NaN,elephant,elephant,0,3888_rot_dnn_0_elephant_20_n02504458_6851.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,49,NaN,elephant,elephant,0,3889_rot_dnn_0_elephant_20_n02504013_10310.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,50,NaN,elephant,elephant,0,3890_rot_dnn_0_elephant_20_n02504458_7827.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,51,NaN,elephant,elephant,0,3891_rot_dnn_0_elephant_20_n02504013_9614.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,52,NaN,elephant,elephant,0,3892_rot_dnn_0_elephant_20_n02504013_3307.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,53,NaN,elephant,elephant,0,3893_rot_dnn_0_elephant_20_n02504013_1121.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,54,NaN,elephant,elephant,0,3894_rot_dnn_0_elephant_20_n02504013_14648.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,55,NaN,elephant,elephant,0,3895_rot_dnn_0_elephant_20_n02504013_10389.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,56,NaN,elephant,elephant,0,3896_rot_dnn_0_elephant_20_n02504458_11216.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,57,NaN,elephant,elephant,0,3897_rot_dnn_0_elephant_20_n02504013_25516.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,58,NaN,elephant,elephant,0,3898_rot_dnn_0_elephant_20_n02504013_6929.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,59,NaN,elephant,elephant,0,3899_rot_dnn_0_elephant_20_n02504458_2442.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,60,NaN,elephant,elephant,0,3900_rot_dnn_0_elephant_20_n02504013_10887.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,61,NaN,bicycle,bicycle,0,3901_rot_dnn_0_bicycle_20_n03792782_47426.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,62,NaN,bicycle,bicycle,0,3902_rot_dnn_0_bicycle_20_n02835271_5758.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,63,NaN,bicycle,bicycle,0,3903_rot_dnn_0_bicycle_20_n03792782_1623.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,64,NaN,bicycle,bicycle,0,3904_rot_dnn_0_bicycle_20_n02835271_4360.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,65,NaN,bicycle,bicycle,0,3905_rot_dnn_0_bicycle_20_n02835271_1918.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,66,NaN,bicycle,bicycle,0,3906_rot_dnn_0_bicycle_20_n03792782_42906.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,67,NaN,bicycle,bicycle,0,3907_rot_dnn_0_bicycle_20_n02835271_419.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,68,NaN,bicycle,bicycle,0,3908_rot_dnn_0_bicycle_20_n03792782_38849.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,69,NaN,bicycle,bicycle,0,3909_rot_dnn_0_bicycle_20_n03792782_49457.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,70,NaN,bicycle,bicycle,0,3910_rot_dnn_0_bicycle_20_n02835271_7256.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,71,NaN,bicycle,bicycle,0,3911_rot_dnn_0_bicycle_20_n02835271_5602.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,72,NaN,bicycle,bicycle,0,3912_rot_dnn_0_bicycle_20_n03792782_7077.png
sixteen19--color--grayscale-contrast--high-pass--low-pass--rotation--phase-scrambling--salt-and-pepper-noise--200epochs,4,73,NaN,bicycle,bicycle,0,3913_rot_dnn_0_bicycle_20_n02835271_16139.png
