subj,session,trial,rt,object_response,category,condition,imagename
sixteen21--salt-and-pepper-noise-multiple,5,1,NaN,clock,knife,0,5121_rot_dnn_0_knife_20_n03041632_22214.png
sixteen21--salt-and-pepper-noise-multiple,5,2,NaN,clock,knife,0,5122_rot_dnn_0_knife_20_n03041632_13465.png
sixteen21--salt-and-pepper-noise-multiple,5,3,NaN,clock,knife,0,5123_rot_dnn_0_knife_20_n03041632_25498.png
sixteen21--salt-and-pepper-noise-multiple,5,4,NaN,knife,knife,0,5124_rot_dnn_0_knife_20_n03041632_31849.png
sixteen21--salt-and-pepper-noise-multiple,5,5,NaN,clock,knife,0,5125_rot_dnn_0_knife_20_n03041632_44019.png
sixteen21--salt-and-pepper-noise-multiple,5,6,NaN,clock,knife,0,5126_rot_dnn_0_knife_20_n03041632_17859.png
sixteen21--salt-and-pepper-noise-multiple,5,7,NaN,knife,knife,0,5127_rot_dnn_0_knife_20_n03041632_29680.png
sixteen21--salt-and-pepper-noise-multiple,5,8,NaN,clock,knife,0,5128_rot_dnn_0_knife_20_n03041632_31909.png
sixteen21--salt-and-pepper-noise-multiple,5,9,NaN,knife,knife,0,5129_rot_dnn_0_knife_20_n03041632_30573.png
sixteen21--salt-and-pepper-noise-multiple,5,10,NaN,clock,knife,0,5130_rot_dnn_0_knife_20_n03041632_9256.png
sixteen21--salt-and-pepper-noise-multiple,5,11,NaN,knife,knife,0,5131_rot_dnn_0_knife_20_n03041632_23803.png
sixteen21--salt-and-pepper-noise-multiple,5,12,NaN,knife,knife,0,5132_rot_dnn_0_knife_20_n03041632_77022.png
sixteen21--salt-and-pepper-noise-multiple,5,13,NaN,clock,knife,0,5133_rot_dnn_0_knife_20_n03041632_30248.png
sixteen21--salt-and-pepper-noise-multiple,5,14,NaN,clock,knife,0,5134_rot_dnn_0_knife_20_n03041632_29337.png
sixteen21--salt-and-pepper-noise-multiple,5,15,NaN,clock,knife,0,5135_rot_dnn_0_knife_20_n03041632_32774.png
sixteen21--salt-and-pepper-noise-multiple,5,16,NaN,clock,knife,0,5136_rot_dnn_0_knife_20_n03041632_7116.png
sixteen21--salt-and-pepper-noise-multiple,5,17,NaN,clock,knife,0,5137_rot_dnn_0_knife_20_n03041632_13130.png
sixteen21--salt-and-pepper-noise-multiple,5,18,NaN,clock,knife,0,5138_rot_dnn_0_knife_20_n03041632_8666.png
sixteen21--salt-and-pepper-noise-multiple,5,19,NaN,knife,knife,0,5139_rot_dnn_0_knife_20_n03041632_9671.png
sixteen21--salt-and-pepper-noise-multiple,5,20,NaN,clock,knife,0,5140_rot_dnn_0_knife_20_n03041632_20217.png
sixteen21--salt-and-pepper-noise-multiple,5,21,NaN,knife,keyboard,0,5141_rot_dnn_0_keyboard_20_n03085013_4281.png
sixteen21--salt-and-pepper-noise-multiple,5,22,NaN,clock,keyboard,0,5142_rot_dnn_0_keyboard_20_n03085013_20906.png
sixteen21--salt-and-pepper-noise-multiple,5,23,NaN,clock,keyboard,0,5143_rot_dnn_0_keyboard_20_n03085013_23144.png
sixteen21--salt-and-pepper-noise-multiple,5,24,NaN,knife,keyboard,0,5144_rot_dnn_0_keyboard_20_n03085013_22585.png
sixteen21--salt-and-pepper-noise-multiple,5,25,NaN,clock,keyboard,0,5145_rot_dnn_0_keyboard_20_n04505470_4554.png
sixteen21--salt-and-pepper-noise-multiple,5,26,NaN,keyboard,keyboard,0,5146_rot_dnn_0_keyboard_20_n03085013_21082.png
sixteen21--salt-and-pepper-noise-multiple,5,27,NaN,clock,keyboard,0,5147_rot_dnn_0_keyboard_20_n04505470_4887.png
sixteen21--salt-and-pepper-noise-multiple,5,28,NaN,clock,keyboard,0,5148_rot_dnn_0_keyboard_20_n03085013_24963.png
sixteen21--salt-and-pepper-noise-multiple,5,29,NaN,knife,keyboard,0,5149_rot_dnn_0_keyboard_20_n03085013_23546.png
sixteen21--salt-and-pepper-noise-multiple,5,30,NaN,clock,keyboard,0,5150_rot_dnn_0_keyboard_20_n03085013_24510.png
sixteen21--salt-and-pepper-noise-multiple,5,31,NaN,clock,keyboard,0,5151_rot_dnn_0_keyboard_20_n04505470_2569.png
sixteen21--salt-and-pepper-noise-multiple,5,32,NaN,clock,keyboard,0,5152_rot_dnn_0_keyboard_20_n03085013_24522.png
