subj,session,trial,rt,object_response,category,condition,imagename
sixteen27--uniform-noise-multiple--200epochs,2,1,NaN,knife,knife,0,1281_rot_dnn_0_knife_20_n03041632_29343.png
sixteen27--uniform-noise-multiple--200epochs,2,2,NaN,clock,knife,0,1282_rot_dnn_0_knife_20_n03041632_41077.png
sixteen27--uniform-noise-multiple--200epochs,2,3,NaN,clock,knife,0,1283_rot_dnn_0_knife_20_n03041632_35365.png
sixteen27--uniform-noise-multiple--200epochs,2,4,NaN,knife,knife,0,1284_rot_dnn_0_knife_20_n03041632_25656.png
sixteen27--uniform-noise-multiple--200epochs,2,5,NaN,clock,knife,0,1285_rot_dnn_0_knife_20_n03041632_29920.png
sixteen27--uniform-noise-multiple--200epochs,2,6,NaN,clock,knife,0,1286_rot_dnn_0_knife_20_n03041632_9580.png
sixteen27--uniform-noise-multiple--200epochs,2,7,NaN,knife,knife,0,1287_rot_dnn_0_knife_20_n03041632_47703.png
sixteen27--uniform-noise-multiple--200epochs,2,8,NaN,clock,knife,0,1288_rot_dnn_0_knife_20_n03041632_91967.png
sixteen27--uniform-noise-multiple--200epochs,2,9,NaN,knife,knife,0,1289_rot_dnn_0_knife_20_n03041632_20517.png
sixteen27--uniform-noise-multiple--200epochs,2,10,NaN,knife,knife,0,1290_rot_dnn_0_knife_20_n03041632_8540.png
sixteen27--uniform-noise-multiple--200epochs,2,11,NaN,knife,knife,0,1291_rot_dnn_0_knife_20_n03041632_32377.png
sixteen27--uniform-noise-multiple--200epochs,2,12,NaN,knife,knife,0,1292_rot_dnn_0_knife_20_n03041632_24883.png
sixteen27--uniform-noise-multiple--200epochs,2,13,NaN,knife,knife,0,1293_rot_dnn_0_knife_20_n03041632_91582.png
sixteen27--uniform-noise-multiple--200epochs,2,14,NaN,knife,knife,0,1294_rot_dnn_0_knife_20_n03041632_85416.png
sixteen27--uniform-noise-multiple--200epochs,2,15,NaN,knife,knife,0,1295_rot_dnn_0_knife_20_n03041632_17820.png
sixteen27--uniform-noise-multiple--200epochs,2,16,NaN,clock,knife,0,1296_rot_dnn_0_knife_20_n03041632_46914.png
sixteen27--uniform-noise-multiple--200epochs,2,17,NaN,knife,knife,0,1297_rot_dnn_0_knife_20_n03041632_7448.png
sixteen27--uniform-noise-multiple--200epochs,2,18,NaN,knife,knife,0,1298_rot_dnn_0_knife_20_n03041632_81630.png
sixteen27--uniform-noise-multiple--200epochs,2,19,NaN,bottle,knife,0,1299_rot_dnn_0_knife_20_n03041632_36247.png
sixteen27--uniform-noise-multiple--200epochs,2,20,NaN,clock,knife,0,1300_rot_dnn_0_knife_20_n03041632_33584.png
sixteen27--uniform-noise-multiple--200epochs,2,21,NaN,knife,keyboard,0,1301_rot_dnn_0_keyboard_20_n04505470_10705.png
sixteen27--uniform-noise-multiple--200epochs,2,22,NaN,knife,keyboard,0,1302_rot_dnn_0_keyboard_20_n03085013_3666.png
sixteen27--uniform-noise-multiple--200epochs,2,23,NaN,clock,keyboard,0,1303_rot_dnn_0_keyboard_20_n04505470_4068.png
sixteen27--uniform-noise-multiple--200epochs,2,24,NaN,knife,keyboard,0,1304_rot_dnn_0_keyboard_20_n03085013_9475.png
sixteen27--uniform-noise-multiple--200epochs,2,25,NaN,knife,keyboard,0,1305_rot_dnn_0_keyboard_20_n03085013_2508.png
sixteen27--uniform-noise-multiple--200epochs,2,26,NaN,clock,keyboard,0,1306_rot_dnn_0_keyboard_20_n04505470_2972.png
sixteen27--uniform-noise-multiple--200epochs,2,27,NaN,clock,keyboard,0,1307_rot_dnn_0_keyboard_20_n03085013_23619.png
sixteen27--uniform-noise-multiple--200epochs,2,28,NaN,knife,keyboard,0,1308_rot_dnn_0_keyboard_20_n03085013_24061.png
sixteen27--uniform-noise-multiple--200epochs,2,29,NaN,knife,keyboard,0,1309_rot_dnn_0_keyboard_20_n03085013_18851.png
sixteen27--uniform-noise-multiple--200epochs,2,30,NaN,clock,keyboard,0,1310_rot_dnn_0_keyboard_20_n04505470_8749.png
