subj,session,trial,rt,object_response,category,condition,imagename
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,1,NaN,knife,knife,0,6401_rot_dnn_0_knife_20_n03041632_33326.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,2,NaN,knife,knife,0,6402_rot_dnn_0_knife_20_n03041632_13612.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,3,NaN,knife,knife,0,6403_rot_dnn_0_knife_20_n03041632_21859.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,4,NaN,knife,knife,0,6404_rot_dnn_0_knife_20_n03041632_22734.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,5,NaN,knife,knife,0,6405_rot_dnn_0_knife_20_n03041632_93026.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,6,NaN,knife,knife,0,6406_rot_dnn_0_knife_20_n03041632_19620.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,7,NaN,knife,knife,0,6407_rot_dnn_0_knife_20_n03041632_10109.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,8,NaN,knife,knife,0,6408_rot_dnn_0_knife_20_n03041632_27929.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,9,NaN,knife,knife,0,6409_rot_dnn_0_knife_20_n03041632_42162.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,10,NaN,knife,knife,0,6410_rot_dnn_0_knife_20_n03041632_25512.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,11,NaN,knife,knife,0,6411_rot_dnn_0_knife_20_n03041632_5801.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,12,NaN,knife,knife,0,6412_rot_dnn_0_knife_20_n03041632_39883.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,13,NaN,knife,knife,0,6413_rot_dnn_0_knife_20_n03041632_47743.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,14,NaN,knife,knife,0,6414_rot_dnn_0_knife_20_n03041632_84012.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,15,NaN,knife,knife,0,6415_rot_dnn_0_knife_20_n03041632_12707.png
sixteen31--grayscale--uniform-noise-multiple--200epochs,6,16,NaN,knife,knife,0,6416_rot_dnn_0_knife_20_n03041632_3005.png
