subj,session,trial,rt,object_response,category,condition,imagename
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,1,NaN,knife,knife,0,1281_rot_dnn_0_knife_20_n03041632_29343.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,2,NaN,knife,knife,0,1282_rot_dnn_0_knife_20_n03041632_41077.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,3,NaN,knife,knife,0,1283_rot_dnn_0_knife_20_n03041632_35365.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,4,NaN,knife,knife,0,1284_rot_dnn_0_knife_20_n03041632_25656.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,5,NaN,knife,knife,0,1285_rot_dnn_0_knife_20_n03041632_29920.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,6,NaN,knife,knife,0,1286_rot_dnn_0_knife_20_n03041632_9580.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,7,NaN,knife,knife,0,1287_rot_dnn_0_knife_20_n03041632_47703.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,8,NaN,chair,knife,0,1288_rot_dnn_0_knife_20_n03041632_91967.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,9,NaN,knife,knife,0,1289_rot_dnn_0_knife_20_n03041632_20517.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,10,NaN,knife,knife,0,1290_rot_dnn_0_knife_20_n03041632_8540.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,11,NaN,knife,knife,0,1291_rot_dnn_0_knife_20_n03041632_32377.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,12,NaN,knife,knife,0,1292_rot_dnn_0_knife_20_n03041632_24883.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,13,NaN,knife,knife,0,1293_rot_dnn_0_knife_20_n03041632_91582.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,14,NaN,keyboard,knife,0,1294_rot_dnn_0_knife_20_n03041632_85416.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,15,NaN,knife,knife,0,1295_rot_dnn_0_knife_20_n03041632_17820.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,16,NaN,knife,knife,0,1296_rot_dnn_0_knife_20_n03041632_46914.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,17,NaN,knife,knife,0,1297_rot_dnn_0_knife_20_n03041632_7448.png
sixteen35--phase-scrambling-multiple--uniform-noise-multiple--200epochs,2,18,NaN,knife,knife,0,1298_rot_dnn_0_knife_20_n03041632_81630.png
